Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytokine-cytokine receptor interaction	13/295	2.61551027462166E-13	4.394057261364389E-11	0	0	24.504887866589993	709.9592134095561	CXCL9;TGFB1;TNFSF15;IL23R;CXCR5;TNFRSF1A;IL27RA;CXCL10;CXCL11;IL12B;IL12A;IL12RB1;IL7R
Toll-like receptor signaling pathway	9/104	4.098515714658562E-12	3.4427532003131924E-10	0	0	45.8780487804878	1202.9406172184486	CXCL10;CXCL11;CXCL9;CD80;PIK3CD;IL12B;IRF5;IL12A;NFKB1
Osteoclast differentiation	9/127	2.5335369074285254E-11	1.4187806681599742E-9	0	0	36.89293096320794	900.1439711205634	TGFB1;CAMK4;FHL2;PIK3CD;TYK2;LILRB5;NFKB1;TNFRSF1A;NFKB2
JAK-STAT signaling pathway	9/162	2.2629356315400128E-10	8.254142512669738E-9	0	0	28.40315638450502	630.8110401514784	IL23R;STAT4;PIK3CD;IL12B;IL12A;TYK2;IL12RB1;IL7R;IL27RA
Inflammatory bowel disease	7/65	2.45659003353266E-10	8.254142512669738E-9	0	0	55.83159582999198	1235.3900035956647	TGFB1;IL23R;STAT4;IL12B;IL12A;IL12RB1;NFKB1
Pathways in cancer	13/531	4.0677603679270887E-10	1.1389729030195849E-8	0	0	13.180423666910153	284.9971160332773	TGFB1;NOS2;IL23R;PIK3CD;HIF1A;NFKB1;NFKB2;STAT4;IL12B;IL12A;IL12RB1;IL7R;NFE2L2
Chagas disease	7/102	6.077512721286986E-9	1.4586030531088767E-7	0	0	34.02325581395349	643.6747598402659	TGFB1;NOS2;PIK3CD;IL12B;IL12A;NFKB1;TNFRSF1A
Th17 cell differentiation	7/107	8.501153281954116E-9	1.7852421892103643E-7	0	0	32.31395348837209	600.49226584577	TGFB1;IL23R;TYK2;IL12RB1;HIF1A;NFKB1;IL27RA
Toxoplasmosis	7/112	1.1700021010097365E-8	2.1840039218848414E-7	0	0	30.767441860465116	561.9265648562503	TGFB1;NOS2;IL12B;IL12A;TYK2;NFKB1;TNFRSF1A
Coronavirus disease	8/232	1.0252816154063467E-7	1.6560961212181416E-6	0	0	16.773809523809526	269.94306923900865	FGB;CXCL10;PIK3CD;IL12B;IL12A;TYK2;NFKB1;TNFRSF1A
Th1 and Th2 cell differentiation	6/92	1.0843486507975927E-7	1.6560961212181416E-6	0	0	31.496828752642706	505.1183015691571	STAT4;IL12B;IL12A;TYK2;IL12RB1;NFKB1
Amoebiasis	6/102	2.00937711227083E-7	2.813127957179162E-6	0	0	28.201704545454547	434.87792312348313	TGFB1;NOS2;PIK3CD;IL12B;IL12A;NFKB1
Influenza A	7/172	2.2519204730402957E-7	2.9101741497751514E-6	0	0	19.520084566596193	298.7805096248113	CXCL10;PIK3CD;IL12B;IL12A;TYK2;NFKB1;TNFRSF1A
Leishmaniasis	5/77	1.3720031205746515E-6	1.6464037446895818E-5	0	0	30.675925925925927	414.1016480799777	TGFB1;NOS2;IL12B;IL12A;NFKB1
Viral protein interaction with cytokine and cytokine receptor	5/100	5.007413746042903E-6	5.608303395568051E-5	0	0	23.22222222222222	283.4177242058149	CXCL10;CXCL11;CXCL9;CXCR5;TNFRSF1A
Tuberculosis	6/180	5.592564428638942E-6	5.872192650070889E-5	0	0	15.498432601880877	187.43916943144694	TGFB1;NOS2;IL12B;IL12A;NFKB1;TNFRSF1A
C-type lectin receptor signaling pathway	5/104	6.070787982586676E-6	5.9993669474974216E-5	0	0	22.27946127946128	267.6213822766063	PIK3CD;IL12B;IL12A;NFKB1;NFKB2
Chemokine signaling pathway	6/192	8.095588346605614E-6	7.555882456831907E-5	0	0	14.489736070381232	169.8804374775353	CXCL10;CXCL11;CXCL9;CXCR5;PIK3CD;NFKB1
Legionellosis	4/57	1.2380444596031718E-5	1.0946919432280678E-4	0	0	32.644790812141096	368.8663005138405	IL12B;IL12A;NFKB1;NFKB2
Lipid and atherosclerosis	6/215	1.5413559820585674E-5	1.2947390249291966E-4	0	0	12.880165289256198	142.71561796278468	PIK3CD;IL12B;IL12A;NFKB1;TNFRSF1A;NFE2L2
Measles	5/139	2.4857279098527522E-5	1.9885823278822018E-4	0	0	16.43117744610282	174.20925730543715	PIK3CD;IL12B;IL12A;TYK2;NFKB1
