Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytokine-cytokine receptor interaction	13/295	2.61551027462166E-13	3.295542946023292E-11	0	0	24.504887866589993	709.9592134095561	CXCL9;TGFB1;TNFRSF6B;TNFSF15;CXCR5;TNFRSF1A;CXCL10;IL12B;TNFRSF25;IL12A;IL12RB1;IL7R;IL12RB2
Inflammatory bowel disease	8/65	3.840506702476809E-12	1.7213766001565962E-10	0	0	66.47619047619048	1747.3543742263146	TGFB1;STAT4;IL12B;IL12A;IL12RB1;RELA;NFKB1;IL12RB2
Toll-like receptor signaling pathway	9/104	4.098515714658562E-12	1.7213766001565962E-10	0	0	45.8780487804878	1202.9406172184486	CD86;CXCL10;CXCL9;CD80;IL12B;IRF5;IL12A;RELA;NFKB1
Th1 and Th2 cell differentiation	8/92	6.733824450494511E-11	2.121154701905771E-9	0	0	45.04761904761905	1055.073474380631	STAT4;IL12B;IL12A;TYK2;IL12RB1;RELA;NFKB1;IL12RB2
Toxoplasmosis	8/112	3.3135300107779077E-10	8.350095627160328E-9	0	0	36.34798534798535	793.3978936498781	TGFB1;NOS2;IL12B;IL12A;TYK2;RELA;NFKB1;TNFRSF1A
Pathways in cancer	12/531	5.252861712427159E-9	1.0939522898316575E-7	0	0	11.82293885001521	225.39833282649477	TGFB1;NOS2;STAT4;IL12B;IL12A;IL12RB1;IL7R;HIF1A;RELA;NFKB1;NFE2L2;IL12RB2
Chagas disease	7/102	6.077512721286986E-9	1.0939522898316575E-7	0	0	34.02325581395349	643.6747598402659	TGFB1;NOS2;IL12B;IL12A;RELA;NFKB1;TNFRSF1A
Influenza A	8/172	1.002977987126916E-8	1.579690329724893E-7	0	0	22.980255516840884	423.2436170823547	CXCL10;XPO1;IL12B;IL12A;TYK2;RELA;NFKB1;TNFRSF1A
Leishmaniasis	6/77	3.708973779530214E-8	4.724915759080339E-7	0	0	38.17989756722151	653.2552035411935	TGFB1;NOS2;IL12B;IL12A;RELA;NFKB1
Allograft rejection	5/38	3.749933142127253E-8	4.724915759080339E-7	0	0	67.06060606060606	1146.6654626635375	CD86;CD80;CD28;IL12B;IL12A
Type I diabetes mellitus	5/43	7.124339773673824E-8	8.16060737711729E-7	0	0	58.22222222222222	958.1726412408931	CD86;CD80;CD28;IL12B;IL12A
JAK-STAT signaling pathway	7/162	1.4972491728756042E-7	1.5721116315193844E-6	0	0	20.789947486871718	326.7029252365948	STAT4;IL12B;IL12A;TYK2;IL12RB1;IL7R;IL12RB2
Amoebiasis	6/102	2.00937711227083E-7	1.9475501242009583E-6	0	0	28.201704545454547	434.87792312348313	TGFB1;NOS2;IL12B;IL12A;RELA;NFKB1
Th17 cell differentiation	6/107	2.671511845408456E-7	2.40436066086761E-6	0	0	26.798829882988297	405.6123793534149	TGFB1;TYK2;IL12RB1;HIF1A;RELA;NFKB1
Tuberculosis	7/180	3.0663401756322646E-7	2.5757257475311024E-6	0	0	18.6098938029305	279.10394662507593	TGFB1;NOS2;IL12B;IL12A;RELA;NFKB1;TNFRSF1A
RIG-I-like receptor signaling pathway	5/70	8.51548432464697E-7	6.70594390565949E-6	0	0	33.99145299145299	475.07166684012833	CXCL10;IL12B;IL12A;RELA;NFKB1
Measles	6/139	1.2495662888514225E-6	8.997236452914656E-6	0	0	20.318181818181817	276.17923518146023	CD28;IL12B;IL12A;TYK2;RELA;NFKB1
Pertussis	5/76	1.2853194932735223E-6	8.997236452914656E-6	0	0	31.109546165884193	421.9855396881322	NOS2;IL12B;IL12A;RELA;NFKB1
Coronavirus disease	7/232	1.686912784980058E-6	1.1186895310920385E-5	0	0	14.271317829457365	189.70306857262455	CXCL10;IL12B;IL12A;TYK2;RELA;NFKB1;TNFRSF1A
PD-L1 expression and PD-1 checkpoint pathway in cancer	5/89	2.8182137033055165E-6	1.7754746330824754E-5	0	0	26.27777777777778	335.81442548341727	CD274;CD28;HIF1A;RELA;NFKB1
Rheumatoid arthritis	5/93	3.502294834838377E-6	2.1013769009030263E-5	0	0	25.078282828282827	315.0356995323513	CD86;TGFB1;CD80;CD28;CTLA4
Intestinal immune network for IgA production	4/48	6.2002690053006694E-6	3.5510631575812926E-5	0	0	39.3399209486166	471.7217614573871	CD86;TGFB1;CD80;CD28
Kaposi sarcoma-associated herpesvirus infection	6/193	8.339574595605604E-6	4.568636517592635E-5	0	0	14.411521633446768	168.5355159722058	CD86;TYK2;HIF1A;RELA;NFKB1;TNFRSF1A
Autoimmune thyroid disease	4/53	9.245471658529457E-6	4.853872620727965E-5	0	0	35.316770186335404	409.36998623560845	CD86;CD80;CD28;CTLA4
Legionellosis	4/57	1.2380444596031718E-5	6.239744076399986E-5	0	0	32.644790812141096	368.8663005138405	IL12B;IL12A;RELA;NFKB1
Lipid and atherosclerosis	6/215	1.5413559820585674E-5	7.469648220745365E-5	0	0	12.880165289256198	142.71561796278468	IL12B;IL12A;RELA;NFKB1;TNFRSF1A;NFE2L2
Osteoclast differentiation	5/127	1.607470566574612E-5	7.501529310681523E-5	0	0	18.058287795992715	199.33214082199027	TGFB1;TYK2;RELA;NFKB1;TNFRSF1A
Cell adhesion molecules	5/148	3.359740343521294E-5	1.5118831545845823E-4	0	0	15.39005439005439	158.53390095708875	CD86;CD274;CD80;CD28;CTLA4
Hepatitis C	5/157	4.4554251379025696E-5	1.9358054047438752E-4	0	0	14.472222222222221	144.9943431158942	CXCL10;TYK2;RELA;NFKB1;TNFRSF1A
Hepatitis B	5/162	5.1733111867740326E-5	2.1727906984450937E-4	0	0	14.007784854918613	138.24860722179173	TGFB1;STAT4;TYK2;RELA;NFKB1
Viral protein interaction with cytokine and cytokine receptor	4/100	1.1356720906997502E-4	4.547607321171913E-4	0	0	17.983695652173914	163.34798914770596	CXCL10;CXCL9;CXCR5;TNFRSF1A
Chemokine signaling pathway	5/192	1.1549478910912795E-4	4.547607321171913E-4	0	0	11.742721330956625	106.46285996423897	CXCL10;CXCL9;CXCR5;RELA;NFKB1
T cell receptor signaling pathway	4/104	1.3219781074871336E-4	4.899095339511142E-4	0	0	17.26086956521739	154.16047142432132	CD28;CTLA4;RELA;NFKB1
C-type lectin receptor signaling pathway	4/104	1.3219781074871336E-4	4.899095339511142E-4	0	0	17.26086956521739	154.16047142432132	IL12B;IL12A;RELA;NFKB1
Graft-versus-host disease	3/42	1.5756854407171075E-4	5.546972591436744E-4	0	0	32.58756137479542	285.32528155294955	CD86;CD80;CD28
HIF-1 signaling pathway	4/109	1.5848493118390697E-4	5.546972591436744E-4	0	0	16.434782608695652	143.80189971009636	NOS2;HIF1A;RELA;NFKB1
TNF signaling pathway	4/112	1.7596171244768462E-4	5.992209667137368E-4	0	0	15.97584541062802	138.1150837500777	CXCL10;RELA;NFKB1;TNFRSF1A
Human T-cell leukemia virus 1 infection	5/219	2.133819652192262E-4	7.075296741479606E-4	0	0	10.247144340602285	86.61323677466518	TGFB1;XPO1;RELA;NFKB1;TNFRSF1A
Relaxin signaling pathway	4/129	3.0233842173203154E-4	9.767856702111789E-4	0	0	13.791304347826086	111.76422796561604	TGFB1;NOS2;RELA;NFKB1
Fluid shear stress and atherosclerosis	4/139	4.015254683124459E-4	0.0012648052251842045	0	0	12.76328502415459	99.81194689133622	RELA;NFKB1;TNFRSF1A;NFE2L2
Viral myocarditis	3/60	4.55062391672894E-4	0.0013984844231898694	0	0	22.27659574468085	171.42009780807578	CD86;CD80;CD28
