Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neuroactive ligand-receptor interaction	9/341	1.4837295338336265E-7	7.2702747157847705E-6	0	0	12.97105495151337	203.95085957507402	GABRB3;POMC;GABRA1;SST;ADRA1D;VIP;ADRA1B;ADRA1A;GABRG2
Synaptic vesicle cycle	4/78	4.301512988997168E-5	0.001053870682304306	0	0	23.356051703877792	234.82077797050783	RAB3A;STXBP1;CPLX2;CPLX1
Nicotine addiction	3/40	1.3608554044552048E-4	0.002222730493943501	0	0	34.35250143760782	305.8137622456798	GABRB3;GABRA1;GABRG2
Adrenergic signaling in cardiomyocytes	4/150	5.353827589376326E-4	0.0065584387969859995	0	0	11.795116140559857	88.84705001828203	ADRA1D;ADRA1B;ADRA1A;SCN1B
Taste transduction	3/86	0.0013002540770145727	0.009975254298916	0	0	15.278390156370161	101.52789088565108	GABRA1;SCN9A;SCN2A
GABAergic synapse	3/89	0.0014352931477222535	0.009975254298916	0	0	14.743196437407224	96.51465720793364	GABRB3;GABRA1;GABRG2
Morphine addiction	3/91	0.0015300336428855958	0.009975254298916	0	0	14.406673114119922	93.39076222450518	GABRB3;GABRA1;GABRG2
Salivary secretion	3/93	0.0016286129467617961	0.009975254298916	0	0	14.085106382978724	90.42675735150269	ADRA1D;ADRA1B;ADRA1A
Vascular smooth muscle contraction	3/133	0.004485688405448647	0.024422081318553744	0	0	9.731587561374795	52.6173636813508	ADRA1D;ADRA1B;ADRA1A
Retrograde endocannabinoid signaling	3/148	0.006035329465923697	0.02957311438302612	0	0	8.718268525311812	44.55144049537493	GABRB3;GABRA1;GABRG2
cGMP-PKG signaling pathway	3/167	0.008408253776849312	0.03745494864232875	0	0	7.700830306175402	36.79873691819302	ADRA1D;ADRA1B;ADRA1A
cAMP signaling pathway	3/216	0.01677850105727143	0.068512212650525	0	0	5.914593946658676	24.176830822166	POMC;SST;VIP
Calcium signaling pathway	3/240	0.022110403168695048	0.08333921194354288	0	0	5.3091839482897925	20.237053883333374	ADRA1D;ADRA1B;ADRA1A
Toll-like receptor signaling pathway	2/104	0.0279010087799889	0.09765353072996115	0	0	8.107843137254902	29.018720027145317	TLR1;LBP
Cholinergic synapse	2/113	0.03250109931246501	0.10617025775405237	0	0	7.447072072072072	25.517253680402074	KCNQ2;KCNQ3
Tuberculosis	2/180	0.07451958870561042	0.2282162404109319	0	0	4.628277153558052	12.018216055401327	TLR1;LBP
Lipid and atherosclerosis	2/215	0.10080287202747078	0.27501685159441047	0	0	3.8609154929577465	8.859212024810814	TNFSF10;LBP
Type I diabetes mellitus	1/43	0.10214577427941592	0.27501685159441047	0	0	9.673469387755102	22.068611238785657	PTPRN
Glycosphingolipid biosynthesis	1/45	0.10663918735293466	0.27501685159441047	0	0	9.232838589981448	20.665901611884028	B3GNT2
Glycosaminoglycan biosynthesis	1/53	0.12439349491287167	0.30476406253653565	0	0	7.8092621664050235	16.276887238960814	B3GNT2
Cortisol synthesis and secretion	1/65	0.15037842149138922	0.3401249453132568	0	0	6.341198979591836	12.01403781811508	POMC
Adipocytokine signaling pathway	1/69	0.15887094888113906	0.3401249453132568	0	0	5.966986794717887	10.977245117600177	POMC
Adherens junction	1/71	0.16308595979881008	0.3401249453132568	0	0	5.795918367346939	10.51076961698872	PTPRB
Cytokine-cytokine receptor interaction	2/295	0.16811632853906308	0.3401249453132568	0	0	2.795364050056883	4.98441114256764	ACVRL1;TNFSF10
Gastric acid secretion	1/76	0.17353313536390655	0.3401249453132568	0	0	5.408163265306122	9.4717853003048	SST
Insulin secretion	1/86	0.19404551285483848	0.365701158841811	0	0	4.769507803121249	7.820383303288144	RAB3A
Aldosterone synthesis and secretion	1/98	0.21800251374840374	0.37520589202181637	0	0	4.176940879444562	6.362519703204576	POMC
Viral protein interaction with cytokine and cytokine receptor	1/100	0.22192691156038513	0.37520589202181637	0	0	4.092145949288806	6.1603458876211565	TNFSF10
Melanogenesis	1/101	0.22388186624120487	0.37520589202181637	0	0	4.051020408163265	6.062906014187368	POMC
NF-kappa B signaling pathway	1/104	0.22971789307458146	0.37520589202181637	0	0	3.932435109966317	5.78423168094792	LBP
Serotonergic synapse	1/113	0.2469691364760274	0.3840434472375966	0	0	3.614795918367347	5.055262825364014	GABRB3
Growth hormone synthesis, secretion and action	1/119	0.25825901303237825	0.3840434472375966	0	0	3.429955032860602	4.6434466139665425	SST
AMPK signaling pathway	1/120	0.26012446216628154	0.3840434472375966	0	0	3.4009603841536613	4.579716458908873	ADRA1A
