Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Alzheimer disease	14/369	2.1292049727186762E-13	3.640940503348936E-11	0	0	21.465571205007826	626.319378873184	APP;GSK3B;CHRNA7;INSR;IDE;PSEN1;TNF;INS;BACE1;ATP5F1A;IL1B;CASP3;MAPT;APOE
HIF-1 signaling pathway	8/109	2.6623585760588884E-10	2.2763165825303495E-8	0	0	37.43328618576143	825.2781290517049	TF;NOS3;INSR;HMOX1;IGF1;VEGFA;INS;IGF1R
MAPK signaling pathway	10/294	2.4717141417112557E-9	1.4088770607754158E-7	0	0	17.31161971830986	343.08780689549496	IL1B;CASP3;INSR;IGF2;MAPT;IGF1;TNF;VEGFA;INS;IGF1R
PI3K-Akt signaling pathway	9/354	2.03604173712887E-7	8.70407842622592E-6	0	0	12.474019088016966	192.1883104627328	GSK3B;RELN;NOS3;INSR;IGF2;IGF1;VEGFA;INS;IGF1R
Insulin resistance	6/108	2.8233243417589264E-7	9.655769248815529E-6	0	0	26.53475935828877	400.1489637172535	GSK3B;NOS3;INSR;SLC2A4;TNF;INS
Diabetic cardiomyopathy	7/203	6.905619176458789E-7	1.8018278393798265E-5	0	0	16.406976744186046	232.7454376569707	GSK3B;ATP5F1A;ACE;NOS3;INSR;SLC2A4;INS
Proteoglycans in cancer	7/205	7.37590343605777E-7	1.8018278393798265E-5	0	0	16.239605355884425	229.3012343179591	PLAU;CASP3;IGF2;IGF1;TNF;VEGFA;IGF1R
Complement and coagulation cascades	5/85	2.2438637425917014E-6	3.6652595842976E-5	0	0	27.59722222222222	358.9656602642674	CR1;PLAU;F2;A2M;CLU
mTOR signaling pathway	6/154	2.2707849904932954E-6	3.6652595842976E-5	0	0	18.245085995085994	237.10191641651136	GSK3B;INSR;IGF1;TNF;INS;IGF1R
Pathways of neurodegeneration	9/475	2.3514351767681587E-6	3.6652595842976E-5	0	0	9.178059248403644	118.95209648940464	APP;GSK3B;ATP5F1A;IL1B;CHRNA7;CASP3;MAPT;PSEN1;TNF
Non-alcoholic fatty liver disease	6/155	2.3577693232323745E-6	3.6652595842976E-5	0	0	18.121720561317876	234.81753261346168	GSK3B;IL1B;CASP3;INSR;TNF;INS
Prostate cancer	5/97	4.310512471212558E-6	6.142480271477895E-5	0	0	23.983091787439612	296.2979984637939	GSK3B;PLAU;IGF1;INS;IGF1R
