Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways in cancer	13/531	4.0677603679270887E-10	2.2214821100133148E-8	0	0	13.180423666910153	284.9971160332773	RB1;CDKN2A;F2R;IGF2;CXCR4;FOS;IGF1;VEGFA;PLD2;IGF1R;CCND1;CDK4;TP53
Melanoma	7/72	5.129969500085945E-10	2.2214821100133148E-8	0	0	49.80143112701252	1065.2900234475383	RB1;CCND1;CDK4;CDKN2A;IGF1;TP53;IGF1R
Glioma	7/75	6.873042438886352E-10	2.2214821100133148E-8	0	0	47.597127222982216	1004.2158068526546	RB1;CCND1;CDK4;CDKN2A;IGF1;TP53;IGF1R
Bladder cancer	6/41	7.528214146454408E-10	2.2214821100133148E-8	0	0	77.5909090909091	1629.9672086342566	RB1;CCND1;CDKN2A;CDK4;TP53;VEGFA
Pancreatic cancer	7/76	7.556061598684745E-10	2.2214821100133148E-8	0	0	46.90495449949444	985.1682506696322	RB1;CCND1;CDK4;CDKN2A;TP53;VEGFA;PLD2
Transcriptional misregulation in cancer	9/192	1.0236896900580913E-9	2.5080397406423237E-8	0	0	23.710915633746502	490.8124537287019	FUS;EWSR1;ETV1;IGF1;ERG;ETV4;TP53;FLI1;IGF1R
Hepatocellular carcinoma	8/168	8.337967417525114E-9	1.750973157680274E-7	0	0	23.55952380952381	438.2647780564159	RB1;CCND1;CDK4;CDKN2A;IGF2;TP53;SMARCA4;IGF1R
Human T-cell leukemia virus 1 infection	8/219	6.575174979453356E-8	1.190573199693918E-6	0	0	17.819002482509593	294.679607316203	RB1;CRTC2;EGR2;CCND1;CDK4;CDKN2A;FOS;TP53
Breast cancer	7/147	7.69644392458235E-8	1.190573199693918E-6	0	0	23.03488372093023	377.3096066842292	RB1;CCND1;CDK4;FOS;IGF1;TP53;IGF1R
Human cytomegalovirus infection	8/225	8.099137412883795E-8	1.190573199693918E-6	0	0	17.321044546851	282.83400580602716	RB1;CCND1;CDK4;CDKN2A;CXCR4;CCR5;TP53;VEGFA
