Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways in cancer	25/531	1.5566349281868258E-26	2.9109073157093644E-24	0	0	38.426877470355734	2283.5051285503637	CDKN1A;PIK3R1;PTGS2;RELA;EGFR;CCND2;MYC;ERBB2;STAT6;NTRK1;TCF7L2;IFNGR1;IFNGR2;AXIN2;MLH1;MMP9;TGFBR2;VEGFA;APC;IFNG;SP1;BCL2;PPARG;KRAS;TP53
Gastric cancer	14/149	6.477179682861771E-19	6.056163003475756E-17	0	0	57.08024691358025	2390.5682078401783	TCF7L2;CDKN1A;CDX2;AXIN2;PIK3R1;MLH1;EGFR;TGFBR2;APC;MYC;ERBB2;BCL2;KRAS;TP53
Endometrial cancer	11/58	1.5268140989814132E-18	8.932136614488394E-17	0	0	119.43971631205673	4899.8170947934295	TCF7L2;CDKN1A;APC;MYC;ERBB2;KRAS;AXIN2;PIK3R1;MLH1;TP53;EGFR
Colorectal cancer	12/86	1.910617457644576E-18	8.932136614488394E-17	0	0	84.81934566145092	3460.553407300249	TCF7L2;CDKN1A;APC;MYC;BCL2;KRAS;AXIN2;PIK3R1;MLH1;TP53;EGFR;TGFBR2
Hepatitis B	13/162	1.0850075642944231E-16	4.0579282904611424E-15	0	0	46.692000725557776	1716.3874189904593	CDKN1A;SRC;NFATC1;PIK3R1;MMP9;TNF;RELA;TGFBR2;MYC;BCL2;STAT6;KRAS;TP53
Human cytomegalovirus infection	14/225	2.2692217011511547E-16	7.0724076352544326E-15	0	0	36.380463401790415	1310.4943087767626	PDIA3;CDKN1A;SRC;NFATC1;PIK3R1;PTGS2;TNF;RELA;EGFR;VEGFA;SP1;MYC;KRAS;TP53
Bladder cancer	9/41	5.870971892905282E-16	1.5683882056761253E-14	0	0	136.6326219512195	4791.889316930085	CDKN1A;SRC;MYC;ERBB2;KRAS;MMP9;TP53;EGFR;VEGFA
MicroRNAs in cancer	14/310	1.957063553613197E-14	4.574636056570848E-13	0	0	25.821696696696698	815.0553011097569	DNMT1;CDKN1A;PIK3R1;PTGS2;MMP9;EGFR;VEGFA;CCND2;APC;MYC;ERBB2;BCL2;KRAS;TP53
Prostate cancer	10/97	3.913654557039357E-14	7.612891006754104E-13	0	0	57.077586206896555	1762.0832422539984	TCF7L2;CDKN1A;ERBB2;BCL2;KRAS;PIK3R1;MMP9;TP53;RELA;EGFR
Kaposi sarcoma-associated herpesvirus infection	12/193	4.0710647094941733E-14	7.612891006754104E-13	0	0	34.49084036056993	1063.4314798071516	TCF7L2;CDKN1A;IFNGR1;SRC;MYC;NFATC1;KRAS;PIK3R1;PTGS2;TP53;RELA;VEGFA
Breast cancer	11/147	6.761204325398352E-14	1.1494047353177199E-12	0	0	41.09238310708899	1246.1261180203435	TCF7L2;CDKN1A;APC;SP1;MYC;ERBB2;KRAS;AXIN2;PIK3R1;TP53;EGFR
Proteoglycans in cancer	12/205	8.392756419433019E-14	1.307871208694979E-12	0	0	32.326697572947914	973.3187927409118	CDKN1A;SRC;MYC;ERBB2;KRAS;PIK3R1;MMP9;TP53;TNF;EGFR;ACTB;VEGFA
HIF-1 signaling pathway	10/109	1.2980196964975691E-13	1.8671514095772726E-12	0	0	50.128787878787875	1487.4598134574414	CDKN1A;IFNG;IFNGR1;IFNGR2;ERBB2;BCL2;PIK3R1;RELA;EGFR;VEGFA
Lipid and atherosclerosis	12/215	1.4831859532502324E-13	1.9811126661270963E-12	0	0	30.718693284936478	907.4121912241839	SRC;BCL2;TNFSF10;NFATC1;TNFRSF10A;PPARG;KRAS;PIK3R1;MMP9;TP53;TNF;RELA
Pancreatic cancer	9/76	2.2381439441047678E-13	2.7902194503172774E-12	0	0	65.14270112850382	1897.4739460500411	CDKN1A;ERBB2;KRAS;PIK3R1;TP53;RELA;EGFR;TGFBR2;VEGFA
Hepatocellular carcinoma	11/168	2.9703930526854007E-13	3.471646880326062E-12	0	0	35.55822309325494	1025.6738132950684	TCF7L2;CDKN1A;APC;MYC;KRAS;AXIN2;PIK3R1;TP53;EGFR;ACTB;TGFBR2
Osteoclast differentiation	10/127	6.16119567255788E-13	6.777315239813668E-12	0	0	42.37820512820513	1191.4774486056776	IFNG;IFNGR1;IFNGR2;NFATC1;PPARG;FYN;PIK3R1;TNF;RELA;TGFBR2
Natural killer cell mediated cytotoxicity	10/131	8.435541647230934E-13	8.763590489067692E-12	0	0	40.96900826446281	1138.9856375509187	IFNG;IFNGR1;IFNGR2;TNFSF10;NFATC1;TNFRSF10A;KRAS;FYN;PIK3R1;TNF
Human papillomavirus infection	13/331	1.130524919137554E-12	1.1126745256774875E-11	0	0	21.690973992860787	596.6826671557986	TCF7L2;CDKN1A;AXIN2;PIK3R1;PTGS2;TNF;RELA;EGFR;VEGFA;CCND2;APC;KRAS;TP53
Transcriptional misregulation in cancer	11/192	1.28966674562365E-12	1.2058384071581127E-11	0	0	30.8059215186287	843.362539111361	NTRK1;CDKN1A;CCND2;SP1;MYC;PPARG;PROM1;MMP9;TP53;RELA;TGFBR2
Fluid shear stress and atherosclerosis	10/139	1.535383067923258E-12	1.367222065245949E-11	0	0	38.41279069767442	1044.9139981217074	IFNG;SRC;BCL2;PIK3R1;MMP9;TP53;TNF;RELA;ACTB;VEGFA
Apoptosis	10/142	1.9040767293363476E-12	1.6184652199358954E-11	0	0	37.53409090909091	1012.9334077284045	NTRK1;BCL2;TNFSF10;TNFRSF10A;KRAS;PIK3R1;TP53;TNF;RELA;ACTB
Thyroid cancer	7/37	3.829389820900757E-12	3.1134604196019195E-11	0	0	108.09302325581395	2841.5835139517394	NTRK1;TCF7L2;CDKN1A;MYC;KRAS;PPARG;TP53
Cellular senescence	10/156	4.896031495064665E-12	3.814824539904552E-11	0	0	33.91095890410959	883.1294073894544	CDKN1A;CCND2;MYC;CHEK2;NFATC1;KRAS;PIK3R1;TP53;RELA;TGFBR2
Human T-cell leukemia virus 1 infection	11/219	5.417786203568434E-12	4.0525040802691886E-11	0	0	26.770463510848128	694.4615308108714	CDKN1A;CCND2;MYC;CHEK2;NFATC1;KRAS;PIK3R1;TP53;TNF;RELA;TGFBR2
JAK-STAT signaling pathway	10/162	7.142001938740229E-12	5.13674754824778E-11	0	0	32.5625	835.7174740969602	CDKN1A;CCND2;IFNG;IFNGR1;MYC;IFNGR2;BCL2;STAT6;PIK3R1;EGFR
PD-L1 expression and PD-1 checkpoint pathway in cancer	8/89	5.138048737379545E-11	3.479796911029144E-10	0	0	46.72310405643739	1106.9526910446777	IFNG;IFNGR1;IFNGR2;NFATC1;KRAS;PIK3R1;RELA;EGFR
