Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytokine-cytokine receptor interaction	14/295	9.87289182145983E-15	1.451315097754595E-12	0	0	27.220838275998418	877.844366959891	TGFB2;CXCL9;TGFB1;TNFSF15;IL23R;CXCR5;TNFRSF1A;CXCL10;CCL5;IL21R;IL12B;IL12A;IL12RB1;IL7R
Inflammatory bowel disease	9/65	5.1250195702748785E-14	3.766889384152036E-12	0	0	77.98170731707317	2386.4006490232737	TGFB2;TGFB1;IL23R;IL21R;STAT4;IL12B;IL12A;IL12RB1;NFKB1
Chagas disease	9/102	3.4293696654803412E-12	1.680391136085367E-10	0	0	46.869394177812744	1237.2884815156947	TGFB2;TGFB1;NOS2;CCL5;IL12B;IL12A;CD3D;NFKB1;TNFRSF1A
Toll-like receptor signaling pathway	8/104	1.8220300328110183E-10	6.6959603705804925E-9	0	0	39.392857142857146	883.4202611261386	CXCL10;CXCL9;CD80;CCL5;IL12B;IRF5;IL12A;NFKB1
Th17 cell differentiation	8/107	2.2927846554554445E-10	6.740786887039007E-9	0	0	38.19336219336219	847.7430695419758	TGFB1;IL23R;IL21R;TYK2;IL12RB1;CD3D;HIF1A;NFKB1
Toxoplasmosis	8/112	3.3135300107779077E-10	8.118148526405875E-9	0	0	36.34798534798535	793.3978936498781	TGFB2;TGFB1;NOS2;IL12B;IL12A;TYK2;NFKB1;TNFRSF1A
Th1 and Th2 cell differentiation	7/92	2.937970265411981E-9	6.169737557365159E-8	0	0	38.04514363885089	747.4176529109521	STAT4;IL12B;IL12A;TYK2;IL12RB1;CD3D;NFKB1
Pathways in cancer	12/531	5.252861712427159E-9	9.207522624966858E-8	0	0	11.82293885001521	225.39833282649477	TGFB2;TGFB1;NOS2;IL23R;STAT4;IL12B;IL12A;IL12RB1;IL7R;HIF1A;NFKB1;NFE2L2
Amoebiasis	7/102	6.077512721286986E-9	9.207522624966858E-8	0	0	34.02325581395349	643.6747598402659	COL1A1;TGFB2;TGFB1;NOS2;IL12B;IL12A;NFKB1
JAK-STAT signaling pathway	8/162	6.263620833310788E-9	9.207522624966858E-8	0	0	24.484848484848484	462.4822420674509	IL23R;IL21R;STAT4;IL12B;IL12A;TYK2;IL12RB1;IL7R
Leishmaniasis	6/77	3.708973779530214E-8	4.956537687190377E-7	0	0	38.17989756722151	653.2552035411935	TGFB2;TGFB1;NOS2;IL12B;IL12A;NFKB1
Influenza A	7/172	2.2519204730402957E-7	2.758602579474362E-6	0	0	19.520084566596193	298.7805096248113	CXCL10;CCL5;IL12B;IL12A;TYK2;NFKB1;TNFRSF1A
Tuberculosis	7/180	3.0663401756322646E-7	3.467323121676484E-6	0	0	18.6098938029305	279.10394662507593	TGFB2;TGFB1;NOS2;IL12B;IL12A;NFKB1;TNFRSF1A
Bile secretion	5/90	2.9784022266818907E-6	3.127322338015985E-5	0	0	25.96732026143791	330.4113917046364	ABCC2;ABCB4;SLC4A2;ABCB11;CFTR
ABC transporters	4/45	4.7739634713051924E-6	4.329940121578275E-5	0	0	42.224814422057264	517.3525159455436	ABCC2;ABCB4;ABCB11;CFTR
AGE-RAGE signaling pathway in diabetic complications	5/100	5.007413746042903E-6	4.329940121578275E-5	0	0	23.22222222222222	283.4177242058149	COL1A1;EGR1;TGFB2;TGFB1;NFKB1
Viral protein interaction with cytokine and cytokine receptor	5/100	5.007413746042903E-6	4.329940121578275E-5	0	0	23.22222222222222	283.4177242058149	CXCL10;CXCL9;CCL5;CXCR5;TNFRSF1A
Malaria	4/50	7.311553275640785E-6	5.9711018417733076E-5	0	0	37.62570888468809	444.9636959254857	TGFB2;TGFB1;HBB;IL12A
Lipid and atherosclerosis	6/215	1.5413559820585674E-5	1.1814908664323397E-4	0	0	12.880165289256198	142.71561796278468	CCL5;IL12B;IL12A;NFKB1;TNFRSF1A;NFE2L2
Osteoclast differentiation	5/127	1.607470566574612E-5	1.1814908664323397E-4	0	0	18.058287795992715	199.33214082199027	TGFB2;TGFB1;TYK2;NFKB1;TNFRSF1A
Human T-cell leukemia virus 1 infection	6/219	1.7108771211844938E-5	1.1976139848291456E-4	0	0	12.635723431498079	138.68868054979697	EGR1;TGFB2;TGFB1;CD3D;NFKB1;TNFRSF1A
Coronavirus disease	6/232	2.3687165734740502E-5	1.582733346821297E-4	0	0	11.901045856798069	126.75300750008579	CXCL10;IL12B;IL12A;TYK2;NFKB1;TNFRSF1A
Measles	5/139	2.4857279098527522E-5	1.5887043597754546E-4	0	0	16.43117744610282	174.20925730543715	IL12B;IL12A;TYK2;CD3D;NFKB1
RIG-I-like receptor signaling pathway	4/70	2.8059102879129766E-5	1.7186200513466982E-4	0	0	26.197628458498023	274.5825167346738	CXCL10;IL12B;IL12A;NFKB1
