Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Th17 cell differentiation	11/107	1.903319528147464E-15	2.108591597208812E-13	0	0	58.33173076923077	1977.1643340703743	STAT1;IL2RA;STAT3;IL2RB;HLA-DPB1;TYK2;IL6ST;IL6R;HLA-DRB1;RUNX1;JAK1
Toxoplasmosis	11/112	3.194835753346685E-15	2.108591597208812E-13	0	0	55.43005839045443	1850.1024017893694	IL10;CD40;CIITA;STAT1;TRAF6;STAT3;HLA-DPB1;TYK2;TNF;HLA-DRB1;JAK1
JAK-STAT signaling pathway	12/162	4.911788829668349E-15	2.1611870850540735E-13	0	0	41.68421052631579	1373.3754447888732	IL10;STAT1;IL2RA;STAT3;IL2RB;STAT4;GRB2;TYK2;IL6ST;IL6R;PTPN2;JAK1
Leishmaniasis	8/77	1.5655664721630342E-11	5.166369358138013E-10	0	0	54.88198757763975	1365.474185286319	IL10;FCGR2A;STAT1;TRAF6;HLA-DPB1;TNF;HLA-DRB1;JAK1
Measles	9/139	5.7290107832856604E-11	1.269806896378965E-9	0	0	33.4671669793621	789.2526227495924	STAT1;IL2RA;TRAF6;STAT3;IL2RB;CD28;TNFAIP3;TYK2;JAK1
Epstein-Barr virus infection	10/202	6.385223973711247E-11	1.269806896378965E-9	0	0	25.7265625	603.9168910818081	CD40;STAT1;TRAF6;STAT3;HLA-DPB1;TNFAIP3;TYK2;TNF;HLA-DRB1;JAK1
Th1 and Th2 cell differentiation	8/92	6.733824450494511E-11	1.269806896378965E-9	0	0	45.04761904761905	1055.073474380631	STAT1;IL2RA;IL2RB;STAT4;HLA-DPB1;TYK2;HLA-DRB1;JAK1
Staphylococcus aureus infection	8/95	8.744246051723346E-11	1.4428005985343522E-9	0	0	43.48768472906404	1007.17652361479	IL10;DEFB103A;DEFB103B;FCGR2A;HLA-DPB1;DEFB1;DEFB4A;HLA-DRB1
Viral protein interaction with cytokine and cytokine receptor	8/100	1.3262323684627996E-10	1.9451408070787726E-9	0	0	41.113871635610764	935.0737018959279	IL10;CCL20;IL2RA;IL2RB;CCR6;IL6ST;TNF;IL6R
Inflammatory bowel disease	7/65	2.45659003353266E-10	3.2426988442631112E-9	0	0	55.83159582999198	1235.3900035956647	IL10;STAT1;STAT3;STAT4;HLA-DPB1;TNF;HLA-DRB1
Allograft rejection	6/38	4.6483674541555455E-10	5.5780409449866546E-9	0	0	84.8778409090909	1823.9683452442905	IL10;CD40;CD28;HLA-DPB1;TNF;HLA-DRB1
Tuberculosis	9/180	5.780667043215114E-10	6.165284274385821E-9	0	0	25.390243902439025	540.0843037634978	IL10;CIITA;FCGR2A;STAT1;TRAF6;HLA-DPB1;TNF;HLA-DRB1;JAK1
NOD-like receptor signaling pathway	9/181	6.071870876289066E-10	6.165284274385821E-9	0	0	25.241349971639252	535.6765774317178	DEFB103A;DEFB103B;STAT1;TRAF6;TNFAIP3;TYK2;DEFB4A;TNF;JAK1
Pathways in cancer	12/531	5.252861712427159E-9	4.747994612387335E-8	0	0	11.82293885001521	225.39833282649477	STAT1;IL2RA;TRAF6;STAT3;IL2RB;STAT4;GRB2;TRAF1;IL6ST;IL6R;RUNX1;JAK1
Coronavirus disease	9/232	5.395448423167426E-9	4.747994612387335E-8	0	0	19.418462211527945	369.6830546253002	FCGR2A;STAT1;TRAF6;STAT3;TYK2;IL6ST;TNF;IL6R;JAK1
Hepatitis B	8/162	6.263620833310788E-9	5.1674871874814E-8	0	0	24.484848484848484	462.4822420674509	STAT1;TRAF6;STAT3;STAT4;GRB2;TYK2;TNF;JAK1
Asthma	5/31	1.2861415497107111E-8	9.986510856577286E-8	0	0	85.14529914529915	1547.0078397459679	IL10;CD40;HLA-DPB1;TNF;HLA-DRB1
Osteoclast differentiation	7/127	2.8053410611254743E-8	2.0572501114920145E-7	0	0	26.901162790697676	467.78850617885695	FCGR2A;STAT1;TRAF6;GRB2;TYK2;TNF;JAK1
Systemic lupus erythematosus	7/135	4.2809996276676373E-8	2.8472320602740475E-7	0	0	25.209665697674417	427.71964693839044	IL10;CD40;FCGR2A;CD28;HLA-DPB1;TNF;HLA-DRB1
Cytokine-cytokine receptor interaction	9/295	4.313987970112193E-8	2.8472320602740475E-7	0	0	15.092614702370799	255.95290564857874	IL10;CD40;CCL20;IL2RA;IL2RB;CCR6;IL6ST;TNF;IL6R
Hepatitis C	7/157	1.2084836241792255E-7	7.532880067849767E-7	0	0	21.488372093023255	342.2824617467659	STAT1;TRAF6;STAT3;GRB2;TYK2;TNF;JAK1
Intestinal immune network for IgA production	5/48	1.2554800113082946E-7	7.532880067849767E-7	0	0	51.43927648578811	817.3998184079808	IL10;CD40;CD28;HLA-DPB1;HLA-DRB1
Necroptosis	7/159	1.3177575991908014E-7	7.562782743181991E-7	0	0	21.203488372093023	335.9091432888057	STAT1;STAT3;STAT4;TNFAIP3;TYK2;TNF;JAK1
Autoimmune thyroid disease	5/53	2.0844532470415453E-7	1.14644928587285E-6	0	0	46.06944444444444	708.713401635581	IL10;CD40;CD28;HLA-DPB1;HLA-DRB1
Influenza A	7/172	2.2519204730402957E-7	1.1890140097652761E-6	0	0	19.520084566596193	298.7805096248113	CIITA;STAT1;HLA-DPB1;TYK2;TNF;HLA-DRB1;JAK1
Human T-cell leukemia virus 1 infection	7/219	1.1483367272312394E-6	5.8300172305586E-6	0	0	15.156428258007898	207.29743974271116	CD40;IL2RA;IL2RB;HLA-DPB1;TNF;HLA-DRB1;JAK1
PD-L1 expression and PD-1 checkpoint pathway in cancer	5/89	2.8182137033055165E-6	1.3777933660604749E-5	0	0	26.27777777777778	335.81442548341727	STAT1;TRAF6;STAT3;CD28;JAK1
Rheumatoid arthritis	5/93	3.502294834838377E-6	1.6245350832851537E-5	0	0	25.078282828282827	315.0356995323513	CCL20;CD28;HLA-DPB1;TNF;HLA-DRB1
Graft-versus-host disease	4/42	3.606194149215101E-6	1.6245350832851537E-5	0	0	45.56521739130435	571.0623808062053	CD28;HLA-DPB1;TNF;HLA-DRB1
IL-17 signaling pathway	5/94	3.69212518928444E-6	1.6245350832851537E-5	0	0	24.79525593008739	310.17150164101974	CCL20;TRAF6;TNFAIP3;DEFB4A;TNF
Type I diabetes mellitus	4/43	3.968757264734964E-6	1.6899224482097264E-5	0	0	44.39464882943144	552.1388021294391	CD28;HLA-DPB1;TNF;HLA-DRB1
Hematopoietic cell lineage	5/99	4.765968552006924E-6	1.965962027702856E-5	0	0	23.47044917257683	287.60711364808213	IL2RA;HLA-DPB1;TNF;IL6R;HLA-DRB1
