Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transcriptional misregulation in cancer	16/192	1.0204849083202485E-20	1.5205225133971704E-18	0	0	52.8716577540107	2433.75769276238	TAF15;FUS;ASPSCR1;PAX3;ETV1;IGF1;ETV4;FLI1;IGF1R;PAX7;EWSR1;DDIT3;ERG;SSX2;TP53;SSX1
Bladder cancer	8/41	7.603270058157517E-14	5.66443619332735E-12	0	0	114.96103896103897	3472.6985607985252	RB1;CCND1;CDKN2A;ERBB2;KRAS;HRAS;TP53;VEGFA
Prostate cancer	9/97	2.1596957026517578E-12	1.072648865650373E-10	0	0	49.54490022172949	1330.828229507382	RB1;CCND1;ERBB2;KRAS;IGF1;ERG;TP53;HRAS;IGF1R
Melanoma	8/72	8.988769711574868E-12	3.348316717561638E-10	0	0	59.18452380952381	1505.3610339495863	RB1;CCND1;CDKN2A;KRAS;IGF1;TP53;HRAS;IGF1R
Glioma	8/75	1.2599370166854836E-11	3.754612309722741E-10	0	0	56.52594171997157	1418.652716439612	RB1;CCND1;CDKN2A;KRAS;IGF1;TP53;HRAS;IGF1R
Non-small cell lung cancer	7/72	5.129969500085945E-10	1.2739424258546762E-8	0	0	49.80143112701252	1065.2900234475383	RB1;CCND1;CDKN2A;ERBB2;KRAS;TP53;HRAS
Pancreatic cancer	7/76	7.556061598684745E-10	1.6083616831486098E-8	0	0	46.90495449949444	985.1682506696322	RB1;CCND1;CDKN2A;ERBB2;KRAS;TP53;VEGFA
MAPK signaling pathway	10/294	2.4717141417112557E-9	4.6035675889372136E-8	0	0	17.31161971830986	343.08780689549496	DDIT3;ERBB2;NF1;KRAS;IGF1;TP53;HRAS;MYD88;VEGFA;IGF1R
Breast cancer	8/147	2.90759813834101E-9	4.8136902512534506E-8	0	0	27.14765330592669	533.6126032194313	RB1;CCND1;ERBB2;KRAS;IGF1;TP53;HRAS;IGF1R
Cellular senescence	8/156	4.651623784579636E-9	6.930919439023658E-8	0	0	25.485199485199484	488.96029826237566	RB1;CCND1;CDKN2A;CHEK2;KRAS;NBN;TP53;HRAS
Chronic myeloid leukemia	6/76	3.4264233234940834E-8	4.64124613818744E-7	0	0	38.72727272727273	665.6894340359096	RB1;CCND1;CDKN2A;KRAS;TP53;HRAS
Proteoglycans in cancer	8/205	3.943759416832193E-8	4.896834609233307E-7	0	0	19.098863911046653	325.60786583412323	CCND1;ERBB2;KRAS;IGF1;TP53;HRAS;VEGFA;IGF1R
Pathways in cancer	11/531	6.097370300213472E-8	6.988524421013902E-7	0	0	10.538954635108482	175.081789686985	RB1;CCND1;CDKN2A;ERBB2;CXCR4;KRAS;IGF1;TP53;HRAS;VEGFA;IGF1R
Human T-cell leukemia virus 1 infection	8/219	6.575174979453356E-8	6.997864799561072E-7	0	0	17.819002482509593	294.679607316203	RB1;EGR2;CCND1;CDKN2A;CHEK2;KRAS;TP53;HRAS
Human cytomegalovirus infection	8/225	8.099137412883795E-8	8.04514316346457E-7	0	0	17.321044546851	282.83400580602716	RB1;CCND1;CDKN2A;CXCR4;KRAS;TP53;HRAS;VEGFA
Hepatocellular carcinoma	7/168	1.9186763182608738E-7	1.7867673213804386E-6	0	0	20.009100101112235	309.469948755916	RB1;CCND1;CDKN2A;KRAS;TP53;HRAS;IGF1R
Endometrial cancer	5/58	3.297257434236436E-7	2.889949162948406E-6	0	0	41.712788259958074	622.5635570157278	CCND1;ERBB2;KRAS;TP53;HRAS
Cell cycle	6/124	6.392463415054622E-7	5.291539160239659E-6	0	0	22.918335901386747	326.8836736814432	RB1;STAG2;CCND1;CDKN2A;CHEK2;TP53
Viral carcinogenesis	7/203	6.905619176458789E-7	5.415459248907155E-6	0	0	16.406976744186046	232.7454376569707	RB1;EGR2;CCND1;CDKN2A;KRAS;TP53;HRAS
p53 signaling pathway	5/73	1.0508789438099845E-6	7.829048131384385E-6	0	0	32.48692810457516	447.2112725834527	CCND1;CDKN2A;CHEK2;IGF1;TP53
Gastric cancer	6/149	1.8741963174334764E-6	1.329786910940895E-5	0	0	18.88779402415766	249.0795845004167	RB1;CCND1;ERBB2;KRAS;TP53;HRAS
Thyroid cancer	4/37	2.1475080278170994E-6	1.4544486188397627E-5	0	0	52.48221343873518	684.9559923443245	CCND1;KRAS;HRAS;TP53
PI3K-Akt signaling pathway	8/354	2.4990183965220895E-6	1.618929309051267E-5	0	0	10.792182769061382	139.21497623123935	CCND1;ERBB2;KRAS;IGF1;TP53;HRAS;VEGFA;IGF1R
Hepatitis B	6/162	3.045926351060931E-6	1.8910126096169944E-5	0	0	17.302447552447553	219.77059294082375	RB1;EGR2;KRAS;TP53;HRAS;MYD88
Longevity regulating pathway	5/102	5.5190445322269966E-6	3.28935054120729E-5	0	0	22.741122565864835	275.3337252458451	KRAS;IGF1;TP53;HRAS;IGF1R
Kaposi sarcoma-associated herpesvirus infection	6/193	8.339574595605604E-6	4.779217749020135E-5	0	0	14.411521633446768	168.5355159722058	RB1;CCND1;KRAS;TP53;HRAS;VEGFA
Focal adhesion	6/201	1.0514376592000917E-5	5.8023781933634686E-5	0	0	13.814685314685315	158.35451946636232	CCND1;ERBB2;IGF1;HRAS;VEGFA;IGF1R
MicroRNAs in cancer	7/310	1.1330530696877687E-5	6.0294609779813404E-5	0	0	10.555606723463043	120.20735116559368	CCND1;CDKN2A;ERBB2;KRAS;TP53;HRAS;VEGFA
Long-term depression	4/60	1.5199477972841366E-5	7.809386958459874E-5	0	0	30.891304347826086	342.71583703038743	KRAS;IGF1;HRAS;IGF1R
FoxO signaling pathway	5/131	1.86764649362969E-5	9.275977585027461E-5	0	0	17.48148148148148	190.342677568108	CCND1;KRAS;IGF1;HRAS;IGF1R
Ras signaling pathway	6/232	2.3687165734740502E-5	1.1385121595084952E-4	0	0	11.901045856798069	126.75300750008579	NF1;KRAS;IGF1;HRAS;VEGFA;IGF1R
Apoptosis	5/142	2.7545755848420587E-5	1.2485481711095698E-4	0	0	16.068937550689377	168.71841437808396	PARP1;DDIT3;KRAS;TP53;HRAS
Central carbon metabolism in cancer	4/70	2.8059102879129766E-5	1.2485481711095698E-4	0	0	26.197628458498023	274.5825167346738	ERBB2;KRAS;TP53;HRAS
Signaling pathways regulating pluripotency of stem cells	5/143	2.8490360951493534E-5	1.2485481711095698E-4	0	0	15.951690821256038	166.94951464681884	KRAS;IGF1;HRAS;POU5F1;IGF1R
Hepatitis C	5/157	4.4554251379025696E-5	1.8967381301356653E-4	0	0	14.472222222222221	144.9943431158942	RB1;CCND1;KRAS;TP53;HRAS
Colorectal cancer	4/86	6.310381984044947E-5	2.611796987840826E-4	0	0	21.068928950159066	203.75190754771063	CCND1;KRAS;TP53;HRAS
AGE-RAGE signaling pathway in diabetic complications	4/100	1.1356720906997502E-4	4.5733822030881834E-4	0	0	17.983695652173914	163.34798914770596	CCND1;KRAS;HRAS;VEGFA
HIF-1 signaling pathway	4/109	1.5848493118390697E-4	6.214277564842667E-4	0	0	16.434782608695652	143.80189971009636	ERBB2;IGF1;VEGFA;IGF1R
Human papillomavirus infection	6/331	1.6899006153799664E-4	6.456286966451667E-4	0	0	8.234265734265735	71.52012023084008	RB1;CCND1;KRAS;TP53;HRAS;VEGFA
Rap1 signaling pathway	5/210	1.7558484699360582E-4	6.540535550511817E-4	0	0	10.70189701897019	92.54345771300899	KRAS;IGF1;HRAS;VEGFA;IGF1R
Human immunodeficiency virus 1 infection	5/212	1.8350252601825146E-4	6.668750335785237E-4	0	0	10.597423510466989	91.17262425650792	CXCR4;KRAS;TNFRSF1B;HRAS;MYD88
Lipid and atherosclerosis	5/215	1.958873822022167E-4	6.949338082888164E-4	0	0	10.444444444444445	89.17436006445801	DDIT3;KRAS;TP53;HRAS;MYD88
Thyroid hormone signaling pathway	4/121	2.3674726676064357E-4	8.203568080775789E-4	0	0	14.740245261984393	123.05919361950457	CCND1;KRAS;TP53;HRAS
Chemical carcinogenesis	5/239	3.194153332596546E-4	0.0010816564694474666	0	0	9.361823361823362	75.35348771877803	RB1;CCND1;KRAS;HRAS;VEGFA
VEGF signaling pathway	3/59	4.330691157728682E-4	0.001433939961114608	0	0	22.675531914893618	175.61322428345238	KRAS;HRAS;VEGFA
mTOR signaling pathway	4/154	5.910972558026697E-4	0.0019146411111869086	0	0	11.478260869565217	85.32399643761593	KRAS;IGF1;HRAS;IGF1R
Acute myeloid leukemia	3/67	6.292667740133991E-4	0.0019949095601701377	0	0	19.83311170212766	146.18897916479884	CCND1;KRAS;HRAS
