Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways in cancer	26/531	3.8863642295620024E-28	7.034319255507224E-26	0	0	41.71369636963696	2632.7561307599753	CDKN1A;PTGS2;EGFR;CCND2;MYC;ERBB2;HES1;JAG2;TCF7L2;SMAD4;CDKN2A;VEGFD;AXIN2;MLH1;MMP9;TGFBR2;VEGFA;MSH6;MSH2;APC;PIK3CA;IFNG;BCL2;PPARG;KRAS;TP53
Colorectal cancer	15/86	1.7476327004043565E-24	1.5816075938659425E-22	0	0	119.99396378269617	6564.123408375565	TCF7L2;SMAD4;CDKN1A;AXIN2;MLH1;EGFR;TGFBR2;MSH6;MSH2;APC;PIK3CA;MYC;BCL2;KRAS;TP53
Gastric cancer	15/149	1.0571940682646182E-20	6.378404211863197E-19	0	0	63.3773987206823	2915.1121278121855	TCF7L2;SMAD4;CDKN1A;CDX2;AXIN2;MLH1;EGFR;TGFBR2;APC;PIK3CA;MYC;ERBB2;BCL2;KRAS;TP53
Endometrial cancer	11/58	1.5268140989814132E-18	6.908833797890895E-17	0	0	119.43971631205673	4899.8170947934295	TCF7L2;CDKN1A;APC;PIK3CA;MYC;ERBB2;KRAS;AXIN2;MLH1;TP53;EGFR
Bladder cancer	9/41	5.870971892905282E-16	2.1252918252317122E-14	0	0	136.6326219512195	4791.889316930085	CDKN1A;CDKN2A;MYC;ERBB2;KRAS;MMP9;TP53;EGFR;VEGFA
MicroRNAs in cancer	15/310	7.048717143789534E-16	2.1263630050431763E-14	0	0	28.5544794188862	996.2234078816351	DNMT1;CDKN1A;CDKN2A;PTGS2;MMP9;EGFR;VEGFA;CCND2;APC;PIK3CA;MYC;ERBB2;BCL2;KRAS;TP53
Breast cancer	12/147	1.50433934198292E-15	3.889791727127265E-14	0	0	46.35087719298246	1581.9750250178079	JAG2;TCF7L2;CDKN1A;APC;PIK3CA;MYC;ERBB2;HES1;KRAS;AXIN2;TP53;EGFR
Pancreatic cancer	10/76	3.0861874068496613E-15	6.982499007997359E-14	0	0	75.31818181818181	2516.519033578016	SMAD4;CDKN1A;PIK3CA;CDKN2A;ERBB2;KRAS;TP53;EGFR;TGFBR2;VEGFA
Hepatocellular carcinoma	12/168	7.634909854155586E-15	1.535465204002401E-13	0	0	40.068825910931174	1302.479068705257	TCF7L2;SMAD4;CDKN1A;APC;PIK3CA;CDKN2A;MYC;KRAS;AXIN2;TP53;EGFR;TGFBR2
Human papillomavirus infection	14/331	4.818772500505999E-14	8.721978225915858E-13	0	0	24.085348755695758	738.5452360381744	TCF7L2;CDKN1A;TSC2;AXIN2;PTGS2;TNF;EGFR;VEGFA;CCND2;APC;PIK3CA;HES1;KRAS;TP53
Prostate cancer	9/97	2.1596957026517578E-12	3.553681110726983E-11	0	0	49.54490022172949	1330.828229507382	TCF7L2;CDKN1A;PIK3CA;ERBB2;BCL2;KRAS;MMP9;TP53;EGFR
Cellular senescence	10/156	4.896031495064665E-12	7.38484750505587E-11	0	0	33.91095890410959	883.1294073894544	CDKN1A;CCND2;PIK3CA;CDKN2A;MYC;CHEK2;TSC2;KRAS;TP53;TGFBR2
Human T-cell leukemia virus 1 infection	11/219	5.417786203568434E-12	7.54322540650682E-11	0	0	26.770463510848128	694.4615308108714	SMAD4;CDKN1A;CCND2;PIK3CA;CDKN2A;MYC;CHEK2;KRAS;TP53;TNF;TGFBR2
Hepatitis B	10/162	7.142001938740229E-12	8.766796943985964E-11	0	0	32.5625	835.7174740969602	SMAD4;CDKN1A;PIK3CA;MYC;BCL2;KRAS;MMP9;TP53;TNF;TGFBR2
Human cytomegalovirus infection	11/225	7.265301334794998E-12	8.766796943985964E-11	0	0	26.01198178768272	667.1530027244244	CDKN1A;PIK3CA;CDKN2A;MYC;TSC2;KRAS;PTGS2;TP53;TNF;EGFR;VEGFA
p53 signaling pathway	8/73	1.0076230064345789E-11	1.1398735260291174E-10	0	0	58.27106227106227	1475.4723565554157	CDKN1A;CCND2;CDKN2A;CHEK2;BCL2;TSC2;TNFRSF10A;TP53
Chronic myeloid leukemia	8/76	1.4055351635445035E-11	1.4964815564797358E-10	0	0	55.69187675070028	1391.6296127608857	SMAD4;CDKN1A;PIK3CA;CDKN2A;MYC;KRAS;TP53;TGFBR2
PI3K-Akt signaling pathway	12/354	5.210391096728129E-11	5.239337713932174E-10	0	0	18.105263157894736	428.69245787273735	CDKN1A;CCND2;PIK3CA;MYC;ERBB2;BCL2;TSC2;VEGFD;KRAS;TP53;EGFR;VEGFA
Proteoglycans in cancer	10/205	7.383764510830356E-11	7.034007244527866E-10	0	0	25.326923076923077	590.8556487419828	CDKN1A;PIK3CA;MYC;ERBB2;KRAS;MMP9;TP53;TNF;EGFR;VEGFA
AGE-RAGE signaling pathway in diabetic complications	8/100	1.3262323684627996E-10	1.2002402934588338E-9	0	0	41.113871635610764	935.0737018959279	SMAD4;PIK3CA;BCL2;VEGFD;KRAS;TNF;TGFBR2;VEGFA
Thyroid cancer	6/37	3.921799652168275E-10	3.380217795440275E-9	0	0	87.62023460410558	1897.7929724681978	TCF7L2;CDKN1A;MYC;KRAS;PPARG;TP53
Non-small cell lung cancer	7/72	5.129969500085945E-10	4.220565815979799E-9	0	0	49.80143112701252	1065.2900234475383	CDKN1A;PIK3CA;CDKN2A;ERBB2;KRAS;TP53;EGFR
FoxO signaling pathway	8/131	1.1633190840513217E-9	9.154815400577793E-9	0	0	30.70383275261324	631.6388985341622	SMAD4;CDKN1A;CCND2;PIK3CA;TNFSF10;KRAS;EGFR;TGFBR2
Fluid shear stress and atherosclerosis	8/139	1.8650417389631724E-9	1.4065523114680593E-8	0	0	28.81715739731007	579.2243566180767	PIK3CA;IFNG;BCL2;MMP9;TP53;TNF;VEGFA;BMPR1A
Mismatch repair	5/23	2.5855177493955883E-9	1.871914850562406E-8	0	0	123.03703703703704	2432.8531732023093	MSH6;MSH2;PMS2;MLH1;MLH3
Lipid and atherosclerosis	9/215	2.7722059302448485E-9	1.9298818206704522E-8	0	0	21.0390717499408	414.5459268583625	PIK3CA;BCL2;TNFSF10;TNFRSF10A;PPARG;KRAS;MMP9;TP53;TNF
Hepatitis C	8/157	4.892198565312975E-9	3.2795849641542535E-8	0	0	25.312879514221795	484.3777455044546	CDKN1A;PIK3CA;IFNG;MYC;KRAS;TP53;TNF;EGFR
Hippo signaling pathway	8/163	6.574570025872902E-9	4.249989909582126E-8	0	0	24.325652841781874	458.2966777412747	TCF7L2;SMAD4;CCND2;APC;MYC;AXIN2;TGFBR2;BMPR1A
Wnt signaling pathway	8/166	7.588916019845352E-9	4.7365303434207196E-8	0	0	23.860156720916216	446.10325909746996	TCF7L2;SMAD4;CCND2;APC;MYC;AXIN2;TP53;LGR5
HIF-1 signaling pathway	7/109	9.677632177753743E-9	5.8388380805780916E-8	0	0	31.67715458276334	584.5527431053572	CDKN1A;PIK3CA;IFNG;ERBB2;BCL2;EGFR;VEGFA
Central carbon metabolism in cancer	6/70	2.0783868004382314E-8	1.2135097125139352E-7	0	0	42.37073863636363	749.499755203888	PIK3CA;MYC;ERBB2;KRAS;TP53;EGFR
Transcriptional misregulation in cancer	8/192	2.3700625830013257E-8	1.2762664146934946E-7	0	0	20.461697722567287	359.26166748540885	CDKN1A;CCND2;MYC;PPARG;PROM1;MMP9;TP53;TGFBR2
Cell cycle	7/124	2.3766685537004766E-8	1.2762664146934946E-7	0	0	27.59511031604055	484.4316374072048	SMAD4;CDKN1A;CCND2;CDKN2A;MYC;CHEK2;TP53
Melanoma	6/72	2.4672935229796228E-8	1.2762664146934946E-7	0	0	41.082644628099175	719.6676484273828	CDKN1A;PIK3CA;CDKN2A;KRAS;TP53;EGFR
Kaposi sarcoma-associated herpesvirus infection	8/193	2.467918481451509E-8	1.2762664146934946E-7	0	0	20.35006435006435	356.4782975969936	TCF7L2;CDKN1A;PIK3CA;MYC;KRAS;PTGS2;TP53;VEGFA
Relaxin signaling pathway	7/129	3.126094204242394E-8	1.546756444240894E-7	0	0	26.457491422035837	457.2091676514456	PIK3CA;VEGFD;KRAS;MMP9;EGFR;TGFBR2;VEGFA
Glioma	6/75	3.1618778141940926E-8	1.546756444240894E-7	0	0	39.290513833992094	678.5281041776425	CDKN1A;PIK3CA;CDKN2A;KRAS;TP53;EGFR
Epstein-Barr virus infection	8/202	3.517479805088633E-8	1.6754311703185332E-7	0	0	19.39715267550319	332.9120894714375	CDKN1A;CCND2;PIK3CA;MYC;BCL2;HES1;TP53;TNF
MAPK signaling pathway	9/294	4.1901643065537794E-8	1.9446659986826517E-7	0	0	15.146341463414634	257.3051520687945	MYC;ERBB2;VEGFD;KRAS;TP53;TNF;EGFR;TGFBR2;VEGFA
Apoptosis	7/142	6.066401907506412E-8	2.7450468631466515E-7	0	0	23.89405684754522	397.0694076357183	PIK3CA;BCL2;TNFSF10;TNFRSF10A;KRAS;TP53;TNF
Signaling pathways regulating pluripotency of stem cells	7/143	6.366621876295093E-8	2.8106306331936874E-7	0	0	23.7171682626539	392.9842695119906	SMAD4;APC;PIK3CA;MYC;KRAS;AXIN2;BMPR1A
ErbB signaling pathway	6/85	6.739206916543918E-8	2.904277266415355E-7	0	0	34.29976985040276	566.3831299482074	CDKN1A;PIK3CA;MYC;ERBB2;KRAS;EGFR
Small cell lung cancer	6/92	1.0843486507975927E-7	4.564351297543356E-7	0	0	31.496828752642706	505.1183015691571	CDKN1A;PIK3CA;MYC;BCL2;PTGS2;TP53
TGF-beta signaling pathway	6/94	1.2334973200470086E-7	5.074159430193376E-7	0	0	30.77789256198347	489.62216825408126	SMAD4;IFNG;MYC;TNF;TGFBR2;BMPR1A
JAK-STAT signaling pathway	7/162	1.4972491728756042E-7	6.022268895344097E-7	0	0	20.789947486871718	326.7029252365948	CDKN1A;CCND2;PIK3CA;IFNG;MYC;BCL2;EGFR
Basal cell carcinoma	5/63	5.010714271942492E-7	1.9716071374382416E-6	0	0	38.10727969348659	552.8039074336782	TCF7L2;CDKN1A;APC;AXIN2;TP53
Focal adhesion	7/201	6.460793639854573E-7	2.4880928698163354E-6	0	0	16.577799088947494	236.2724868616084	CCND2;PIK3CA;ERBB2;BCL2;VEGFD;EGFR;VEGFA
Natural killer cell mediated cytotoxicity	6/131	8.829100290845922E-7	3.3293065680064833E-6	0	0	21.62727272727273	301.48510170936146	PIK3CA;IFNG;TNFSF10;TNFRSF10A;KRAS;TNF
Adherens junction	5/71	9.143438019950106E-7	3.3774740441040187E-6	0	0	33.474747474747474	465.46834484732955	TCF7L2;SMAD4;ERBB2;EGFR;TGFBR2
Chemical carcinogenesis	7/239	2.055382421117305E-6	7.440484364444645E-6	0	0	13.835805934242181	181.18055160402682	PIK3CA;MYC;BCL2;KRAS;PTGS2;EGFR;VEGFA
Cushing syndrome	6/155	2.3577693232323745E-6	8.36776955892274E-6	0	0	18.121720561317876	234.81753261346168	TCF7L2;CDKN1A;APC;CDKN2A;AXIN2;EGFR
Salmonella infection	7/249	2.6968621374320344E-6	9.387154747599966E-6	0	0	13.257351527964635	170.00460836832391	TCF7L2;PIK3CA;MYC;BCL2;TNFSF10;TNFRSF10A;TNF
Longevity regulating pathway	5/102	5.5190445322269966E-6	1.8848057742133706E-5	0	0	22.741122565864835	275.3337252458451	PIK3CA;TSC2;PPARG;KRAS;TP53
TNF signaling pathway	5/112	8.724181958097535E-6	2.9242165452141735E-5	0	0	20.60539979231568	240.04078856930977	PIK3CA;VEGFD;PTGS2;MMP9;TNF
Fanconi anemia pathway	4/54	9.96677383351584E-6	3.279974661575213E-5	0	0	34.608695652173914	398.5625163721059	PMS2;HES1;MLH1;FAN1
Viral carcinogenesis	6/203	1.1124184064625289E-5	3.595495206602103E-5	0	0	13.673050299953854	155.9601315647856	CDKN1A;CCND2;PIK3CA;CDKN2A;KRAS;TP53
Sphingolipid signaling pathway	5/119	1.1722324184051816E-5	3.722352065462068E-5	0	0	19.333333333333332	219.51096602896178	PIK3CA;BCL2;KRAS;TP53;TNF
Thyroid hormone signaling pathway	5/121	1.2711496424379857E-5	3.9668635393323345E-5	0	0	18.99808429118774	214.16547533782858	PIK3CA;MYC;TSC2;KRAS;TP53
VEGF signaling pathway	4/59	1.4212273040565254E-5	4.3600363056649335E-5	0	0	31.454545454545453	351.0769104667068	PIK3CA;KRAS;PTGS2;VEGFA
Osteoclast differentiation	5/127	1.607470566574612E-5	4.849202875833412E-5	0	0	18.058287795992715	199.33214082199027	PIK3CA;IFNG;PPARG;TNF;TGFBR2
Estrogen signaling pathway	5/137	2.3181611457894815E-5	6.878478153899937E-5	0	0	16.681818181818183	178.03088597976304	PIK3CA;BCL2;KRAS;MMP9;EGFR
Acute myeloid leukemia	4/67	2.3585692640606276E-5	6.885500593467317E-5	0	0	27.44927536231884	292.4684680957346	TCF7L2;PIK3CA;MYC;KRAS
Renal cell carcinoma	4/69	2.650437262169083E-5	7.614748324644509E-5	0	0	26.60200668896321	280.3372890754863	CDKN1A;PIK3CA;KRAS;VEGFA
Necroptosis	5/159	4.732647558049258E-5	1.3384518875108058E-4	0	0	14.282828282828282	142.23469822045013	IFNG;BCL2;TNFSF10;TNFRSF10A;TNF
Influenza A	5/172	6.875254637079586E-5	1.914493983556008E-4	0	0	13.162341982701264	126.16100557387368	PIK3CA;IFNG;TNFSF10;TNFRSF10A;TNF
PD-L1 expression and PD-1 checkpoint pathway in cancer	4/89	7.21571171107513E-5	1.9788542722796947E-4	0	0	20.32225063938619	193.80648896314605	PIK3CA;IFNG;KRAS;EGFR
IL-17 signaling pathway	4/94	8.929816660000783E-5	2.3993458817048424E-4	0	0	19.18840579710145	178.9036694469556	IFNG;PTGS2;MMP9;TNF
Cytokine-cytokine receptor interaction	6/295	9.014117124636978E-5	2.3993458817048424E-4	0	0	9.276973891160742	86.40697373569455	IFNG;TNFSF10;TNFRSF10A;TNF;TGFBR2;BMPR1A
Choline metabolism in cancer	4/98	1.0500420008966352E-4	2.754458002352043E-4	0	0	18.368177613321	168.28024670225724	PIK3CA;TSC2;KRAS;EGFR
Chagas disease	4/102	1.226260480091412E-4	3.1707592413792227E-4	0	0	17.614906832298136	158.64638771191477	PIK3CA;IFNG;TNF;TGFBR2
T cell receptor signaling pathway	4/104	1.3219781074871336E-4	3.3233060757662664E-4	0	0	17.26086956521739	154.16047142432132	PIK3CA;IFNG;KRAS;TNF
C-type lectin receptor signaling pathway	4/104	1.3219781074871336E-4	3.3233060757662664E-4	0	0	17.26086956521739	154.16047142432132	PIK3CA;KRAS;PTGS2;TNF
Rap1 signaling pathway	5/210	1.7558484699360582E-4	4.3535420966907745E-4	0	0	10.70189701897019	92.54345771300899	PIK3CA;VEGFD;KRAS;EGFR;VEGFA
Neurotrophin signaling pathway	4/119	2.2210330303179846E-4	5.432526736318315E-4	0	0	14.998109640831759	126.16961693338719	PIK3CA;BCL2;KRAS;TP53
Ras signaling pathway	5/232	2.785726986310303E-4	6.722887793628865E-4	0	0	9.653940283896231	79.02552843916146	PIK3CA;VEGFD;KRAS;EGFR;VEGFA
Alzheimer disease	6/369	3.033426237793879E-4	7.224344066324897E-4	0	0	7.358001502629602	59.60457735836674	APC;PIK3CA;KRAS;AXIN2;PTGS2;TNF
Shigellosis	5/246	3.646517597010696E-4	8.571684221544623E-4	0	0	9.086675887505763	71.9352852204834	PIK3CA;BCL2;TP53;TNF;EGFR
Autophagy	4/137	3.8005762975849497E-4	8.819286023883025E-4	0	0	12.956521739130435	102.03504010982898	PIK3CA;BCL2;TSC2;KRAS
Measles	4/139	4.015254683124459E-4	9.199507565133255E-4	0	0	12.76328502415459	99.81194689133622	CCND2;PIK3CA;BCL2;TP53
Phospholipase D signaling pathway	4/148	5.089776136847754E-4	0.0011515618509618044	0	0	11.960144927536232	90.69505302025782	PIK3CA;TSC2;KRAS;EGFR
mTOR signaling pathway	4/154	5.910972558026697E-4	0.0013047390646376002	0	0	11.478260869565217	85.32399643761593	PIK3CA;TSC2;KRAS;TNF
Oxytocin signaling pathway	4/154	5.910972558026697E-4	0.0013047390646376002	0	0	11.478260869565217	85.32399643761593	CDKN1A;KRAS;PTGS2;EGFR
Fc epsilon RI signaling pathway	3/68	6.571555344566322E-4	0.0014330741173090415	0	0	19.527004909983635	143.08588265054038	PIK3CA;KRAS;TNF
Prolactin signaling pathway	3/70	7.152738836628206E-4	0.0015412449159877444	0	0	18.94220387424579	137.19544727387992	CCND2;PIK3CA;KRAS
Leishmaniasis	3/77	9.441676964961806E-4	0.00201052180077422	0	0	17.14433582518689	119.41384383677425	IFNG;PTGS2;TNF
One carbon pool by folate	2/20	0.0011307590059983252	0.00237222810303472	0	0	46.138888888888886	313.0461870363529	MTHFR;TYMS
Pathways of neurodegeneration	6/475	0.00114024223737028	0.00237222810303472	0	0	5.664179104477612	38.38339211658432	APC;BCL2;KRAS;AXIN2;PTGS2;TNF
Herpes simplex virus 1 infection	6/498	0.0014521020034628908	0.002986709802577082	0	0	5.393015521064301	35.241971043897124	PIK3CA;IFNG;BCL2;TSC2;TP53;TNF
Rheumatoid arthritis	3/93	0.0016286129467617961	0.003312122959144776	0	0	14.085106382978724	90.42675735150269	IFNG;TNF;VEGFA
Human immunodeficiency virus 1 infection	4/212	0.0019299146354208596	0.00388127276679084	0	0	8.253344481605351	51.585709880853	PIK3CA;BCL2;KRAS;TNF
Viral protein interaction with cytokine and cytokine receptor	3/100	0.0020046761378758565	0.003987322867643187	0	0	13.064049133581927	81.15743654844592	TNFSF10;TNFRSF10A;TNF
Amoebiasis	3/102	0.002121212982648662	0.004157180056744718	0	0	12.798839458413926	78.78667603753651	PIK3CA;IFNG;TNF
Regulation of actin cytoskeleton	4/218	0.0021360096424157945	0.004157180056744718	0	0	8.01950426655831	49.31045489247079	APC;PIK3CA;KRAS;EGFR
NF-kappa B signaling pathway	3/104	0.0022418858798504493	0.004316822811201397	0	0	12.544133136717926	76.5247046664134	BCL2;PTGS2;TNF
Parathyroid hormone synthesis, secretion and action	3/106	0.0023667454978385074	0.0045092730011449455	0	0	12.299318322660607	74.36462396066707	CDKN1A;BCL2;EGFR
Th17 cell differentiation	3/107	0.0024307608837506214	0.004582997082904818	0	0	12.180441898527006	73.32079059873531	SMAD4;IFNG;TGFBR2
Coronavirus disease	4/232	0.0026752089635542083	0.004991884767044451	0	0	7.521739130434782	44.556735074481445	PIK3CA;RPS19;TNF;EGFR
Toxoplasmosis	3/112	0.002766936229061339	0.0051103618108173715	0	0	11.618778059730626	68.43477270112554	IFNG;BCL2;TNF
Cholinergic synapse	3/113	0.002837432470264575	0.00518762906179685	0	0	11.512572533849129	67.51957659481218	PIK3CA;BCL2;KRAS
Calcium signaling pathway	4/240	0.0030219619876053227	0.005469751197565634	0	0	7.263817243920412	42.143570767541114	ERBB2;VEGFD;EGFR;VEGFA
