Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Th17 cell differentiation	8/107	2.7297310874782014E-12	1.9813154456247243E-10	0	0	72.9880624426079	1943.4398558785049	IL2RA;IL2RB;HLA-DPB1;TYK2;IL6ST;IL6R;HLA-DRB1;RUNX1
Toxoplasmosis	8/112	3.962630891249449E-12	1.9813154456247243E-10	0	0	69.46153846153847	1823.6510760873232	IL10;CD40;CIITA;TRAF6;HLA-DPB1;TYK2;TNF;HLA-DRB1
Allograft rejection	6/38	1.7851639338802776E-11	5.950546446267592E-10	0	0	155.765625	3855.031890987065	IL10;CD40;HLA-DPB1;CD28;TNF;HLA-DRB1
JAK-STAT signaling pathway	8/162	7.832163329093042E-11	1.9580408322732604E-9	0	0	46.79102715466352	1088.8364320672565	IL10;IL2RA;IL2RB;STAT4;TYK2;IL6ST;IL6R;PTPN2
Viral protein interaction with cytokine and cytokine receptor	7/100	1.1692252677215784E-10	2.338450535443157E-9	0	0	65.04862085086489	1487.6300567258356	IL10;IL2RA;IL2RB;CCR6;IL6ST;TNF;IL6R
Asthma	5/31	8.839742804621536E-10	1.3943632030082397E-8	0	0	153.41538461538462	3198.1881057536903	IL10;CD40;HLA-DPB1;TNF;HLA-DRB1
Systemic lupus erythematosus	7/135	9.760542421057678E-10	1.3943632030082397E-8	0	0	47.17866847826087	978.8395636718961	IL10;CD40;FCGR2A;HLA-DPB1;CD28;TNF;HLA-DRB1
Leishmaniasis	6/77	1.472881068588885E-9	1.8411013357361062E-8	0	0	70.0669014084507	1424.8836911394028	IL10;FCGR2A;TRAF6;HLA-DPB1;TNF;HLA-DRB1
Th1 and Th2 cell differentiation	6/92	4.361842183804087E-9	4.846491315337875E-8	0	0	57.80232558139535	1112.7162323123707	IL2RA;IL2RB;STAT4;HLA-DPB1;TYK2;HLA-DRB1
Tuberculosis	7/180	7.2723513276025E-9	7.2723513276025E-8	0	0	34.82759487308369	652.640784140407	IL10;CIITA;FCGR2A;TRAF6;HLA-DPB1;TNF;HLA-DRB1
Intestinal immune network for IgA production	5/48	8.752208425351148E-9	7.497854300642948E-8	0	0	92.68372093023255	1719.650030117923	IL10;CD40;HLA-DPB1;CD28;HLA-DRB1
Cytokine-cytokine receptor interaction	8/295	8.997425160771536E-9	7.497854300642948E-8	0	0	24.938866012036744	462.02559656886166	IL10;CD40;IL2RA;IL2RB;CCR6;IL6ST;TNF;IL6R
Autoimmune thyroid disease	5/53	1.4591832875840136E-8	1.1224486827569336E-7	0	0	83.00833333333334	1497.7030768145332	IL10;CD40;HLA-DPB1;CD28;HLA-DRB1
Epstein-Barr virus infection	7/202	1.615131286119086E-8	1.1536652043707757E-7	0	0	30.863991081382387	553.7390274817577	CD40;TRAF6;HLA-DPB1;TNFAIP3;TYK2;TNF;HLA-DRB1
Inflammatory bowel disease	5/65	4.147827623661016E-8	2.765218415774011E-7	0	0	66.36666666666666	1128.1069719262523	IL10;STAT4;HLA-DPB1;TNF;HLA-DRB1
Measles	6/139	5.233039362460508E-8	3.2706496015378175E-7	0	0	37.287593984962406	625.1521854658286	IL2RA;TRAF6;IL2RB;CD28;TNFAIP3;TYK2
Hematopoietic cell lineage	5/99	3.466561526999802E-7	2.0391538394116485E-6	0	0	42.28936170212766	629.0513992093792	IL2RA;HLA-DPB1;TNF;IL6R;HLA-DRB1
Graft-versus-host disease	4/42	4.4236226210207874E-7	2.3336978484864388E-6	0	0	80.69635627530364	1180.6794192941702	HLA-DPB1;CD28;TNF;HLA-DRB1
NF-kappa B signaling pathway	5/104	4.4340259121242336E-7	2.3336978484864388E-6	0	0	40.14343434343434	587.249778391191	CD40;TRAF6;TNFAIP3;TRAF1;TNF
Type I diabetes mellitus	4/43	4.872260936827863E-7	2.4361304684139317E-6	0	0	78.6232741617357	1142.7529316708928	HLA-DPB1;CD28;TNF;HLA-DRB1
Human T-cell leukemia virus 1 infection	6/219	7.672647598638889E-7	3.653641713637566E-6	0	0	23.188967136150236	326.5107191152849	CD40;IL2RA;IL2RB;HLA-DPB1;TNF;HLA-DRB1
Pathways in cancer	8/531	8.189686165156779E-7	3.722584620525809E-6	0	0	13.521293238310447	189.50390040784285	IL2RA;TRAF6;IL2RB;STAT4;TRAF1;IL6ST;IL6R;RUNX1
Coronavirus disease	6/232	1.074150937970815E-6	4.670221469438326E-6	0	0	21.84070796460177	300.1782541852689	FCGR2A;TRAF6;TYK2;IL6ST;TNF;IL6R
Viral myocarditis	4/60	1.8914708221769103E-6	7.881128425737126E-6	0	0	54.70879120879121	720.9609752049805	CD40;HLA-DPB1;CD28;HLA-DRB1
Cell adhesion molecules	5/148	2.5452345695736795E-6	1.0180938278294718E-5	0	0	27.73006993006993	357.1990099143294	CD40;PTPRC;HLA-DPB1;CD28;HLA-DRB1
Influenza A	5/172	5.313151203185328E-6	2.0112252781288116E-5	0	0	23.71616766467066	288.0405747569486	CIITA;HLA-DPB1;TYK2;TNF;HLA-DRB1
Antigen processing and presentation	4/78	5.430308250947791E-6	2.0112252781288116E-5	0	0	41.36382536382536	501.47494308857944	CIITA;HLA-DPB1;TNF;HLA-DRB1
Transcriptional misregulation in cancer	5/192	9.074418672492803E-6	3.240863811604573E-5	0	0	21.158288770053478	245.64881672856606	CD40;IL2RB;REL;TRAF1;RUNX1
Rheumatoid arthritis	4/93	1.0943185324258113E-5	3.773512180778659E-5	0	0	34.36646499567848	392.5610377906923	HLA-DPB1;CD28;TNF;HLA-DRB1
Staphylococcus aureus infection	4/95	1.1907152458916844E-5	3.969050819638948E-5	0	0	33.607776838546066	381.05745207513735	IL10;FCGR2A;HLA-DPB1;HLA-DRB1
T cell receptor signaling pathway	4/104	1.7037757824365123E-5	5.324299320114101E-5	0	0	30.56923076923077	335.6525574527429	IL10;PTPRC;CD28;TNF
Toll-like receptor signaling pathway	4/104	1.7037757824365123E-5	5.324299320114101E-5	0	0	30.56923076923077	335.6525574527429	CD40;TRAF6;IRF5;TNF
Primary immunodeficiency	3/38	2.47954657947373E-5	7.513777513556757E-5	0	0	63.285714285714285	671.1354914711817	CD40;CIITA;PTPRC
Osteoclast differentiation	4/127	3.738839765870185E-5	1.0996587546677015E-4	0	0	24.82426516572858	253.06228583485418	FCGR2A;TRAF6;TYK2;TNF
Yersinia infection	4/137	5.028191239100909E-5	1.4366260683145455E-4	0	0	22.94621168305379	227.11850871597983	IL10;FCGR2A;TRAF6;TNF
Malaria	3/50	5.691425903052129E-5	1.5809516397367022E-4	0	0	47.09929078014184	460.34680313226556	IL10;CD40;TNF
Necroptosis	4/159	8.971286035795496E-5	2.4246719015663502E-4	0	0	19.667493796526056	183.27933769617138	STAT4;TNFAIP3;TYK2;TNF
Hepatitis B	4/162	9.644487591248115E-5	2.5380230503284514E-4	0	0	19.29113924050633	178.37627031747488	TRAF6;STAT4;TYK2;TNF
NOD-like receptor signaling pathway	4/181	1.4793241448498773E-4	3.7931388329484037E-4	0	0	17.203824424163408	151.71631347493016	TRAF6;TNFAIP3;TYK2;TNF
Pertussis	3/76	1.988401004667768E-4	4.971002511669421E-4	0	0	30.28462709284627	258.11616658083483	IL10;TRAF6;TNF
Lipid and atherosclerosis	4/215	2.857927030687722E-4	6.970553733384688E-4	0	0	14.406853809697411	117.56343982953423	CD40;TRAF6;TNF;AGER
IL-17 signaling pathway	3/94	3.723028623192989E-4	8.864353864745212E-4	0	0	24.27228327228327	191.6491643817023	TRAF6;TNFAIP3;TNF
Chagas disease	3/102	4.730527001071403E-4	0.0011001225583886984	0	0	22.301907968574636	170.75018181181642	IL10;TRAF6;TNF
TNF signaling pathway	3/112	6.216351196870161E-4	0.001412807090197764	0	0	20.245667686034658	149.47694839317748	TNFAIP3;TRAF1;TNF
Herpes simplex virus 1 infection	5/498	7.988365498237439E-4	0.001775192332941653	0	0	7.901419878296146	56.3557252672223	TRAF6;HLA-DPB1;TYK2;TNF;HLA-DRB1
African trypanosomiasis	2/37	0.0014020717242409484	0.0030479820092194528	0	0	40.683673469387756	267.2837742480994	IL10;TNF
Phagosome	3/152	0.0015030789431656722	0.003198040304607813	0	0	14.78076062639821	96.07848621969443	FCGR2A;HLA-DPB1;HLA-DRB1
Hepatitis C	3/157	0.001649058020438449	0.003435537542580102	0	0	14.297258297258297	91.61041242611627	TRAF6;TYK2;TNF
Neutrophil extracellular trap formation	3/189	0.002794687405708991	0.00570344368512039	0	0	11.818399044205496	69.4926002503726	FCGR2A;PADI4;AGER
Pathogenic Escherichia coli infection	3/197	0.003141442393192106	0.006282884786384212	0	0	11.326460481099657	65.27522111731777	FCGR2A;TRAF6;TNF
Viral carcinogenesis	3/203	0.003418152288476731	0.00670225938917006	0	0	10.983333333333333	62.37056229240534	REL;TRAF1;IL6ST
RIG-I-like receptor signaling pathway	2/70	0.004930456379142819	0.00948164688296696	0	0	20.90546218487395	111.05658271288345	TRAF6;TNF
Salmonella infection	3/249	0.006039401273756822	0.0113950967429374	0	0	8.908762420957544	45.51887970466737	PTPRC;TRAF6;TNF
Endocytosis	3/252	0.006242380672566964	0.011559964208457342	0	0	8.800089245872378	44.67271717880233	IL2RA;TRAF6;IL2RB
PD-L1 expression and PD-1 checkpoint pathway in cancer	2/89	0.007855172466354438	0.014282131757008069	0	0	16.324302134646963	79.11708604949641	TRAF6;CD28
Small cell lung cancer	2/92	0.008373448487098152	0.014952586584103844	0	0	15.777777777777779	75.46021169623046	TRAF6;TRAF1
Fc gamma R-mediated phagocytosis	2/97	0.009270551538844608	0.016264125506744925	0	0	14.943609022556391	69.9497248341473	FCGR2A;PTPRC
