Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neuroactive ligand-receptor interaction	7/341	5.721765333288167E-7	1.773747253319332E-5	0	0	17.89273626659724	257.18693942192243	POMC;GABRB3;GABRA1;SST;ADRA1D;VIP;GABRG2
Nicotine addiction	3/40	2.89810533348164E-5	4.4920632668965423E-4	0	0	59.85885885885886	625.4573312945759	GABRB3;GABRA1;GABRG2
Taste transduction	3/86	2.865529734338402E-4	0.002098358551309425	0	0	26.622489959839356	217.17528174058035	GABRA1;SCN9A;SCN2A
GABAergic synapse	3/89	3.1701780928996323E-4	0.002098358551309425	0	0	25.689922480620154	206.97221188193762	GABRB3;GABRA1;GABRG2
Morphine addiction	3/91	3.384449276305524E-4	0.002098358551309425	0	0	25.103535353535353	200.60609580937694	GABRB3;GABRA1;GABRG2
Retrograde endocannabinoid signaling	3/148	0.001392368373462992	0.007193903262892126	0	0	15.191570881226054	99.91115036332026	GABRB3;GABRA1;GABRG2
cAMP signaling pathway	3/216	0.004067895735346556	0.018014966827963323	0	0	10.306207616066771	56.731853771272775	POMC;SST;VIP
Synaptic vesicle cycle	2/78	0.006085551076365442	0.02358151042091609	0	0	18.69736842105263	95.3909445901031	STXBP1;CPLX1
Cholinergic synapse	2/113	0.01241436662066965	0.04276059613786213	0	0	12.77927927927928	56.08699005654072	KCNQ2;KCNQ3
Adrenergic signaling in cardiomyocytes	2/150	0.021186484434224457	0.06567810174609581	0	0	9.566602316602317	36.87343378412446	ADRA1D;SCN1B
Glycosphingolipid biosynthesis	1/45	0.06538898203182864	0.18427804027151706	0	0	15.615987460815047	42.59106770539062	B3GNT2
Glycosaminoglycan biosynthesis	1/53	0.07657256603469816	0.19781246225630358	0	0	13.208222811671087	33.938745289872976	B3GNT2
Cortisol synthesis and secretion	1/65	0.09310574632116841	0.21822437359561345	0	0	10.725215517241379	25.461869434390834	POMC
Adipocytokine signaling pathway	1/69	0.098552942914148	0.21822437359561345	0	0	10.092292089249494	23.385469502095955	POMC
Gastric acid secretion	1/76	0.10800952509913052	0.22321968520486976	0	0	9.14712643678161	20.3572579045293	SST
Salivary secretion	1/93	0.130577989553445	0.23639279630820176	0	0	7.450524737631184	15.167663594496686	ADRA1D
Aldosterone synthesis and secretion	1/98	0.13711004640271124	0.23639279630820176	0	0	7.064699608958407	14.037356193959155	POMC
Melanogenesis	1/101	0.14100648221984982	0.23639279630820176	0	0	6.8517241379310345	13.422181001815327	POMC
Toll-like receptor signaling pathway	1/104	0.1448859074147043	0.23639279630820176	0	0	6.651155005021761	12.848759048563156	TLR1
Serotonergic synapse	1/113	0.1564228347708119	0.2408405294130713	0	0	6.113916256157635	11.34249133434297	GABRB3
Growth hormone synthesis, secretion and action	1/119	0.16403037337016033	0.2408405294130713	0	0	5.801285797779077	10.487005597367974	SST
Dopaminergic synapse	1/132	0.18028653836851966	0.2408405294130713	0	0	5.222163727296657	8.946651703406395	SCN1A
Vascular smooth muscle contraction	1/133	0.18152427589102918	0.2408405294130713	0	0	5.182340647857889	8.842969274321403	ADRA1D
Estrogen signaling pathway	1/137	0.18645718406173262	0.2408405294130713	0	0	5.028904665314402	8.446315147566118	POMC
Cushing syndrome	1/155	0.2083018774030301	0.2582174881696503	0	0	4.437080161218092	6.9607445684533715	POMC
cGMP-PKG signaling pathway	1/167	0.2225488329818604	0.2582174881696503	0	0	4.11383464894059	6.181483846500387	ADRA1D
Tight junction	1/169	0.22489910259937282	0.2582174881696503	0	0	4.064449917898194	6.064579583267902	RAPGEF2
Tuberculosis	1/180	0.23770332374000389	0.26317153699786144	0	0	3.812560200346754	5.477626943599837	TLR1
Rap1 signaling pathway	1/210	0.27159333139843245	0.2903239059776347	0	0	3.2603530770499916	4.249705381475953	RAPGEF2
Calcium signaling pathway	1/240	0.30402471597667174	0.3141588731758942	0	0	2.846775357091329	3.3895024841508117	ADRA1D
MAPK signaling pathway	1/294	0.35891768647235195	0.35891768647235195	0	0	2.3157585030010592	2.372870207856368	RAPGEF2
