Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Adrenergic signaling in cardiomyocytes	7/150	8.841538825112679E-8	5.638172228567781E-6	0	0	22.548219222637826	366.21058465608996	CALM3;ADRA1D;PRKCA;CALM1;CALM2;ADRA1A;SCN1B
Salivary secretion	6/93	1.1569453328578257E-7	5.638172228567781E-6	0	0	31.13322884012539	497.2696587022931	CALM3;ADRA1D;PRKCA;CALM1;CALM2;ADRA1A
Neuroactive ligand-receptor interaction	9/341	1.4837295338336265E-7	5.638172228567781E-6	0	0	12.97105495151337	203.95085957507402	GABRB3;POMC;GABRA1;SST;F2RL1;ADRA1D;VIP;ADRA1A;GABRG2
Dopaminergic synapse	6/132	9.232084916546549E-7	2.2002017585843687E-5	0	0	21.454545454545453	298.11972139889303	CALM3;PRKCA;ARRB2;CALM1;CALM2;SCN1A
Vascular smooth muscle contraction	6/133	9.650007713089337E-7	2.2002017585843687E-5	0	0	21.28453829634932	294.81505456916415	CALM3;ADRA1D;PRKCA;CALM1;CALM2;ADRA1A
Gastric acid secretion	5/76	1.2853194932735223E-6	2.4421070372196923E-5	0	0	31.109546165884193	421.9855396881322	SST;CALM3;PRKCA;CALM1;CALM2
Morphine addiction	5/91	3.1456625868874557E-6	5.122936212930999E-5	0	0	25.664082687338503	325.15073658073607	GABRB3;GABRA1;PRKCA;ARRB2;GABRG2
Phosphatidylinositol signaling system	5/97	4.310512471212558E-6	5.1684792838883435E-5	0	0	23.983091787439612	296.2979984637939	IPPK;CALM3;PRKCA;CALM1;CALM2
Aldosterone synthesis and secretion	5/98	4.5337537577967924E-6	5.1684792838883435E-5	0	0	23.724014336917563	291.8993309732362	POMC;CALM3;PRKCA;CALM1;CALM2
Inflammatory mediator regulation of TRP channels	5/98	4.5337537577967924E-6	5.1684792838883435E-5	0	0	23.724014336917563	291.8993309732362	F2RL1;CALM3;PRKCA;CALM1;CALM2
Melanogenesis	5/101	5.258350555343542E-6	5.44956330281058E-5	0	0	22.979166666666668	279.32769914204135	POMC;CALM3;PRKCA;CALM1;CALM2
cAMP signaling pathway	6/216	1.5824032163970238E-5	1.5032830555771726E-4	0	0	12.818181818181818	141.6919350743239	POMC;SST;CALM3;VIP;CALM1;CALM2
Long-term potentiation	4/67	2.3585692640606276E-5	2.068283816176243E-4	0	0	27.44927536231884	292.4684680957346	CALM3;PRKCA;CALM1;CALM2
Amphetamine addiction	4/69	2.650437262169083E-5	2.1582131991948245E-4	0	0	26.60200668896321	280.3372890754863	CALM3;PRKCA;CALM1;CALM2
Calcium signaling pathway	6/240	2.865769737998871E-5	2.177985000879142E-4	0	0	11.48951048951049	120.18129632859907	CALM3;ADRA1D;PRKCA;CALM1;CALM2;ADRA1A
Glioma	4/75	3.685550808876545E-5	2.625954951324538E-4	0	0	24.346601347213717	248.54241320575602	CALM3;PRKCA;CALM1;CALM2
Phototransduction	3/28	4.6085838596253206E-5	3.0904621176310976E-4	0	0	50.87234042553192	507.9605655722774	CALM3;CALM1;CALM2
cGMP-PKG signaling pathway	5/167	5.9775914652576805E-5	3.7858079279965307E-4	0	0	13.572016460905349	131.98660797076852	CALM3;ADRA1D;CALM1;CALM2;ADRA1A
GABAergic synapse	4/89	7.21571171107513E-5	4.329427026645078E-4	0	0	20.32225063938619	193.80648896314605	GABRB3;GABRA1;PRKCA;GABRG2
GnRH signaling pathway	4/93	8.565533047784326E-5	4.8823538372370657E-4	0	0	19.40498290180752	181.73114029905219	CALM3;PRKCA;CALM1;CALM2
Circadian entrainment	4/97	1.0090333713161995E-4	5.477609730002226E-4	0	0	18.566619915848527	170.83792281369236	CALM3;PRKCA;CALM1;CALM2
Nicotine addiction	3/40	1.3608554044552048E-4	7.051705277631516E-4	0	0	34.35250143760782	305.8137622456798	GABRB3;GABRA1;GABRG2
Rap1 signaling pathway	5/210	1.7558484699360582E-4	8.649023974575017E-4	0	0	10.70189701897019	92.54345771300899	RAPGEF2;CALM3;PRKCA;CALM1;CALM2
Cholinergic synapse	4/113	1.8208471525421087E-4	8.649023974575017E-4	0	0	15.828480255285202	136.29965304497927	KCNQ2;KCNQ3;PRKCA;KCNQ5
Estrogen signaling pathway	4/137	3.8005762975849497E-4	0.001666406530479555	0	0	12.956521739130435	102.03504010982898	POMC;CALM3;CALM1;CALM2
Insulin signaling pathway	4/137	3.8005762975849497E-4	0.001666406530479555	0	0	12.956521739130435	102.03504010982898	SREBF1;CALM3;CALM1;CALM2
Retrograde endocannabinoid signaling	4/148	5.089776136847754E-4	0.002149016591113496	0	0	11.960144927536232	90.69505302025782	GABRB3;GABRA1;PRKCA;GABRG2
Oxytocin signaling pathway	4/154	5.910972558026697E-4	0.0024066102557680122	0	0	11.478260869565217	85.32399643761593	CALM3;PRKCA;CALM1;CALM2
Renin secretion	3/69	6.858216610371124E-4	0.002695988598559683	0	0	19.230174081237912	140.08975927188362	CALM3;CALM1;CALM2
Pertussis	3/76	9.089746531003115E-4	0.003454103681781183	0	0	17.38006412124745	121.71594945135638	CALM3;CALM1;CALM2
Tuberculosis	4/180	0.0010579811014412581	0.0038906401794936585	0	0	9.769762845849803	66.93648290024086	TLR1;CALM3;CALM1;CALM2
Taste transduction	3/86	0.0013002540770145727	0.004632155149364416	0	0	15.278390156370161	101.52789088565108	GABRA1;SCN9A;SCN2A
Human immunodeficiency virus 1 infection	4/212	0.0019299146354208596	0.006666977831453879	0	0	8.253344481605351	51.585709880853	CALM3;PRKCA;CALM1;CALM2
Lipid and atherosclerosis	4/215	0.0020311501276339306	0.006810326898537297	0	0	8.134762002884813	50.42863493362163	CALM3;PRKCA;CALM1;CALM2
C-type lectin receptor signaling pathway	3/104	0.0022418858798504493	0.007302142580084321	0	0	12.544133136717926	76.5247046664134	CALM3;CALM1;CALM2
Human cytomegalovirus infection	4/225	0.002395146562760475	0.007489371371555969	0	0	7.762738540232147	46.84277743540076	CALM3;PRKCA;CALM1;CALM2
Glucagon signaling pathway	3/107	0.0024307608837506214	0.007489371371555969	0	0	12.180441898527006	73.32079059873531	CALM3;CALM1;CALM2
Ras signaling pathway	4/232	0.0026752089635542083	0.008025626890662624	0	0	7.521739130434782	44.556735074481445	CALM3;PRKCA;CALM1;CALM2
Neurotrophin signaling pathway	3/119	0.0032837193495461473	0.009598564252519507	0	0	10.913793103448276	62.413565909911824	CALM3;CALM1;CALM2
African trypanosomiasis	2/37	0.0038576315924392225	0.010994250038451784	0	0	23.708333333333332	131.76384828572083	F2RL1;PRKCA
Oocyte meiosis	3/129	0.0041187773755245296	0.011452210263653569	0	0	10.042553191489361	55.15569972379198	CALM3;CALM1;CALM2
Apelin signaling pathway	3/137	0.004871849321860696	0.013223591016479033	0	0	9.439187043505875	50.256890616051635	CALM3;CALM1;CALM2
Fluid shear stress and atherosclerosis	3/139	0.005072238171854362	0.01344732910677668	0	0	9.299436795994994	49.137973919606814	CALM3;CALM1;CALM2
Cellular senescence	3/156	0.0069773717976026935	0.018077736021061525	0	0	8.259073842302879	41.00698685273265	CALM3;CALM1;CALM2
GnRH secretion	2/64	0.01118690003742748	0.027906124589734016	0	0	13.365591397849462	60.051760195429935	PRKCA;ARRB2
Alcoholism	3/186	0.011260366062524252	0.027906124589734016	0	0	6.894663411231252	30.93267398810932	CALM3;CALM1;CALM2
Kaposi sarcoma-associated herpesvirus infection	3/193	0.012435473359891428	0.03016263751122602	0	0	6.638297872340425	29.12355460303055	CALM3;CALM1;CALM2
Synaptic vesicle cycle	2/78	0.0162985561731684	0.03870907091127495	0	0	10.895833333333334	44.85464558420347	STXBP1;CPLX1
Olfactory transduction	4/440	0.024018415803592773	0.05545494729513586	0	0	3.8919026725169523	14.512649825995755	CALM3;ARRB2;CALM1;CALM2
Parkinson disease	3/249	0.02432234530488415	0.05545494729513586	0	0	5.112610275038921	19.00029925474201	CALM3;CALM1;CALM2
Parathyroid hormone synthesis, secretion and action	2/106	0.028898646186160913	0.0645969738278891	0	0	7.951121794871795	28.178461808105727	PRKCA;ARRB2
Pathways of neurodegeneration	4/475	0.03065680196210773	0.06720914276308235	0	0	3.5962337302686236	12.532517506905132	CALM3;PRKCA;CALM1;CALM2
Serotonergic synapse	2/113	0.03250109931246501	0.0699080249362455	0	0	7.447072072072072	25.517253680402074	GABRB3;PRKCA
Growth hormone synthesis, secretion and action	2/119	0.03572213956233325	0.07517909686617236	0	0	7.063034188034188	23.533921331722766	SST;PRKCA
AMPK signaling pathway	2/120	0.036270616909118245	0.07517909686617236	0	0	7.002824858757062	23.22660056193845	SREBF1;ADRA1A
MAPK signaling pathway	3/294	0.03711748806712986	0.07556060070808579	0	0	4.312129853037947	14.202719986223858	RAPGEF2;PRKCA;ARRB2
Relaxin signaling pathway	2/129	0.041351953471259945	0.08270390694251989	0	0	6.5036089238845145	20.718128222258283	PRKCA;ARRB2
Pathways in cancer	4/531	0.04334694919746572	0.08519917600881192	0	0	3.2048510848939857	10.058485875648007	CALM3;PRKCA;CALM1;CALM2
Alzheimer disease	3/369	0.06467443885282256	0.12496416998680969	0	0	3.415416811998605	9.352740604932352	CALM3;CALM1;CALM2
Aldosterone-regulated sodium reabsorption	1/37	0.08853222789026767	0.16821123299150856	0	0	11.289115646258503	27.36920368672352	PRKCA
Proteoglycans in cancer	2/205	0.09304866144027284	0.17389421974083777	0	0	4.05316091954023	9.62476838242684	PRKCA;ANK3
Glycosphingolipid biosynthesis	1/45	0.10663918735293466	0.19607850577797664	0	0	9.232838589981448	20.665901611884028	B3GNT2
Vibrio cholerae infection	1/50	0.1177765260040411	0.21311942800731246	0	0	8.28862973760933	17.7290996615035	PRKCA
Chemical carcinogenesis	2/239	0.12010318686503207	0.21393380160333839	0	0	3.465717299578059	7.345255160108276	PRKCA;ARRB2
Endocrine and other factor-regulated calcium reabsorption	1/53	0.12439349491287167	0.214861491213142	0	0	7.8092621664050235	16.276887238960814	PRKCA
Glycosaminoglycan biosynthesis	1/53	0.12439349491287167	0.214861491213142	0	0	7.8092621664050235	16.276887238960814	B3GNT2
Hedgehog signaling pathway	1/56	0.13096181981447472	0.2228305590873152	0	0	7.382189239332097	15.00687933540933	ARRB2
VEGF signaling pathway	1/59	0.1374818510452552	0.2304842796935161	0	0	6.9992962702322306	13.8884471557023	PRKCA
Long-term depression	1/60	0.13964452305344063	0.23071703808829322	0	0	6.88031822898651	13.544974303558986	PRKCA
Cortisol synthesis and secretion	1/65	0.15037842149138922	0.24490200071454815	0	0	6.341198979591836	12.01403781811508	POMC
Fc epsilon RI signaling pathway	1/68	0.15675564908065587	0.2515456690618035	0	0	6.0563508985683825	11.222824361971771	PRKCA
Adipocytokine signaling pathway	1/69	0.15887094888113906	0.2515456690618035	0	0	5.966986794717887	10.977245117600177	POMC
Non-small cell lung cancer	1/72	0.16518569591012358	0.2577020362167771	0	0	5.713998275366484	10.289111031016239	PRKCA
Inositol phosphate metabolism	1/73	0.1672802691231711	0.2577020362167771	0	0	5.634353741496598	10.074701240888364	IPPK
Thyroid hormone synthesis	1/75	0.1714539764404576	0.26061004418949557	0	0	5.4815223386651954	9.666337985731483	PRKCA
ErbB signaling pathway	1/85	0.19201693664513086	0.28728816188898165	0	0	4.826530612244898	7.964604221414354	PRKCA
Insulin secretion	1/86	0.19404551285483848	0.28728816188898165	0	0	4.769507803121249	7.820383303288144	PRKCA
Gap junction	1/88	0.19808770290364253	0.28951279655147755	0	0	4.659394792399718	7.5437717166037235	PRKCA
Fc gamma R-mediated phagocytosis	1/97	0.2160330472811356	0.3101789011509571	0	0	4.220663265306122	6.46742313757927	PRKCA
