,Layer,Colonic_neoplasm nodes,Macular_degeneration nodes,sAB
0,coex_KDN,45,38,0.12575854825533894
1,coex_BST,32,19,0.044513888888888964
2,coex_OVR,29,33,-0.17610837438423643
3,coex_LNG,41,27,0.06257875724566642
4,coex_ITI,41,35,0.23222079589216937
5,coex_VGN,39,34,0.06499479531791041
6,coex_HRV,28,24,0.8088369963369964
7,coex_MSG,41,36,-0.03493559286242198
8,coex_ADV,27,22,0.2608912251769393
9,coex_EMS,31,25,0.2118181818181819
10,coex_SMU,30,27,0.21744639376218355
11,coex_ARG,34,26,-0.15623849834376147
12,coex_TST,44,34,-0.008895516248457414
13,coex_PIT,38,31,-0.1363955119214586
14,coex_LVR,42,31,0.0766523578056939
15,coex_THY,37,28,0.22624410124410144
16,coex_PNC,36,29,0.20446527888129662
17,coex_ATC,36,29,-0.15677521008403383
18,coex_BRO,35,32,0.023973880597015107
19,coex_SKN,36,35,0.12961880404335657
20,coex_ADS,32,27,-0.1128978779840848
21,coex_GEJ,35,21,0.0009433962264151496
22,coex_BRB,30,29,0.01587765439314226
23,coex_UTR,26,24,0.021794871794871717
24,coex_STM,41,33,0.07172249855176682
25,coex_HRA,33,34,0.23610311257370098
26,coex_PRS,30,31,0.04808743169398921
27,coex_ATA,36,30,-0.11868686868686895
28,coex_FIB,34,27,-0.08861415752741775
29,coex_BRC,37,31,-0.24503976116879334
30,coex_ATT,31,30,0.20257401010869813
31,coex_TNV,27,28,0.254492362982929
32,coex_SPL,33,33,-0.015151515151515138
33,coex_LCL,30,14,0.19047619047619024
34,coex_CLS,41,33,0.37665557173566344
35,coex_EMC,36,30,0.15659340659340693
36,coex_CLT,37,35,0.07560386473429936
37,coex_core,43,37,0.17996261019516835
38,coex_WBL,42,30,-0.07857142857142851
39,co-essential,22,4,0.0363636363636366
40,GOBP,7,27,-0.29166666666666696
41,ppi,50,50,0.010000000000000009
42,reactome_copathway,35,10,-0.1140458640458637
43,MP,13,18,0.13055555555555598
44,HP,21,30,0.3484593837535015
45,GI_net,31,10,0.1387096774193548
46,gene_gene_on_CbG_name_mapped,19,8,-0.25718810916179335
47,gene_gene_on_GcG_name_mapped,33,36,0.016908212560386326
48,GOMF,2,5,
