,Layer,Primary_dilated_cardiomyopathy nodes,Factor_VII_deficiency nodes,sAB
0,coex_KDN,31,35,0.21612903225806446
1,coex_BST,21,20,0.9427318295739346
2,coex_OVR,24,20,0.1746212121212123
3,coex_LNG,25,28,0.10455840455840404
4,coex_ITI,27,25,0.07353276353276361
5,coex_VGN,28,32,0.2075892857142856
6,coex_HRV,40,13,0.494321480406386
7,coex_MSG,44,27,0.28695997534025697
8,coex_ADV,20,28,0.24444444444444446
9,coex_EMS,34,19,0.3073152337858218
10,coex_SMU,36,16,0.341880341880342
11,coex_ARG,21,17,0.2302464228934813
12,coex_TST,30,27,-0.060721247563352954
13,coex_PIT,26,21,-0.19038461538461515
14,coex_LVR,18,38,0.35599415204678353
15,coex_THY,31,24,0.8398424857050384
16,coex_PNC,16,27,0.30634920634920615
17,coex_ATC,38,21,1.0974363875791173
18,coex_BRO,27,18,-0.24814814814814845
19,coex_SKN,24,28,0.25595238095238093
20,coex_ADS,21,18,0.5904970760233916
21,coex_GEJ,24,22,0.897560975609756
22,coex_BRB,21,15,0.12857142857142856
23,coex_UTR,22,14,0.13852813852813872
24,coex_STM,29,31,-0.08472376714868379
25,coex_HRA,43,27,0.5486380275624461
26,coex_PRS,43,24,0.379403852828879
27,coex_ATA,19,15,-0.21888544891640827
28,coex_FIB,17,12,0.47489858012170405
29,coex_BRC,30,21,0.12229437229437234
30,coex_ATT,29,20,0.5127838519764509
31,coex_TNV,26,18,0.20793650793650809
32,coex_SPL,23,35,0.6692653673163416
33,coex_LCL,24,5,0.2708333333333335
34,coex_CLS,28,27,0.4282407407407405
35,coex_EMC,19,23,0.5874713958810065
36,coex_CLT,24,27,0.28051282051282045
37,coex_core,41,28,1.0644308943089429
38,coex_WBL,34,20,1.662745098039216
39,co-essential,11,6,1.619429590017825
40,GOBP,23,29,1.4370882740447959
41,ppi,49,50,0.4458400329828902
42,reactome_copathway,17,21,0.6834733893557425
43,MP,25,13,1.0801351351351354
44,HP,38,24,0.8434847198641764
45,GI_net,17,16,0.19473434535104373
46,gene_gene_on_CbG_name_mapped,11,23,0.41536851894908167
47,gene_gene_on_GcG_name_mapped,27,36,0.17526455026455023
48,GOMF,2,8,
