,Layer,Cellulitis nodes,Stomatitis nodes,sAB
0,coex_KDN,45,47,0.05834618151916948
1,coex_BST,22,31,-0.04183035467271612
2,coex_OVR,38,33,0.15683865683865683
3,coex_LNG,42,43,0.39940476190476204
4,coex_ITI,44,45,0.23676937918510954
5,coex_VGN,41,35,0.12855259440625288
6,coex_HRV,34,25,-0.0028689370485039944
7,coex_MSG,45,41,0.07786601121825165
8,coex_ADV,30,33,0.3519870839542971
9,coex_EMS,30,35,0.15567765567765557
10,coex_SMU,31,35,0.32806870548806
11,coex_ARG,27,31,-0.003033205619412449
12,coex_TST,35,40,0.17559523809523836
13,coex_PIT,36,37,0.17535172158459833
14,coex_LVR,36,35,0.15714285714285725
15,coex_THY,41,37,0.10199116601555636
16,coex_PNC,34,33,0.15037113895761856
17,coex_ATC,42,42,0.13142815163091415
18,coex_BRO,39,37,0.07914177335229988
19,coex_SKN,33,38,0.09791276610498567
20,coex_ADS,39,30,0.2687484928864241
21,coex_GEJ,35,36,0.14139529624604252
22,coex_BRB,31,22,0.1279533005035134
23,coex_UTR,27,31,0.5239477503628445
24,coex_STM,43,40,0.11727724852899968
25,coex_HRA,27,34,0.22766884531590414
26,coex_PRS,37,37,0.21880784894483507
27,coex_ATA,38,38,0.11913229018492189
28,coex_FIB,20,33,-0.07525728987993152
29,coex_BRC,25,33,-0.015214211076280293
30,coex_ATT,36,35,0.22613458528951513
31,coex_TNV,30,21,0.17745098039215712
32,coex_SPL,38,43,0.098339598997494
33,coex_LCL,24,33,0.024621212121212155
34,coex_CLS,39,36,0.21145299145299123
35,coex_EMC,40,37,-0.014171639171639105
36,coex_CLT,44,38,0.27308612440191404
37,coex_core,46,46,0.1531400966183576
38,coex_WBL,37,43,0.19300117750956725
39,co-essential,8,13,-0.22916666666666696
40,GOBP,12,15,0.6431159420289858
41,ppi,50,49,0.11044733044733035
42,reactome_copathway,21,22,0.41041666666666643
43,MP,11,11,1.10427807486631
44,HP,33,25,0.12432601880877736
45,GI_net,21,27,-0.01346801346801385
46,gene_gene_on_CbG_name_mapped,8,8,-0.4375
47,gene_gene_on_GcG_name_mapped,30,28,-0.0683497536945814
48,GOMF,2,4,
