,Layer,Bladder_neoplasm nodes,Macular_degeneration nodes,sAB
0,coex_KDN,43,38,0.09526942355889734
1,coex_BST,32,19,0.3176388888888888
2,coex_OVR,32,33,0.24669487043892113
3,coex_LNG,41,27,0.42482517482517457
4,coex_ITI,43,35,0.17573047107930861
5,coex_VGN,35,34,0.11225385676658717
6,coex_HRV,35,24,0.8303329952670722
7,coex_MSG,42,36,0.13507326007326026
8,coex_ADV,29,22,0.259588788493454
9,coex_EMS,35,25,0.08952380952380956
10,coex_SMU,31,27,0.08029497795904916
11,coex_ARG,29,26,0.00945898603673534
12,coex_TST,40,34,-0.04610492845786962
13,coex_PIT,38,31,-0.05592259048743875
14,coex_LVR,41,31,0.10471850686248807
15,coex_THY,34,28,0.3248599439775912
16,coex_PNC,34,29,0.045771954909719526
17,coex_ATC,33,29,-0.03618998829039821
18,coex_BRO,35,32,0.29071162046908317
19,coex_SKN,33,35,-0.04587232620320858
20,coex_ADS,33,27,0.08177274702698423
21,coex_GEJ,38,21,0.08783783783783816
22,coex_BRB,29,29,0.20933800017284598
23,coex_UTR,26,24,0.157948717948718
24,coex_STM,41,33,0.17587543197299293
25,coex_HRA,33,34,0.7564338235294117
26,coex_PRS,37,31,0.16461916461916504
27,coex_ATA,30,30,0.15181180596142596
28,coex_FIB,31,27,0.15945812807881765
29,coex_BRC,35,31,0.11110311059907829
30,coex_ATT,27,30,0.6412466843501328
31,coex_TNV,26,28,0.2197802197802199
32,coex_SPL,30,33,-0.01226551226551198
33,coex_LCL,25,14,0.3318903318903317
34,coex_CLS,35,33,0.6264204545454546
35,coex_EMC,35,30,0.19227941176470598
36,coex_CLT,34,35,-0.04242424242424225
37,coex_core,44,37,0.25554769383883325
38,coex_WBL,38,30,-0.046026831785345834
39,co-essential,10,4,-0.20000000000000018
40,GOBP,8,27,1.0769230769230766
41,ppi,50,50,0.11999999999999988
42,reactome_copathway,29,10,0.04808841099163663
43,MP,10,18,1.9484126984126986
44,HP,23,30,0.9700300792999728
45,GI_net,28,10,0.1265993265993266
46,gene_gene_on_CbG_name_mapped,16,8,0.11458333333333326
47,gene_gene_on_GcG_name_mapped,28,36,0.006200396825396748
48,GOMF,6,5,
