,Layer,Parkinson_disease nodes,Postherpetic_neuralgia nodes,sAB
0,coex_KDN,43,37,-0.12703843083589916
1,coex_BST,23,14,-0.1082417582417583
2,coex_OVR,31,19,-0.39235294117647035
3,coex_LNG,35,26,-0.025494350282486256
4,coex_ITI,38,31,-0.1366354174355946
5,coex_VGN,34,25,0.025615982241953272
6,coex_HRV,27,17,-0.16150163106387438
7,coex_MSG,37,23,0.003290246768507865
8,coex_ADV,26,24,0.2731643356643354
9,coex_EMS,29,16,0.24791666666666679
10,coex_SMU,27,17,0.14973262032085555
11,coex_ARG,29,11,0.3376959247648901
12,coex_TST,31,27,-0.14139166975651962
13,coex_PIT,31,28,-0.3287706006404749
14,coex_LVR,31,33,0.04900645802285153
15,coex_THY,25,14,-0.004786324786324236
16,coex_PNC,28,20,0.1333333333333333
17,coex_ATC,26,13,0.09514170040485848
18,coex_BRO,41,26,0.14650947887205623
19,coex_SKN,34,20,0.263529411764706
20,coex_ADS,27,16,0.4808886630532969
21,coex_GEJ,30,21,0.22763975155279503
22,coex_BRB,27,25,-0.20740740740740748
23,coex_UTR,25,12,0.33045454545454556
24,coex_STM,35,22,-0.13132832080200507
25,coex_HRA,30,21,0.24005847953216386
26,coex_PRS,30,20,-0.11250000000000027
27,coex_ATA,26,18,-0.34917312661498734
28,coex_FIB,24,14,0.10338345864661669
29,coex_BRC,34,21,-0.15486760742032657
30,coex_ATT,30,16,-0.09089314354450684
31,coex_TNV,20,16,-0.8103174603174601
32,coex_SPL,28,26,0.37713675213675213
33,coex_LCL,15,11,-0.013043478260869712
34,coex_CLS,37,27,-0.128703703703704
35,coex_EMC,32,15,0.007199625993454806
36,coex_CLT,36,22,0.1254789272030652
37,coex_core,38,31,0.35964912280701755
38,coex_WBL,26,22,0.6507867132867133
39,co-essential,10,4,-0.6955128205128207
40,GOBP,13,26,-0.14026915113871663
41,ppi,48,49,0.0305552633424504
42,reactome_copathway,15,23,0.2272727272727273
43,MP,13,12,0.12252964426877444
44,HP,23,22,0.19877031181379023
45,GI_net,22,18,0.15151515151515138
46,gene_gene_on_CbG_name_mapped,17,15,0.028921568627450878
47,gene_gene_on_GcG_name_mapped,29,25,-0.24646232439335902
48,GOMF,5,5,
