,Layer,Celiac_disease nodes,Alcohol_dependence nodes,sAB
0,coex_KDN,30,27,0.5233918128654969
1,coex_BST,15,14,0.5714285714285714
2,coex_OVR,19,22,-0.21313131313131306
3,coex_LNG,29,25,0.4538409703504045
4,coex_ITI,29,31,0.7715980719317761
5,coex_VGN,21,31,0.12297648587971155
6,coex_HRV,16,12,0.4166666666666665
7,coex_MSG,26,24,0.12128205128205116
8,coex_ADV,14,19,0.5620039682539684
9,coex_EMS,14,22,0.4415584415584415
10,coex_SMU,17,14,0.25188351202549963
11,coex_ARG,12,22,0.9024621212121211
12,coex_TST,23,31,0.22983221650823338
13,coex_PIT,21,23,0.23268398268398283
14,coex_LVR,19,21,0.10131578947368425
15,coex_THY,21,20,1.0713124274099886
16,coex_PNC,25,20,0.9196428571428572
17,coex_ATC,22,17,0.5527903469079942
18,coex_BRO,24,29,0.13044892648015605
19,coex_SKN,21,21,0.07142857142857162
20,coex_ADS,20,15,0.7333333333333334
21,coex_GEJ,17,24,0.6853528720536395
22,coex_BRB,19,23,0.170807453416149
23,coex_UTR,10,18,1.0920634920634922
24,coex_STM,25,28,0.2607142857142857
25,coex_HRA,18,15,0.4599462365591398
26,coex_PRS,18,16,0.28962619530570866
27,coex_ATA,26,14,0.6185031185031185
28,coex_FIB,13,15,0.28021978021978056
29,coex_BRC,20,25,-0.05777777777777793
30,coex_ATT,20,20,0.375
31,coex_TNV,18,18,0.3594771241830066
32,coex_SPL,28,22,0.31531299388442235
33,coex_LCL,14,8,0.9513888888888893
34,coex_CLS,17,27,0.3126361655773424
35,coex_EMC,27,20,0.29907407407407405
36,coex_CLT,21,24,0.5575757575757576
37,coex_core,34,27,0.6921842863019334
38,coex_WBL,29,20,0.5513573000733678
39,co-essential,4,5,-0.25
40,GOBP,20,24,1.7863636363636362
41,ppi,50,49,0.303776540919398
42,reactome_copathway,17,16,2.0128205128205128
43,MP,22,17,2.9744318181818183
44,HP,17,9,0.8911513323278029
45,GI_net,13,14,0.2159340659340656
46,gene_gene_on_CbG_name_mapped,8,25,0.40969696969696967
47,gene_gene_on_GcG_name_mapped,30,27,-0.012670565302144388
48,GOMF,13,12,
