,Layer,Stomatitis nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,47,41,0.06374133132046977
1,coex_BST,31,17,-0.03597406704617323
2,coex_OVR,33,20,-0.14311034877072593
3,coex_LNG,43,30,0.2775850505330837
4,coex_ITI,45,36,0.13796296296296284
5,coex_VGN,35,29,0.09882096422514741
6,coex_HRV,25,20,-0.1137343358395988
7,coex_MSG,41,28,-0.003445316969161283
8,coex_ADV,33,24,0.24674814179531168
9,coex_EMS,35,22,0.050034176349965875
10,coex_SMU,35,22,0.14546593757120085
11,coex_ARG,31,18,-0.060263308062280974
12,coex_TST,40,28,0.007457983193277284
13,coex_PIT,37,26,0.25259050259050264
14,coex_LVR,35,32,0.014125799573560638
15,coex_THY,37,30,0.14437813144709688
16,coex_PNC,33,22,0.15454545454545432
17,coex_ATC,42,24,0.07263914946841776
18,coex_BRO,37,24,0.17188192290651294
19,coex_SKN,38,28,0.3092105263157894
20,coex_ADS,30,22,0.2399558569509308
21,coex_GEJ,36,23,0.08290513833992108
22,coex_BRB,22,17,0.19313039901275197
23,coex_UTR,31,20,0.1452127659574467
24,coex_STM,40,30,0.2958333333333334
25,coex_HRA,34,27,0.2569092721834496
26,coex_PRS,37,26,0.002564102564102555
27,coex_ATA,38,24,0.3324561403508768
28,coex_FIB,33,21,0.041606541606541425
29,coex_BRC,33,22,0.13965122927387097
30,coex_ATT,35,28,0.13875878220140514
31,coex_TNV,21,19,0.2552631578947371
32,coex_SPL,43,35,0.12186147186147189
33,coex_LCL,33,20,0.06342840166369568
34,coex_CLS,36,29,0.24466338259441733
35,coex_EMC,37,30,-0.10540540540540522
36,coex_CLT,38,32,0.22266834365325083
37,coex_core,46,37,0.2792753623188404
38,coex_WBL,43,33,0.3717128444790623
39,co-essential,13,2,-1.541666666666667
40,GOBP,15,18,1.0113224637681157
41,ppi,49,50,0.08024531024531045
42,reactome_copathway,22,19,0.2742690058479531
43,MP,11,22,0.7587976539589438
44,HP,25,27,0.1884330484330483
45,GI_net,27,25,0.08925925925925915
46,gene_gene_on_CbG_name_mapped,8,12,-0.3833333333333335
47,gene_gene_on_GcG_name_mapped,28,33,-0.1371354055780285
48,GOMF,4,8,
