,Layer,Mastocytosis nodes,Gastrointestinal_hemorrhage nodes,sAB
0,coex_KDN,42,43,0.234732951740517
1,coex_BST,22,35,-0.007142857142857562
2,coex_OVR,29,37,-0.042955180886215416
3,coex_LNG,33,35,0.579169849758085
4,coex_ITI,33,44,0.003762285012284927
5,coex_VGN,33,42,0.13082251082251073
6,coex_HRV,22,24,0.7379776021080371
7,coex_MSG,33,41,-0.029414114779968248
8,coex_ADV,26,32,0.6460543766578248
9,coex_EMS,35,33,0.6634199134199132
10,coex_SMU,20,32,0.16009615384615383
11,coex_ARG,27,35,0.17712795678897386
12,coex_TST,31,38,0.18261730764498907
13,coex_PIT,29,40,0.06779110444777614
14,coex_LVR,27,36,-0.02777777777777768
15,coex_THY,22,35,0.4607427660059238
16,coex_PNC,23,35,0.04936817305632912
17,coex_ATC,32,38,0.2483552631578947
18,coex_BRO,32,40,0.3839213163596962
19,coex_SKN,33,41,0.06715806715806716
20,coex_ADS,30,23,1.167391304347826
21,coex_GEJ,33,36,1.4233942843999772
22,coex_BRB,25,21,0.20909468438538226
23,coex_UTR,24,29,0.07863113897596663
24,coex_STM,29,40,0.1535107446276862
25,coex_HRA,21,29,0.17097114707952143
26,coex_PRS,26,33,0.2526990553306341
27,coex_ATA,28,31,0.1214629315223541
28,coex_FIB,16,27,-0.21374354005167961
29,coex_BRC,23,35,0.19616620261297957
30,coex_ATT,29,36,0.7109269083407013
31,coex_TNV,24,11,0.311781609195402
32,coex_SPL,27,34,-0.0057680631451124675
33,coex_LCL,20,21,0.13925667828106847
34,coex_CLS,29,40,0.4335031347962386
35,coex_EMC,28,39,0.26327838827838823
36,coex_CLT,35,41,-0.022026886264027823
37,coex_core,36,44,0.5923609066823667
38,coex_WBL,32,36,0.11305147058823528
39,co-essential,8,14,1.5824579831932772
40,GOBP,13,18,0.6055205570291777
41,ppi,48,49,0.04265946069149318
42,reactome_copathway,20,17,0.28214285714285703
43,MP,9,14,2.371428571428571
44,HP,18,31,0.21070148489503304
45,GI_net,22,29,0.05333763599483676
46,gene_gene_on_CbG_name_mapped,14,16,-0.00863095238095224
47,gene_gene_on_GcG_name_mapped,26,40,-0.11550116550116551
48,GOMF,6,5,
