,Layer,Postherpetic_neuralgia nodes,West_syndrome nodes,sAB
0,coex_KDN,37,46,0.1777674741268247
1,coex_BST,14,37,0.4434215311874885
2,coex_OVR,19,38,0.18750351815367283
3,coex_LNG,26,38,0.4157116581777025
4,coex_ITI,31,40,0.4610347569286688
5,coex_VGN,25,40,0.4030932203389832
6,coex_HRV,17,23,0.577642945290004
7,coex_MSG,23,42,0.2480729415512024
8,coex_ADV,24,35,0.6488207547169811
9,coex_EMS,16,40,0.34045745920745896
10,coex_SMU,17,39,0.6590982546864903
11,coex_ARG,11,40,0.3969251336898394
12,coex_TST,27,44,0.3074939536207144
13,coex_PIT,28,43,0.2697229890973747
14,coex_LVR,33,38,0.28507648763393734
15,coex_THY,14,37,0.6150935550935555
16,coex_PNC,20,37,0.5876363205310571
17,coex_ATC,13,39,0.1730769230769229
18,coex_BRO,26,42,0.7027526532440986
19,coex_SKN,20,41,0.31756525459991414
20,coex_ADS,16,21,0.7284722222222224
21,coex_GEJ,21,36,0.626851851851852
22,coex_BRB,25,20,0.3583720930232559
23,coex_UTR,12,34,0.33009506833036273
24,coex_STM,22,39,0.14964270701975635
25,coex_HRA,21,38,0.5628103277060577
26,coex_PRS,20,36,0.3148148148148149
27,coex_ATA,18,38,0.5192147034252295
28,coex_FIB,14,35,0.4091836734693879
29,coex_BRC,21,42,0.9160811865729899
30,coex_ATT,16,38,0.8204706477732793
31,coex_TNV,16,16,0.6984543010752691
32,coex_SPL,26,43,0.36524202120764304
33,coex_LCL,11,27,0.2794794794794795
34,coex_CLS,27,38,0.30431365151229306
35,coex_EMC,15,35,0.2952380952380951
36,coex_CLT,22,38,0.29385964912280715
37,coex_core,31,39,0.6589743589743591
38,coex_WBL,22,36,1.1028387321490767
39,co-essential,4,11,0.27348484848484844
40,GOBP,26,22,1.1579433890093074
41,ppi,49,49,0.2142857142857142
42,reactome_copathway,23,18,0.9308712121212122
43,MP,12,5,2.2681818181818185
44,HP,22,34,0.3396676852559206
45,GI_net,18,20,0.12272727272727302
46,gene_gene_on_CbG_name_mapped,15,12,0.08611111111111103
47,gene_gene_on_GcG_name_mapped,25,33,-0.1394148380355278
48,GOMF,5,4,
