,Layer,Skin_ulcer nodes,Hemorrhagic_disease nodes,sAB
0,coex_KDN,37,40,0.05211988304093573
1,coex_BST,20,31,-0.0035736875395318
2,coex_OVR,30,32,0.07987231182795695
3,coex_LNG,43,37,0.18817320027896667
4,coex_ITI,31,34,-0.16111516566924533
5,coex_VGN,32,37,-0.058705444575009924
6,coex_HRV,31,17,-0.05239042902763025
7,coex_MSG,36,42,0.11385836385836368
8,coex_ADV,28,32,0.13529918546365893
9,coex_EMS,34,32,-0.04229797979797967
10,coex_SMU,30,33,0.32258297258297297
11,coex_ARG,30,30,0.125925925925926
12,coex_TST,37,40,-0.06734380484380487
13,coex_PIT,30,38,-0.08157894736842097
14,coex_LVR,37,44,0.14255118755118756
15,coex_THY,26,34,0.3444947209653093
16,coex_PNC,32,36,0.10164141414141392
17,coex_ATC,33,38,0.2962173219610291
18,coex_BRO,31,35,0.32284597123306824
19,coex_SKN,35,38,-0.18407662993099194
20,coex_ADS,29,28,0.03410293410293397
21,coex_GEJ,32,32,0.109375
22,coex_BRB,26,20,0.02622377622377625
23,coex_UTR,21,28,-0.043650793650793496
24,coex_STM,32,40,0.21666666666666679
25,coex_HRA,28,30,0.07146098003629753
26,coex_PRS,33,34,0.07444852941176472
27,coex_ATA,33,36,0.28113221769938246
28,coex_FIB,22,30,-0.19405594405594395
29,coex_BRC,32,35,0.18131868131868112
30,coex_ATT,30,40,0.2333333333333334
31,coex_TNV,20,25,0.526535087719298
32,coex_SPL,38,45,0.5381984076657504
33,coex_LCL,21,22,0.06823215544145778
34,coex_CLS,31,37,0.08321965441609147
35,coex_EMC,34,41,0.06869480873764844
36,coex_CLT,30,37,0.023685625924431797
37,coex_core,40,38,0.01688596491228056
38,coex_WBL,37,37,0.2297297297297296
39,co-essential,9,10,0.7453216374269003
40,GOBP,21,25,0.1720802005012536
41,ppi,50,50,0.22999999999999998
42,reactome_copathway,24,25,0.625
43,MP,15,12,1.739230769230769
44,HP,39,22,0.541805189346173
45,GI_net,17,17,0.11764705882352944
46,gene_gene_on_CbG_name_mapped,14,11,-0.14870129870129878
47,gene_gene_on_GcG_name_mapped,37,32,0.020019339992165985
48,GOMF,5,5,
