,Layer,Epididymitis nodes,Gingival_disorder nodes,sAB
0,coex_KDN,42,48,0.44692460317460325
1,coex_BST,29,42,0.6261904761904762
2,coex_OVR,30,42,0.39392803598200876
3,coex_LNG,35,47,0.9798057676625396
4,coex_ITI,43,44,0.6279069767441858
5,coex_VGN,30,42,0.3642857142857143
6,coex_HRV,21,35,1.3630952380952381
7,coex_MSG,42,47,0.46097298589529045
8,coex_ADV,38,38,0.6973684210526314
9,coex_EMS,29,39,1.0332215114162375
10,coex_SMU,24,40,0.9081608005521047
11,coex_ARG,25,37,0.33812260536398475
12,coex_TST,28,46,0.3530929998321304
13,coex_PIT,33,44,0.517655131486221
14,coex_LVR,28,43,0.5474065322165549
15,coex_THY,24,43,1.0196096454943775
16,coex_PNC,27,42,0.7776052449965494
17,coex_ATC,32,39,0.8040413958107622
18,coex_BRO,31,42,0.7569966121667404
19,coex_SKN,32,46,0.7669733044733045
20,coex_ADS,31,40,1.5842609003899324
21,coex_GEJ,36,39,1.4935154935154933
22,coex_BRB,25,29,0.6793869731800766
23,coex_UTR,20,42,0.23958065896448444
24,coex_STM,32,42,0.5296172379689836
25,coex_HRA,28,45,0.7775013819789938
26,coex_PRS,28,45,0.660185185185185
27,coex_ATA,29,39,1.0462577962577964
28,coex_FIB,22,39,0.3390366464136956
29,coex_BRC,29,42,0.27182636046162023
30,coex_ATT,26,43,1.0212448700410395
31,coex_TNV,27,32,2.0769675925925926
32,coex_SPL,23,45,0.5399971582836032
33,coex_LCL,16,30,0.2179347826086957
34,coex_CLS,35,44,1.1112162011794813
35,coex_EMC,28,43,0.39599808151232985
36,coex_CLT,33,42,0.49464285714285716
37,coex_core,44,48,0.8764455021722464
38,coex_WBL,30,40,0.3159313725490196
39,co-essential,15,15,1.52175697865353
40,GOBP,9,25,0.4477272727272723
41,ppi,49,46,0.20654742446177554
42,reactome_copathway,22,9,0.7749999999999999
43,MP,15,12,1.1154761904761905
44,HP,14,8,0.30032467532467555
45,GI_net,25,18,0.723360433604336
46,gene_gene_on_CbG_name_mapped,10,4,0.19999999999999996
47,gene_gene_on_GcG_name_mapped,28,35,0.0817460317460319
48,GOMF,5,6,
