,Layer,Hypogonadism nodes,Erectile_dysfunction nodes,sAB
0,coex_KDN,27,43,-0.08369632090562318
1,coex_BST,19,29,0.4925136116152453
2,coex_OVR,21,34,0.3236371471665591
3,coex_LNG,19,34,0.02643261872772973
4,coex_ITI,23,41,0.10693928950159082
5,coex_VGN,19,38,0.23245614035087736
6,coex_HRV,13,29,0.2704415954415951
7,coex_MSG,29,42,0.14067739771965115
8,coex_ADV,18,26,0.5235042735042734
9,coex_EMS,19,34,0.4340790934049883
10,coex_SMU,18,33,0.3484135472370764
11,coex_ARG,20,32,0.3245391705069123
12,coex_TST,29,41,-0.016580559894268987
13,coex_PIT,24,40,0.1937500000000001
14,coex_LVR,18,38,0.17846700083542189
15,coex_THY,18,32,0.33399609843937617
16,coex_PNC,18,33,-0.044414735591206345
17,coex_ATC,23,31,0.26068775648018283
18,coex_BRO,17,36,0.2646904673819215
19,coex_SKN,19,37,0.3659825238772605
20,coex_ADS,17,33,0.35158645276292333
21,coex_GEJ,24,34,0.8024296675191813
22,coex_BRB,14,28,0.029761904761904656
23,coex_UTR,16,23,0.1631479933110369
24,coex_STM,20,38,0.06197822141560794
25,coex_HRA,23,36,0.376072167997634
26,coex_PRS,15,35,0.18380952380952387
27,coex_ATA,28,29,0.4095225464190979
28,coex_FIB,15,28,0.3950348432055748
29,coex_BRC,17,36,-0.13084227401652448
30,coex_ATT,26,36,0.4294871794871793
31,coex_TNV,19,29,0.875
32,coex_SPL,18,31,0.394411528052081
33,coex_LCL,11,26,0.10059535059535074
34,coex_CLS,20,38,0.5253968253968253
35,coex_EMC,14,33,0.3345767707469838
36,coex_CLT,19,39,0.26253132832080195
37,coex_core,29,42,0.3970588235294117
38,coex_WBL,21,31,0.45216150976519653
39,co-essential,5,16,0.24301470588235263
40,GOBP,19,10,1.3724696356275299
41,ppi,50,49,0.10085755514326955
42,reactome_copathway,23,23,1.341998581129016
43,MP,16,7,-0.15197981366459645
44,HP,36,14,0.3186507936507934
45,GI_net,17,27,0.11409883720930214
46,gene_gene_on_CbG_name_mapped,16,18,0.23774509803921573
47,gene_gene_on_GcG_name_mapped,30,34,0.02463630613535739
48,GOMF,8,4,
