,Layer,Sepsis nodes,Macular_degeneration nodes,sAB
0,coex_KDN,39,38,0.22132253711201066
1,coex_BST,19,19,0.30211790738106536
2,coex_OVR,27,33,0.36257309941520477
3,coex_LNG,33,27,0.381133952254642
4,coex_ITI,34,35,0.5023266022827042
5,coex_VGN,19,34,0.27192982456140324
6,coex_HRV,33,24,0.9183612440191387
7,coex_MSG,39,36,0.15500000000000003
8,coex_ADV,34,22,0.5911955691367456
9,coex_EMS,24,25,0.4092517006802723
10,coex_SMU,25,27,0.18981481481481488
11,coex_ARG,20,26,0.13706293706293682
12,coex_TST,26,34,0.035218702865761564
13,coex_PIT,32,31,0.013664874551971185
14,coex_LVR,36,31,0.20337158294548763
15,coex_THY,21,28,0.39099378881987557
16,coex_PNC,29,29,0.06304299149126713
17,coex_ATC,28,29,0.07554945054945073
18,coex_BRO,32,32,0.125
19,coex_SKN,23,35,0.011554621848739455
20,coex_ADS,23,27,0.4603951948672447
21,coex_GEJ,30,21,0.7033333333333331
22,coex_BRB,33,29,0.18829676071055368
23,coex_UTR,20,24,0.5083333333333333
24,coex_STM,34,33,0.6579003378827786
25,coex_HRA,31,34,0.9728652751423148
26,coex_PRS,26,31,0.21499999999999986
27,coex_ATA,31,30,0.28280481137233426
28,coex_FIB,23,27,0.08166666666666655
29,coex_BRC,25,31,0.3046117084826765
30,coex_ATT,22,30,0.29871921182266004
31,coex_TNV,23,28,0.44199594731509606
32,coex_SPL,32,33,0.03311339198435981
33,coex_LCL,19,14,0.4890873015873014
34,coex_CLS,28,33,1.084199134199134
35,coex_EMC,28,30,0.24482758620689626
36,coex_CLT,31,35,0.32178279974890156
37,coex_core,38,37,0.5045045045045042
38,coex_WBL,34,30,0.4201593137254902
39,co-essential,11,4,0.6318181818181818
40,GOBP,8,27,1.8928571428571432
41,ppi,49,50,0.19431251288394158
42,reactome_copathway,26,10,-0.36870967741935523
43,MP,8,18,2.6355555555555554
44,HP,14,30,0.6296536796536794
45,GI_net,22,10,0.2800307219662055
46,gene_gene_on_CbG_name_mapped,17,8,0.30602941176470577
47,gene_gene_on_GcG_name_mapped,32,36,0.13408905228758172
48,GOMF,3,5,
