,Layer,myoclonic_epilepsy nodes,Absence_seizure nodes,sAB
0,coex_KDN,42,30,0.29801587301587307
1,coex_BST,34,20,0.3145368782161235
2,coex_OVR,35,19,-0.07546644388749657
3,coex_LNG,41,17,0.4192598822539948
4,coex_ITI,39,26,0.046153846153846434
5,coex_VGN,38,20,0.10576225045372056
6,coex_HRV,14,13,0.4835164835164836
7,coex_MSG,37,22,0.030160746262441362
8,coex_ADV,35,17,0.10488041370394319
9,coex_EMS,36,19,-0.060154173312068515
10,coex_SMU,36,15,0.07581699346405246
11,coex_ARG,38,25,0.27800334168755225
12,coex_TST,45,30,0.07777777777777772
13,coex_PIT,41,28,0.12605413321213943
14,coex_LVR,34,22,0.37767379679144386
15,coex_THY,34,16,-0.0947058823529412
16,coex_PNC,36,19,0.42157097288676226
17,coex_ATC,38,17,0.35052068674359704
18,coex_BRO,46,43,0.33307493540051647
19,coex_SKN,36,19,0.2592592592592593
20,coex_ADS,31,16,0.9316980286738352
21,coex_GEJ,36,22,-0.10678210678210709
22,coex_BRB,25,35,0.3738095238095238
23,coex_UTR,33,16,0.2666666666666666
24,coex_STM,38,28,0.19617224880382755
25,coex_HRA,35,20,0.505194805194805
26,coex_PRS,33,20,-0.09486849628359018
27,coex_ATA,36,18,0.43981481481481444
28,coex_FIB,32,13,-0.05705128205128207
29,coex_BRC,40,31,0.2379032258064515
30,coex_ATT,36,19,0.8335194045720362
31,coex_TNV,22,16,0.8786525974025974
32,coex_SPL,36,22,0.361720654824103
33,coex_LCL,25,12,0.3930681818181818
34,coex_CLS,38,21,-0.08493647912885671
35,coex_EMC,36,18,-0.07407407407407396
36,coex_CLT,36,21,0.21364965443912798
37,coex_core,39,23,0.37413600891861765
38,coex_WBL,30,17,0.7183771380892781
39,co-essential,7,3,2.0142857142857142
40,GOBP,19,30,1.0140804597701152
41,ppi,49,50,0.10909915481344057
42,reactome_copathway,12,12,1.5616161616161615
43,MP,11,19,0.6142105263157891
44,HP,27,16,0.019729758828596067
45,GI_net,16,12,-0.3076923076923075
46,gene_gene_on_CbG_name_mapped,8,27,0.22572751322751317
47,gene_gene_on_GcG_name_mapped,41,33,0.17957009115545697
48,GOMF,8,5,
