,Layer,Erysipelas nodes,Pericarditis nodes,sAB
0,coex_KDN,46,33,-0.03987174997081433
1,coex_BST,22,13,-0.0790979853479854
2,coex_OVR,34,22,0.0073127104377106456
3,coex_LNG,37,38,0.14932940459256283
4,coex_ITI,42,26,0.09697274031563818
5,coex_VGN,39,25,-0.0786732456140351
6,coex_HRV,31,29,-0.014124708795936858
7,coex_MSG,41,28,0.1784262485482
8,coex_ADV,33,28,-0.17478354978354993
9,coex_EMS,27,23,-0.3218599033816423
10,coex_SMU,28,21,-0.08928571428571419
11,coex_ARG,30,19,-0.17502268602540827
12,coex_TST,43,26,-0.20680692748437957
13,coex_PIT,37,27,-0.21979860044376176
14,coex_LVR,41,32,0.018778720395899562
15,coex_THY,36,26,0.010580369451337113
16,coex_PNC,30,19,-0.004012691302724969
17,coex_ATC,37,29,-0.09290011014148924
18,coex_BRO,42,27,-0.0029905682079596208
19,coex_SKN,35,25,0.06809523809523799
20,coex_ADS,34,26,-0.1086726998491705
21,coex_GEJ,36,19,-0.12303580816636472
22,coex_BRB,31,22,-0.18469540198085532
23,coex_UTR,29,19,0.3309837092731831
24,coex_STM,37,29,-0.00032477618684523257
25,coex_HRA,31,20,-0.07087286527514225
26,coex_PRS,34,21,0.17881334351922584
27,coex_ATA,37,24,-0.053574065869147924
28,coex_FIB,21,10,0.1322580645161291
29,coex_BRC,31,20,-0.1304395951929158
30,coex_ATT,39,25,0.020108604845447076
31,coex_TNV,37,24,0.16527777777777786
32,coex_SPL,32,38,0.3644501879699251
33,coex_LCL,21,17,0.0174603174603174
34,coex_CLS,40,21,0.1725274725274728
35,coex_EMC,34,30,-0.29032258064516125
36,coex_CLT,40,25,-0.011538461538461497
37,coex_core,43,36,0.025735037362944135
38,coex_WBL,36,36,-0.04166666666666652
39,co-essential,6,4,-1.375
40,GOBP,21,19,1.1447712418300648
41,ppi,49,49,0.0
42,reactome_copathway,24,21,0.2156177156177157
43,MP,15,18,0.36273148148148193
44,HP,19,36,0.03960659223817098
45,GI_net,21,20,-0.14221611721611715
46,gene_gene_on_CbG_name_mapped,14,7,0.1071428571428572
47,gene_gene_on_GcG_name_mapped,30,23,-0.29249384741591467
48,GOMF,8,9,
