,Layer,Renal_cell_carcinoma nodes,Testicular_neoplasm nodes,sAB
0,coex_KDN,49,41,-0.1632324081861507
1,coex_BST,40,32,-0.22673611111111125
2,coex_OVR,42,35,-0.13188153310104522
3,coex_LNG,44,41,0.3250586931002999
4,coex_ITI,47,36,-0.0875594576889116
5,coex_VGN,43,42,-0.24606540290534817
6,coex_HRV,21,15,-0.19047619047619024
7,coex_MSG,46,41,-0.013871113223875797
8,coex_ADV,35,36,0.38013078470824935
9,coex_EMS,40,40,0.20512820512820507
10,coex_SMU,39,33,-0.29224941724941744
11,coex_ARG,43,35,-0.02124450031426761
12,coex_TST,47,43,-0.015476386827203426
13,coex_PIT,45,35,0.040476190476190554
14,coex_LVR,46,34,-0.13938618925831214
15,coex_THY,35,32,0.08197115384615383
16,coex_PNC,47,33,-0.19903353846667038
17,coex_ATC,41,39,-0.15069077264199193
18,coex_BRO,44,34,-0.2984310670969177
19,coex_SKN,40,41,-0.02574149352604649
20,coex_ADS,31,32,0.4869860523532523
21,coex_GEJ,41,42,0.4427264808362368
22,coex_BRB,25,12,-0.3111711711711709
23,coex_UTR,36,41,-0.10567169957413847
24,coex_STM,46,36,-0.046674325438906594
25,coex_HRA,40,34,-0.09320349761526225
26,coex_PRS,43,35,0.1394496975892323
27,coex_ATA,33,30,0.22774465971187308
28,coex_FIB,42,33,-0.2737662337662339
29,coex_BRC,45,34,-0.1961073881029205
30,coex_ATT,37,35,0.14167645906776327
31,coex_TNV,17,21,0.39635854341736687
32,coex_SPL,38,34,-0.2583073960455897
33,coex_LCL,36,31,-0.12904563205477992
34,coex_CLS,43,36,0.03663003663003672
35,coex_EMC,44,38,-0.0908231721488002
36,coex_CLT,44,38,-0.0309286559286559
37,coex_core,47,41,0.35025593244327036
38,coex_WBL,40,32,-0.11706053629469126
39,co-essential,25,20,0.4517073170731707
40,GOBP,10,17,-0.683760683760684
41,ppi,50,49,0.020577200577200472
42,reactome_copathway,18,22,0.16706539074960136
43,MP,11,10,1.70187165775401
44,HP,29,23,0.07496251874062976
45,GI_net,32,27,0.19350961538461542
46,gene_gene_on_CbG_name_mapped,8,11,-0.061602870813397326
47,gene_gene_on_GcG_name_mapped,41,36,-0.19044099531904402
48,GOMF,2,3,
