,Layer,Primary_dilated_cardiomyopathy nodes,Renal_neoplasm nodes,sAB
0,coex_KDN,31,40,-0.041995638769832144
1,coex_BST,21,32,0.00015104726100956256
2,coex_OVR,24,31,0.32824074074074083
3,coex_LNG,25,37,0.3181342632955535
4,coex_ITI,27,40,0.09926755113322283
5,coex_VGN,28,31,0.11808755760368661
6,coex_HRV,40,21,0.9003024980483993
7,coex_MSG,44,39,0.2902694694863368
8,coex_ADV,20,34,0.09592760180995441
9,coex_EMS,34,28,0.5197791882710532
10,coex_SMU,36,34,0.3829598506069094
11,coex_ARG,21,36,0.21865079365079376
12,coex_TST,30,39,0.011315496098104783
13,coex_PIT,26,35,0.0277526395173453
14,coex_LVR,18,37,0.12009282009281996
15,coex_THY,31,31,1.0991763898421416
16,coex_PNC,16,35,0.2928571428571427
17,coex_ATC,38,35,0.8753682150581934
18,coex_BRO,27,40,0.28200676638176647
19,coex_SKN,24,35,0.015920096852300336
20,coex_ADS,21,29,0.6479640498899486
21,coex_GEJ,24,31,0.09241379310344833
22,coex_BRB,21,20,0.06515679442508704
23,coex_UTR,22,33,0.2650989057239057
24,coex_STM,29,34,0.11698702469493538
25,coex_HRA,43,31,0.38266661259909585
26,coex_PRS,43,28,0.6310011230171728
27,coex_ATA,19,32,0.4758449432404537
28,coex_FIB,17,34,0.07352941176470607
29,coex_BRC,30,36,0.15505464480874354
30,coex_ATT,29,33,0.50788627984464
31,coex_TNV,26,19,0.5232198142414859
32,coex_SPL,23,33,0.1301289290419727
33,coex_LCL,24,35,0.20458683473389372
34,coex_CLS,28,34,0.1867800815169236
35,coex_EMC,19,33,0.2827436895810953
36,coex_CLT,24,36,0.16666666666666652
37,coex_core,41,42,0.9430464145911299
38,coex_WBL,34,39,0.9347231200172377
39,co-essential,11,18,0.5481539533263673
40,GOBP,23,15,1.5260695187165778
41,ppi,49,50,0.26442589156874874
42,reactome_copathway,17,18,0.29530600118835393
43,MP,25,13,1.2390283400809716
44,HP,38,20,0.7549001814882033
45,GI_net,17,25,-0.020061919504643866
46,gene_gene_on_CbG_name_mapped,11,12,-0.17819499341238476
47,gene_gene_on_GcG_name_mapped,27,37,0.0301551551551551
48,GOMF,2,5,
