,Layer,Rhabdomyosarcoma nodes,Testicular_neoplasm nodes,sAB
0,coex_KDN,43,41,0.03656385770206927
1,coex_BST,32,32,-0.031434011776753756
2,coex_OVR,36,35,0.17040576794097895
3,coex_LNG,35,41,0.4661195672107099
4,coex_ITI,41,36,0.1504900925632633
5,coex_VGN,37,42,0.060990013521659225
6,coex_HRV,20,15,0.1845238095238093
7,coex_MSG,43,41,0.024883180725495002
8,coex_ADV,29,36,0.40616710875331563
9,coex_EMS,35,40,0.33241758241758257
10,coex_SMU,35,33,0.11995161701044044
11,coex_ARG,31,35,0.16969696969696968
12,coex_TST,44,43,-0.021755242885956427
13,coex_PIT,36,35,0.059803264028616354
14,coex_LVR,36,34,0.11608309990662935
15,coex_THY,31,32,0.5063644751230179
16,coex_PNC,30,33,-0.019191919191919204
17,coex_ATC,37,39,0.420675822084273
18,coex_BRO,32,34,0.0650131118881121
19,coex_SKN,39,41,0.31038148843026914
20,coex_ADS,24,32,1.0825892857142856
21,coex_GEJ,33,42,0.9212437968535527
22,coex_BRB,17,12,-0.2712418300653594
23,coex_UTR,30,41,0.35137195121951215
24,coex_STM,39,36,0.09303418803418806
25,coex_HRA,35,34,0.3790098648154916
26,coex_PRS,35,35,0.3857142857142857
27,coex_ATA,28,30,0.5165269042627529
28,coex_FIB,35,33,0.15067709580440058
29,coex_BRC,37,34,0.2738795518207282
30,coex_ATT,35,35,0.5944962686567163
31,coex_TNV,20,21,0.513378039693829
32,coex_SPL,35,34,-0.07159298502009515
33,coex_LCL,32,31,0.28165487837123226
34,coex_CLS,38,36,0.1527975343764818
35,coex_EMC,36,38,0.256578947368421
36,coex_CLT,41,38,-0.012499366157902703
37,coex_core,42,41,0.24290541958775846
38,coex_WBL,36,32,0.6404207516339868
39,co-essential,20,20,0.6027777777777779
40,GOBP,18,17,0.4803921568627447
41,ppi,50,49,0.2324963924963923
42,reactome_copathway,19,22,0.35858585858585856
43,MP,14,10,1.1022267206477734
44,HP,26,23,0.15815217391304337
45,GI_net,29,27,0.1072518892948302
46,gene_gene_on_CbG_name_mapped,9,11,0.004040404040404066
47,gene_gene_on_GcG_name_mapped,32,36,-0.06995506535947715
48,GOMF,2,3,
