,Layer,Status_epilepticus nodes,Atonic_seizure nodes,sAB
0,coex_KDN,39,38,-0.36419057471689054
1,coex_BST,29,27,-0.45270557029177727
2,coex_OVR,23,22,-0.5605339105339109
3,coex_LNG,32,24,-0.42559523809523836
4,coex_ITI,32,36,-0.3474264705882353
5,coex_VGN,27,30,-0.527838827838828
6,coex_HRV,26,20,-0.44356187290969884
7,coex_MSG,36,33,-0.16353754940711474
8,coex_ADV,22,26,-0.10814313346228221
9,coex_EMS,23,21,0.20859213250517605
10,coex_SMU,25,25,-0.5034420289855073
11,coex_ARG,25,28,-0.4862637362637363
12,coex_TST,33,35,-0.10481283422459886
13,coex_PIT,38,38,-0.18843053579895663
14,coex_LVR,35,28,-0.2948412698412699
15,coex_THY,32,24,-0.27538290513833985
16,coex_PNC,25,25,-0.2999999999999998
17,coex_ATC,27,29,-0.1043605181536218
18,coex_BRO,37,38,-0.45191085822664756
19,coex_SKN,26,26,-0.014615384615384919
20,coex_ADS,28,27,-0.23677248677248652
21,coex_GEJ,24,29,-0.08027389277389307
22,coex_BRB,31,31,-0.338709677419355
23,coex_UTR,21,14,-0.16323529411764737
24,coex_STM,34,31,-0.20468544737994443
25,coex_HRA,30,29,-0.2953201970443349
26,coex_PRS,20,24,-0.6263769889840882
27,coex_ATA,28,25,-0.1025641025641022
28,coex_FIB,20,20,-0.47499999999999987
29,coex_BRC,37,36,-0.3972345633304537
30,coex_ATT,26,23,-0.3467340113302848
31,coex_TNV,28,22,0.043560606060605966
32,coex_SPL,24,24,0.0
33,coex_LCL,17,21,-0.5894024276377217
34,coex_CLS,28,30,0.0323684210526316
35,coex_EMC,25,21,-0.5693840579710143
36,coex_CLT,28,34,-0.11085434173669473
37,coex_core,38,34,0.09331877123639143
38,coex_WBL,34,28,-0.4844131200867443
39,co-essential,9,9,-1.0
40,GOBP,14,17,-0.8458333333333332
41,ppi,50,50,-0.13000000000000012
42,reactome_copathway,19,18,0.18614412375023592
43,MP,12,12,-0.5090909090909093
44,HP,18,25,-0.14178294573643413
45,GI_net,20,18,-0.0694444444444442
46,gene_gene_on_CbG_name_mapped,21,22,0.0955401187959326
47,gene_gene_on_GcG_name_mapped,32,35,-0.26561833688699354
48,GOMF,4,7,
