,Layer,Head_and_neck_cancer nodes,Carcinoma_of_pancreas nodes,sAB
0,coex_KDN,47,46,0.07608695652173925
1,coex_BST,35,37,0.12335907335907326
2,coex_OVR,39,41,-0.004698248905565805
3,coex_LNG,44,43,0.08126473232728237
4,coex_ITI,47,46,0.022243939800861368
5,coex_VGN,43,42,-0.08175688880203236
6,coex_HRV,24,19,0.07563239494084062
7,coex_MSG,43,45,0.1317066008926473
8,coex_ADV,27,38,0.17043034937771773
9,coex_EMS,33,39,-0.00602175602175592
10,coex_SMU,26,38,-0.07521508097166008
11,coex_ARG,38,36,0.3099415204678362
12,coex_TST,41,45,-0.004878048780487809
13,coex_PIT,37,40,0.10156633906633927
14,coex_LVR,40,41,-0.0013361939174945103
15,coex_THY,39,35,0.2509157509157509
16,coex_PNC,36,40,0.3330409356725146
17,coex_ATC,34,43,0.1079938289240614
18,coex_BRO,38,39,0.1577150919256185
19,coex_SKN,41,44,0.09197534889787407
20,coex_ADS,34,24,0.5462184873949578
21,coex_GEJ,40,38,0.22728744939271284
22,coex_BRB,32,14,0.13402562111801242
23,coex_UTR,30,35,0.16349206349206336
24,coex_STM,46,45,-0.06383978340500085
25,coex_HRA,34,36,0.23879551820728273
26,coex_PRS,35,41,-0.1869521364386577
27,coex_ATA,31,33,0.5524437927663732
28,coex_FIB,36,39,0.0657894736842104
29,coex_BRC,39,38,0.1423488791909846
30,coex_ATT,35,36,0.2827292110874198
31,coex_TNV,23,21,0.7801759834368531
32,coex_SPL,38,42,0.09686716791979944
33,coex_LCL,33,36,0.06264323911382741
34,coex_CLS,46,42,0.07531472359058555
35,coex_EMC,42,42,-0.006678281068525083
36,coex_CLT,43,44,0.2706290277388623
37,coex_core,46,45,0.04292460511317375
38,coex_WBL,38,40,0.1253879892037788
39,co-essential,24,22,1.0750915750915748
40,GOBP,15,12,2.1726190476190474
41,ppi,49,50,0.059756751185322754
42,reactome_copathway,25,31,0.17891156462585056
43,MP,13,15,0.08585858585858608
44,HP,22,22,-0.022727272727272485
45,GI_net,29,37,-0.12659210935073006
46,gene_gene_on_CbG_name_mapped,15,8,0.0996376811594204
47,gene_gene_on_GcG_name_mapped,31,43,-0.05241175158654521
48,GOMF,6,3,
