,Layer,Breast_neoplasm nodes,Premature_ovarian_insufficiency nodes,sAB
0,coex_KDN,43,37,0.10073852922690119
1,coex_BST,37,29,0.1253494874184531
2,coex_OVR,33,32,0.5446459790209788
3,coex_LNG,41,30,0.23095238095238102
4,coex_ITI,43,33,0.2915043952375651
5,coex_VGN,39,35,0.2004273504273506
6,coex_HRV,17,12,0.032500000000000195
7,coex_MSG,43,30,0.021763831368801112
8,coex_ADV,25,27,0.411111111111111
9,coex_EMS,35,25,0.02238095238095239
10,coex_SMU,34,28,0.21174463937621812
11,coex_ARG,30,29,0.3080459770114943
12,coex_TST,42,36,-0.05341880341880323
13,coex_PIT,32,30,0.07997311827956977
14,coex_LVR,35,31,0.20804059328649482
15,coex_THY,33,26,0.2576175548589341
16,coex_PNC,31,28,0.3925837694290397
17,coex_ATC,38,29,0.3814951835822977
18,coex_BRO,32,31,0.0410282258064516
19,coex_SKN,38,30,0.33285486443381185
20,coex_ADS,30,22,0.9698522167487686
21,coex_GEJ,35,31,0.39268719894905857
22,coex_BRB,23,17,0.1390751365175915
23,coex_UTR,35,31,0.10882776497695845
24,coex_STM,44,27,-0.007457201119172918
25,coex_HRA,32,27,0.3210851648351649
26,coex_PRS,34,26,0.17752639517345425
27,coex_ATA,32,22,0.4647817185857357
28,coex_FIB,36,29,0.3880849753694582
29,coex_BRC,33,32,-0.016542832167832255
30,coex_ATT,34,20,0.07451923076923084
31,coex_TNV,21,20,0.1254385964912279
32,coex_SPL,39,27,0.3114478114478114
33,coex_LCL,31,27,0.28519342479297993
34,coex_CLS,38,30,0.061300309597523306
35,coex_EMC,38,32,0.11456766917293226
36,coex_CLT,45,33,-0.04819444444444465
37,coex_core,44,34,0.49848484848484853
38,coex_WBL,32,29,0.02454579162031867
39,co-essential,21,12,1.9547619047619045
40,GOBP,8,24,0.2904761904761908
41,ppi,50,48,0.13536564625850311
42,reactome_copathway,33,17,1.11696083172147
43,MP,12,17,1.8724941724941728
44,HP,25,24,0.6525510204081633
45,GI_net,35,21,0.32592592592592573
46,gene_gene_on_CbG_name_mapped,17,12,0.22219405003380666
47,gene_gene_on_GcG_name_mapped,40,23,0.03471359558316078
48,GOMF,2,7,
