,Layer,Gastroesophageal_reflux_disease nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,39,41,0.17443655449212736
1,coex_BST,31,17,0.3667083854818527
2,coex_OVR,29,20,0.00535714285714306
3,coex_LNG,34,30,0.3695857349917415
4,coex_ITI,37,36,0.5072966802418857
5,coex_VGN,37,29,0.5547049512566755
6,coex_HRV,19,20,0.1578947368421053
7,coex_MSG,33,28,0.21246973365617428
8,coex_ADV,27,24,0.6865740740740738
9,coex_EMS,29,22,0.42445755731759816
10,coex_SMU,23,22,0.09431269213877913
11,coex_ARG,29,18,0.27099127741094
12,coex_TST,36,28,0.3752480158730158
13,coex_PIT,34,26,0.15226244343891393
14,coex_LVR,29,32,0.21035895986433006
15,coex_THY,26,30,1.0518567639257292
16,coex_PNC,26,22,0.3076923076923075
17,coex_ATC,29,24,0.7232162220776406
18,coex_BRO,39,24,0.23972782681799076
19,coex_SKN,28,28,0.24313186813186793
20,coex_ADS,29,22,0.7746781831521377
21,coex_GEJ,31,23,0.3994545280551214
22,coex_BRB,26,17,0.22374513311585842
23,coex_UTR,18,20,0.5861111111111112
24,coex_STM,33,30,0.781962481962482
25,coex_HRA,27,27,0.28863247863247854
26,coex_PRS,31,26,0.3996324734304042
27,coex_ATA,25,24,0.5932778291705207
28,coex_FIB,22,21,0.09684888754656207
29,coex_BRC,33,22,0.17738707833047473
30,coex_ATT,25,28,0.6261904761904762
31,coex_TNV,20,19,0.38282726045883964
32,coex_SPL,21,35,0.31666666666666643
33,coex_LCL,14,20,0.23462301587301582
34,coex_CLS,35,29,0.28908962766871804
35,coex_EMC,26,30,0.3939622641509435
36,coex_CLT,33,32,0.5908414502164503
37,coex_core,41,37,0.7938660356752822
38,coex_WBL,29,33,0.7333209358340858
39,co-essential,8,2,-2.6125
40,GOBP,20,18,1.4304096638655466
41,ppi,49,50,0.17032982890125759
42,reactome_copathway,19,19,1.177185044058109
43,MP,9,22,0.2957803844900617
44,HP,28,27,0.7988576238576237
45,GI_net,21,25,0.3073255813953488
46,gene_gene_on_CbG_name_mapped,15,12,0.036111111111111205
47,gene_gene_on_GcG_name_mapped,27,33,0.05572390572390584
48,GOMF,4,8,
