,Layer,Intracranial_swelling nodes,Hematologic_neoplasm nodes,sAB
0,coex_KDN,36,46,0.31564327485380117
1,coex_BST,18,24,0.7726449275362319
2,coex_OVR,29,32,0.2549107142857143
3,coex_LNG,25,41,0.5837930700735576
4,coex_ITI,34,37,0.6185091470924116
5,coex_VGN,29,35,0.7489909423168599
6,coex_HRV,31,19,0.39437962327461307
7,coex_MSG,33,40,0.12045454545454537
8,coex_ADV,19,37,0.7440555003861857
9,coex_EMS,20,33,1.073999428244711
10,coex_SMU,20,32,0.4824519230769231
11,coex_ARG,23,34,0.5682348454255841
12,coex_TST,30,38,0.08018575851393206
13,coex_PIT,33,38,0.3297448165869219
14,coex_LVR,34,34,0.3970588235294117
15,coex_THY,22,36,1.019119769119769
16,coex_PNC,25,33,0.45659352142110765
17,coex_ATC,16,42,0.537074829931973
18,coex_BRO,35,38,0.5013698630136985
19,coex_SKN,28,39,0.6087641866330391
20,coex_ADS,25,31,0.8220276497695851
21,coex_GEJ,20,33,0.9685096153846153
22,coex_BRB,33,27,0.2999999999999998
23,coex_UTR,17,31,0.7355769230769229
24,coex_STM,35,32,0.5281027183600715
25,coex_HRA,27,31,0.6063321385902032
26,coex_PRS,23,36,0.7601294903926483
27,coex_ATA,22,33,0.5042881646655228
28,coex_FIB,16,28,0.6309523809523809
29,coex_BRC,32,32,0.265625
30,coex_ATT,24,38,0.39646922950008223
31,coex_TNV,24,27,0.5578627932351337
32,coex_SPL,23,37,0.6332090950735019
33,coex_LCL,15,31,0.916666666666667
34,coex_CLS,32,33,0.5396174863387979
35,coex_EMC,27,38,0.549501114017243
36,coex_CLT,30,36,0.6084982380048793
37,coex_core,36,45,0.8198663853727148
38,coex_WBL,27,42,1.1428571428571428
39,co-essential,5,8,0.8250000000000002
40,GOBP,14,14,0.42307692307692335
41,ppi,50,50,0.3400000000000001
42,reactome_copathway,21,23,0.51952707856598
43,MP,10,16,0.14949494949494913
44,HP,20,29,0.3614453411592078
45,GI_net,13,27,-0.3476495726495723
46,gene_gene_on_CbG_name_mapped,23,17,0.07020460358056257
47,gene_gene_on_GcG_name_mapped,37,34,-0.042001612217022366
48,GOMF,3,6,
