,Layer,West_syndrome nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,46,39,0.16615187881172533
1,coex_BST,37,29,0.3118847627468315
2,coex_OVR,38,30,0.17796697626418978
3,coex_LNG,38,25,0.6334753550543026
4,coex_ITI,40,42,0.35306329849012785
5,coex_VGN,40,37,0.36317567567567566
6,coex_HRV,23,28,-0.011623376623376203
7,coex_MSG,42,40,0.14805458768873403
8,coex_ADV,35,29,0.5923491379310342
9,coex_EMS,40,31,0.49899665551839467
10,coex_SMU,39,21,0.18956043956043955
11,coex_ARG,40,28,0.28319327731092425
12,coex_TST,44,34,0.17717331687919913
13,coex_PIT,43,35,0.10729386892177595
14,coex_LVR,38,30,0.39638802889576885
15,coex_THY,37,32,0.5378659909909911
16,coex_PNC,37,26,0.35936210936210955
17,coex_ATC,39,33,0.09770784770784768
18,coex_BRO,42,35,0.4161470750045846
19,coex_SKN,41,34,0.32920612147297934
20,coex_ADS,21,28,0.19385382059800715
21,coex_GEJ,36,32,0.6592181899641578
22,coex_BRB,20,29,0.7568261787473611
23,coex_UTR,34,16,0.16602941176470543
24,coex_STM,39,38,0.2761624340571709
25,coex_HRA,38,27,0.4461163592742541
26,coex_PRS,36,34,0.16577964519140997
27,coex_ATA,38,32,0.8594924812030071
28,coex_FIB,35,17,-0.028291316526610766
29,coex_BRC,42,29,0.3830338351950786
30,coex_ATT,38,33,1.038796439628483
31,coex_TNV,16,24,0.3062499999999999
32,coex_SPL,43,26,0.18241036011511214
33,coex_LCL,27,15,0.45026455026455015
34,coex_CLS,38,39,0.3075464128095706
35,coex_EMC,35,34,0.42153043035395976
36,coex_CLT,38,38,0.3552631578947367
37,coex_core,39,38,0.534242073715758
38,coex_WBL,36,18,0.2777777777777777
39,co-essential,11,3,0.015151515151515582
40,GOBP,22,26,0.7781177156177157
41,ppi,49,45,0.12067351763400391
42,reactome_copathway,18,6,0.8187500000000001
43,MP,5,17,2.2850877192982457
44,HP,34,18,0.15711412770236288
45,GI_net,20,11,-0.3391495601173018
46,gene_gene_on_CbG_name_mapped,12,9,-0.31547619047619024
47,gene_gene_on_GcG_name_mapped,33,32,0.06157488344988349
48,GOMF,4,8,
