,Layer,Pruritus nodes,Dysuria nodes,sAB
0,coex_KDN,39,45,0.3049038258296344
1,coex_BST,24,40,0.20729166666666687
2,coex_OVR,28,39,-0.016681701383193914
3,coex_LNG,34,41,0.2052558584409372
4,coex_ITI,33,42,0.1554545454545455
5,coex_VGN,35,39,0.0958419958419956
6,coex_HRV,25,19,0.2418181818181817
7,coex_MSG,37,41,0.08591518347615912
8,coex_ADV,23,34,0.15354242383452243
9,coex_EMS,32,37,0.16803760282021152
10,coex_SMU,28,36,0.3546626984126986
11,coex_ARG,28,39,0.45036630036630054
12,coex_TST,38,42,0.13374060150375944
13,coex_PIT,31,43,0.42190953143691323
14,coex_LVR,29,38,0.5052076279220956
15,coex_THY,31,36,0.5796870692031986
16,coex_PNC,31,37,0.39072516539309676
17,coex_ATC,34,43,0.22997005213147492
18,coex_BRO,32,43,0.4804699612403103
19,coex_SKN,38,38,0.34495021337126586
20,coex_ADS,34,30,1.0189040002660197
21,coex_GEJ,34,37,0.6416063951275217
22,coex_BRB,27,28,0.462962962962963
23,coex_UTR,22,35,0.3241117373192841
24,coex_STM,35,40,0.3740476190476192
25,coex_HRA,30,37,0.35501546322441824
26,coex_PRS,35,43,0.33586336144475704
27,coex_ATA,29,41,0.5598313378164121
28,coex_FIB,19,36,0.13989898989898997
29,coex_BRC,27,37,0.2026401401401401
30,coex_ATT,31,41,0.3991498382725762
31,coex_TNV,34,17,0.5208333333333335
32,coex_SPL,30,40,0.07678571428571446
33,coex_LCL,18,31,0.26142930290395716
34,coex_CLS,36,40,0.453931623931624
35,coex_EMC,31,38,0.34543116336821833
36,coex_CLT,33,39,0.3755827505827505
37,coex_core,40,45,0.44398582447362944
38,coex_WBL,24,41,0.20209505941213268
39,co-essential,6,14,1.0000000000000002
40,GOBP,19,24,0.9482038429406847
41,ppi,50,48,0.21524659863945583
42,reactome_copathway,14,5,1.765873015873016
43,MP,21,12,1.5576354679802957
44,HP,26,20,1.035953177257525
45,GI_net,18,19,0.032539682539682424
46,gene_gene_on_CbG_name_mapped,14,5,0.5383458646616543
47,gene_gene_on_GcG_name_mapped,32,29,0.13602317693612198
48,GOMF,5,8,
