,Layer,Hepatocellular_carcinoma nodes,Macular_degeneration nodes,sAB
0,coex_KDN,42,38,0.05424026258916825
1,coex_BST,30,19,0.026388888888889017
2,coex_OVR,31,33,0.06666666666666665
3,coex_LNG,36,27,-0.06458505652053992
4,coex_ITI,44,35,0.08705408515535096
5,coex_VGN,38,34,0.02184873949579824
6,coex_HRV,24,24,-0.04166666666666652
7,coex_MSG,41,36,0.0748205046985535
8,coex_ADV,25,22,0.3331721470019344
9,coex_EMS,31,25,-0.010898617511521103
10,coex_SMU,33,27,-0.026094276094275948
11,coex_ARG,33,26,-0.10041712673291614
12,coex_TST,43,34,0.05185477996695487
13,coex_PIT,38,31,-0.1388745355675305
14,coex_LVR,41,31,0.06982690794649882
15,coex_THY,32,28,0.10806650246305383
16,coex_PNC,37,29,0.2455149114631876
17,coex_ATC,37,29,-0.25384637884637895
18,coex_BRO,33,32,0.05895979020979003
19,coex_SKN,37,35,0.08460780581741645
20,coex_ADS,26,27,4.440892098500626e-16
21,coex_GEJ,36,21,-0.011655773420478965
22,coex_BRB,25,29,-0.12766283524904232
23,coex_UTR,26,24,0.2764102564102564
24,coex_STM,42,33,-0.10017316017315991
25,coex_HRA,32,34,0.2095588235294117
26,coex_PRS,33,31,0.06060606060606055
27,coex_ATA,29,30,0.017679719462302845
28,coex_FIB,34,27,-0.02060606060606074
29,coex_BRC,35,31,-0.10853974654377874
30,coex_ATT,32,30,0.2649425287356326
31,coex_TNV,21,28,0.253726708074534
32,coex_SPL,39,33,0.10266122766122776
33,coex_LCL,27,14,0.1763736263736262
34,coex_CLS,39,33,0.3844057225832558
35,coex_EMC,39,30,0.037770897832817285
36,coex_CLT,40,35,-0.013356164383561797
37,coex_core,41,37,0.027877042639558702
38,coex_WBL,37,30,0.19657792120478668
39,co-essential,24,4,1.6992753623188404
40,GOBP,9,27,0.7666666666666662
41,ppi,50,50,0.1499999999999999
42,reactome_copathway,29,10,-0.16692789968652022
43,MP,11,18,0.9055555555555559
44,HP,24,30,1.139814814814815
45,GI_net,30,10,0.25
46,gene_gene_on_CbG_name_mapped,13,8,0.0478479853479854
47,gene_gene_on_GcG_name_mapped,35,36,-0.06937178627319462
48,GOMF,4,5,
