,Layer,Joint_hemorrhage nodes,Dystonic_disorder nodes,sAB
0,coex_KDN,38,45,0.2860107095046853
1,coex_BST,17,38,1.194585020242915
2,coex_OVR,26,41,0.8193973845593794
3,coex_LNG,33,40,0.7117476131174763
4,coex_ITI,25,47,0.5282978723404255
5,coex_VGN,30,46,0.6916094584286803
6,coex_HRV,21,20,1.797677119628339
7,coex_MSG,37,42,0.58099555251454
8,coex_ADV,23,38,1.3081551329598358
9,coex_EMS,21,42,0.9380128133078567
10,coex_SMU,27,41,1.092778574844572
11,coex_ARG,21,45,0.9401709401709404
12,coex_TST,30,49,0.6950744854903987
13,coex_PIT,27,41,0.5501526140404915
14,coex_LVR,40,41,0.49541553748870815
15,coex_THY,26,33,1.7912666429615585
16,coex_PNC,29,42,0.8802539028992968
17,coex_ATC,31,43,0.6886721680420105
18,coex_BRO,27,43,0.44475940709887274
19,coex_SKN,30,42,1.1150793650793651
20,coex_ADS,31,24,1.1112294583079732
21,coex_GEJ,20,44,1.4617095063239498
22,coex_BRB,20,19,0.19108187134502952
23,coex_UTR,9,36,0.9892676767676769
24,coex_STM,30,45,0.907777777777778
25,coex_HRA,18,43,0.8374422840682847
26,coex_PRS,21,39,0.5197802197802197
27,coex_ATA,31,34,1.4158724340175954
28,coex_FIB,13,38,0.5893863618321824
29,coex_BRC,17,42,0.5003798129421257
30,coex_ATT,30,40,1.503623188405797
31,coex_TNV,26,11,0.6546464646464645
32,coex_SPL,35,41,0.5913350449293968
33,coex_LCL,8,38,0.05446696696696662
34,coex_CLS,20,45,0.33519736842105274
35,coex_EMC,32,38,0.6670859133126936
36,coex_CLT,27,47,0.9221184673676659
37,coex_core,31,46,1.1141509262126374
38,coex_WBL,31,41,0.5673900690619811
39,co-essential,0,14,
40,GOBP,29,18,2.035772357723577
41,ppi,49,50,0.41398474541331676
42,reactome_copathway,21,12,1.2610501567398118
43,MP,22,16,1.0580645161290319
44,HP,24,33,1.161483253588517
45,GI_net,8,25,-0.14356060606060606
46,gene_gene_on_CbG_name_mapped,16,11,0.40603956228956206
47,gene_gene_on_GcG_name_mapped,33,32,0.047574300699300576
48,GOMF,7,6,
