,Layer,Vitiligo nodes,Palmoplantar_keratosis nodes,sAB
0,coex_KDN,41,30,0.32700949176979455
1,coex_BST,25,26,-0.001116138763197716
2,coex_OVR,30,38,0.2936204146730461
3,coex_LNG,36,26,0.6339406207827261
4,coex_ITI,37,26,0.30864930864930873
5,coex_VGN,34,41,0.4640838177423543
6,coex_HRV,18,8,0.16346153846153832
7,coex_MSG,34,46,0.21448209718670075
8,coex_ADV,26,14,0.7010989010989008
9,coex_EMS,25,31,0.8173732718894011
10,coex_SMU,24,23,0.4313977879481312
11,coex_ARG,25,22,0.17333333333333334
12,coex_TST,31,29,-0.010011123470522687
13,coex_PIT,27,21,0.16402116402116396
14,coex_LVR,26,22,0.07604895104895126
15,coex_THY,29,21,0.3818027210884356
16,coex_PNC,30,19,0.028611422172452716
17,coex_ATC,32,20,0.3317204301075267
18,coex_BRO,30,23,0.45306905370843964
19,coex_SKN,30,45,0.7366666666666668
20,coex_ADS,27,41,0.6238483940522528
21,coex_GEJ,23,35,0.397151424287856
22,coex_BRB,26,14,0.21544245228455772
23,coex_UTR,23,20,0.06041887592788964
24,coex_STM,33,22,0.4271012006861066
25,coex_HRA,22,19,0.2869062901155326
26,coex_PRS,21,30,0.26624649859944016
27,coex_ATA,31,19,0.3225466893039046
28,coex_FIB,21,26,0.2804125698862543
29,coex_BRC,30,20,0.06166666666666698
30,coex_ATT,29,24,0.4353277906501296
31,coex_TNV,17,31,0.09459993674889322
32,coex_SPL,29,21,0.23031198686371113
33,coex_LCL,23,12,0.3602941176470589
34,coex_CLS,30,27,0.31498316498316514
35,coex_EMC,31,34,0.9109254123485622
36,coex_CLT,30,24,0.22222222222222188
37,coex_core,36,43,0.8871430674124228
38,coex_WBL,33,22,-0.15326340326340349
39,co-essential,6,9,0.7222222222222223
40,GOBP,16,29,1.9910714285714288
41,ppi,49,48,0.2896723122238587
42,reactome_copathway,23,18,0.6492611537368571
43,MP,19,16,1.65625
44,HP,23,40,0.697524154589372
45,GI_net,16,17,0.053435598377281845
46,gene_gene_on_CbG_name_mapped,6,9,-0.08333333333333304
47,gene_gene_on_GcG_name_mapped,29,37,0.008317094523990987
48,GOMF,10,5,
