,Layer,Cataplexy_and_narcolepsy nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,32,31,0.12118131492618911
1,coex_BST,21,21,0.010025062656641381
2,coex_OVR,20,24,-0.07916666666666705
3,coex_LNG,22,25,0.08394584139264971
4,coex_ITI,28,27,0.23581048581048591
5,coex_VGN,26,28,0.2329239388062918
6,coex_HRV,16,40,0.10446428571428568
7,coex_MSG,28,44,-0.10479797979797967
8,coex_ADV,19,20,0.2675675675675677
9,coex_EMS,22,34,0.4830376595082475
10,coex_SMU,19,36,0.2570600567270933
11,coex_ARG,18,21,0.7700292397660817
12,coex_TST,24,30,-0.24675925925925934
13,coex_PIT,24,26,-0.0112179487179489
14,coex_LVR,19,18,-0.025051367156630366
15,coex_THY,16,31,0.5451612903225804
16,coex_PNC,17,16,0.22132352941176503
17,coex_ATC,21,38,0.8335138694193112
18,coex_BRO,30,27,0.16043771043771038
19,coex_SKN,20,24,0.36818181818181817
20,coex_ADS,18,21,0.2250000000000001
21,coex_GEJ,25,24,0.5069169960474307
22,coex_BRB,25,21,0.2616149068322984
23,coex_UTR,13,22,0.06728271728271729
24,coex_STM,26,29,0.010197187327961599
25,coex_HRA,20,43,0.2974806201550386
26,coex_PRS,23,43,-0.07477565722952484
27,coex_ATA,18,19,0.36248710010319884
28,coex_FIB,13,17,0.10392156862745106
29,coex_BRC,25,30,-0.10333333333333306
30,coex_ATT,19,29,0.40384076254555623
31,coex_TNV,16,26,0.5750000000000002
32,coex_SPL,19,23,0.21297809741745644
33,coex_LCL,11,24,0.15046296296296324
34,coex_CLS,30,28,0.4746017976336776
35,coex_EMC,16,19,0.23724082934609259
36,coex_CLT,26,24,0.2580128205128205
37,coex_core,30,41,0.9158338692920398
38,coex_WBL,21,34,0.5605472958414133
39,co-essential,8,11,0.0693779904306222
40,GOBP,25,23,1.4981060606060606
41,ppi,49,49,0.29591836734693877
42,reactome_copathway,17,17,0.8718001089324621
43,MP,20,25,1.539767441860465
44,HP,20,38,0.34110707803992746
45,GI_net,11,17,0.15528589058000808
46,gene_gene_on_CbG_name_mapped,7,11,0.58008658008658
47,gene_gene_on_GcG_name_mapped,27,27,0.05555555555555536
48,GOMF,10,2,
