,Layer,Prostatitis nodes,Urinary_bladder_inflammation nodes,sAB
0,coex_KDN,35,34,-0.5245812158855636
1,coex_BST,19,21,-0.4927069927069929
2,coex_OVR,15,25,-0.18928571428571428
3,coex_LNG,30,32,0.2897849462365589
4,coex_ITI,28,32,-0.3236607142857144
5,coex_VGN,18,27,-0.26510200039611775
6,coex_HRV,21,29,-0.5610509031198685
7,coex_MSG,30,33,-0.3326839826839827
8,coex_ADV,24,23,-0.34758454106280157
9,coex_EMS,16,17,-0.0980392156862746
10,coex_SMU,16,20,-0.11111111111111116
11,coex_ARG,21,22,-0.4523809523809521
12,coex_TST,23,30,-0.3516817063166531
13,coex_PIT,25,34,-0.46282153539381854
14,coex_LVR,30,26,-0.3866300366300366
15,coex_THY,26,21,0.21820201075520274
16,coex_PNC,22,25,-0.3989648033126294
17,coex_ATC,17,26,-0.011943596758918318
18,coex_BRO,28,34,-0.32205882352941173
19,coex_SKN,18,24,0.13392857142857117
20,coex_ADS,18,26,-0.09518259518259509
21,coex_GEJ,18,22,-0.4780812324929973
22,coex_BRB,17,29,-0.4309843624699279
23,coex_UTR,14,14,0.7170329670329672
24,coex_STM,25,25,0.0033333333333331883
25,coex_HRA,23,24,-0.24541062801932378
26,coex_PRS,24,20,-0.2427944862155389
27,coex_ATA,19,25,-0.28507177033492814
28,coex_FIB,23,20,-0.38096562184024263
29,coex_BRC,23,31,-0.45350091703527906
30,coex_ATT,14,21,0.0010504201680672232
31,coex_TNV,12,21,-0.5303030303030298
32,coex_SPL,26,23,-0.10367892976588644
33,coex_LCL,17,15,-0.39191176470588207
34,coex_CLS,21,23,-0.018888394347390758
35,coex_EMC,18,24,-0.36097917427840676
36,coex_CLT,24,25,0.26420068027210863
37,coex_core,32,33,-0.2135874877810362
38,coex_WBL,26,26,-0.13461538461538458
39,co-essential,7,10,-0.10416666666666696
40,GOBP,18,4,-0.4940476190476186
41,ppi,50,50,-0.18999999999999995
42,reactome_copathway,16,26,0.761184210526316
43,MP,16,9,-0.6499999999999999
44,HP,19,16,-0.23858082706766925
45,GI_net,18,19,-0.0019779841761264905
46,gene_gene_on_CbG_name_mapped,14,17,-0.0008132285172133269
47,gene_gene_on_GcG_name_mapped,31,33,-0.5155639051808407
48,GOMF,5,3,
