,Layer,Cerebral_edema nodes,Urticaria nodes,sAB
0,coex_KDN,41,39,0.11308630393996233
1,coex_BST,35,16,0.2921325051759833
2,coex_OVR,36,25,0.1311475409836067
3,coex_LNG,37,31,0.7622387783678106
4,coex_ITI,44,33,0.37716450216450204
5,coex_VGN,39,27,0.09462759462759451
6,coex_HRV,26,20,1.7134615384615386
7,coex_MSG,41,33,0.19074728830826393
8,coex_ADV,31,28,0.4700460829493087
9,coex_EMS,39,21,0.2386788352890048
10,coex_SMU,36,21,0.35756056808688363
11,coex_ARG,34,21,0.8173325934147244
12,coex_TST,40,21,-0.01737900078064003
13,coex_PIT,40,30,0.12142857142857144
14,coex_LVR,40,32,0.2621323529411763
15,coex_THY,33,24,0.8527903256164127
16,coex_PNC,33,23,0.287462944664032
17,coex_ATC,37,26,0.6418176418176418
18,coex_BRO,37,26,0.6781342632955536
19,coex_SKN,40,31,0.21794871794871806
20,coex_ADS,32,28,0.6275584795321638
21,coex_GEJ,37,30,0.45868055555555554
22,coex_BRB,21,19,0.8218671679197995
23,coex_UTR,32,14,-0.15256211180124213
24,coex_STM,41,27,0.3324034220734364
25,coex_HRA,37,21,0.24382747409063166
26,coex_PRS,36,24,0.4722222222222221
27,coex_ATA,29,25,0.5032694763729246
28,coex_FIB,33,16,0.3060644712430429
29,coex_BRC,37,19,-0.008455824245298338
30,coex_ATT,36,29,0.6473043240284619
31,coex_TNV,18,18,0.8888888888888884
32,coex_SPL,40,35,0.18662308011623097
33,coex_LCL,30,14,0.1607572459617368
34,coex_CLS,38,27,0.1149275173044273
35,coex_EMC,39,26,0.5082417582417582
36,coex_CLT,41,26,0.09393939393939399
37,coex_core,40,35,0.5729575163398692
38,coex_WBL,34,37,0.22026355269934372
39,co-essential,13,5,1.0529914529914532
40,GOBP,30,25,1.8272727272727272
41,ppi,50,48,0.3765391156462583
42,reactome_copathway,20,22,1.09375
43,MP,9,17,0.4133631713554986
44,HP,32,25,0.8644517543859649
45,GI_net,17,15,-0.00588235294117645
46,gene_gene_on_CbG_name_mapped,25,13,0.33036437246963546
47,gene_gene_on_GcG_name_mapped,30,31,-0.019019918914154665
48,GOMF,10,8,4.0
