,Layer,Peptic_ulcer nodes,Cough nodes,sAB
0,coex_KDN,43,36,0.23912439080234194
1,coex_BST,28,27,0.4601139601139599
2,coex_OVR,33,28,0.563115763546798
3,coex_LNG,40,40,0.9236002921129502
4,coex_ITI,38,31,0.13060702246499845
5,coex_VGN,32,29,0.18435556811758058
6,coex_HRV,29,17,1.2276785714285712
7,coex_MSG,45,34,0.2042690493919086
8,coex_ADV,35,24,0.39243341404358345
9,coex_EMS,27,30,0.22778690020069314
10,coex_SMU,28,24,-0.036172161172161044
11,coex_ARG,29,27,0.1347381864623245
12,coex_TST,34,38,0.08793429652562779
13,coex_PIT,35,36,0.3242007601162529
14,coex_LVR,43,31,0.31897974493623416
15,coex_THY,28,27,0.883903133903134
16,coex_PNC,33,28,0.3576396281314316
17,coex_ATC,36,31,0.13107107945817598
18,coex_BRO,35,36,0.5054773082942097
19,coex_SKN,35,29,0.2530589543937709
20,coex_ADS,26,24,0.7708333333333335
21,coex_GEJ,29,28,0.4387325637325641
22,coex_BRB,31,27,1.0076804915514592
23,coex_UTR,25,25,0.35280141843971613
24,coex_STM,36,32,0.3702001633986929
25,coex_HRA,30,24,0.5953703703703703
26,coex_PRS,26,30,0.12663817663817678
27,coex_ATA,33,24,0.29356060606060597
28,coex_FIB,27,29,0.4413793103448278
29,coex_BRC,28,24,0.48511904761904745
30,coex_ATT,33,26,0.3264630106735371
31,coex_TNV,24,18,0.584708273553324
32,coex_SPL,32,32,0.25
33,coex_LCL,23,24,0.2250494071146243
34,coex_CLS,31,31,0.3616054875787911
35,coex_EMC,34,27,0.23241008607450264
36,coex_CLT,32,35,0.24941620879120885
37,coex_core,38,34,0.44104747162022684
38,coex_WBL,38,34,0.4293584473347263
39,co-essential,5,8,0.38365384615384635
40,GOBP,12,22,1.7104978354978355
41,ppi,50,47,0.10052643123491989
42,reactome_copathway,29,8,0.7458791208791211
43,MP,13,18,0.8005952380952381
44,HP,26,28,0.5236060236060238
45,GI_net,22,15,0.24285714285714288
46,gene_gene_on_CbG_name_mapped,20,9,0.14128352490421459
47,gene_gene_on_GcG_name_mapped,26,26,0.03846153846153855
48,GOMF,7,7,
