,Layer,Chorea nodes,Orchitis nodes,sAB
0,coex_KDN,42,37,0.13961520290634222
1,coex_BST,40,19,0.3078460038986357
2,coex_OVR,37,23,0.07473560517038758
3,coex_LNG,40,35,0.1867857142857141
4,coex_ITI,45,32,0.39268062629692513
5,coex_VGN,41,25,0.31952782989368345
6,coex_HRV,19,24,0.2571144430844554
7,coex_MSG,44,33,0.15313852813852802
8,coex_ADV,33,27,0.26902356902356894
9,coex_EMS,40,22,0.40021994134897376
10,coex_SMU,37,22,0.3089055928038982
11,coex_ARG,38,20,0.4583484573502723
12,coex_TST,47,32,0.26857073121465125
13,coex_PIT,45,30,0.04222222222222216
14,coex_LVR,33,28,0.22316549570647926
15,coex_THY,37,27,0.8399470899470898
16,coex_PNC,36,26,0.4079128756548114
17,coex_ATC,38,31,0.4336815039000024
18,coex_BRO,42,32,0.3192165379665379
19,coex_SKN,41,26,0.26519139760858
20,coex_ADS,33,27,0.45779220779220786
21,coex_GEJ,44,22,0.7462121212121211
22,coex_BRB,26,23,0.11872909698996659
23,coex_UTR,31,15,-0.03503375843960965
24,coex_STM,43,30,0.25571307210364225
25,coex_HRA,40,22,0.6535923753665689
26,coex_PRS,39,23,0.3560701593488482
27,coex_ATA,36,28,0.5895337301587302
28,coex_FIB,27,22,0.3390366247509107
29,coex_BRC,44,17,0.13074208819146138
30,coex_ATT,39,25,0.8918269230769234
31,coex_TNV,21,24,0.283314511575381
32,coex_SPL,35,30,0.08650793650793664
33,coex_LCL,26,14,0.04202702702702732
34,coex_CLS,39,25,0.44259615384615403
35,coex_EMC,39,32,0.08693910256410264
36,coex_CLT,42,32,0.6367776551783821
37,coex_core,43,36,0.34693193340529227
38,coex_WBL,35,32,-0.050824175824175644
39,co-essential,13,2,-0.8384615384615381
40,GOBP,23,13,2.556481481481481
41,ppi,50,49,0.253805400948258
42,reactome_copathway,16,24,0.7248563218390802
43,MP,17,16,2.5877976190476186
44,HP,26,24,1.122628205128205
45,GI_net,21,20,0.5393500643500642
46,gene_gene_on_CbG_name_mapped,8,8,0.1875
47,gene_gene_on_GcG_name_mapped,38,27,-0.0639601139601138
48,GOMF,3,5,
