,Layer,Cholecystitis nodes,Narcolepsy nodes,sAB
0,coex_KDN,37,34,0.04508609686737275
1,coex_BST,37,25,0.01487358326067989
2,coex_OVR,33,25,0.42422077922077905
3,coex_LNG,37,27,0.12199699699699718
4,coex_ITI,39,31,0.22653905234550398
5,coex_VGN,33,30,0.2356929955290612
6,coex_HRV,22,13,-0.12752247752247792
7,coex_MSG,40,26,-0.19854312354312365
8,coex_ADV,29,24,-0.05047711993060067
9,coex_EMS,30,27,0.06801346801346808
10,coex_SMU,31,25,0.22199413489736042
11,coex_ARG,28,27,0.3829365079365079
12,coex_TST,36,33,0.05500658761528321
13,coex_PIT,36,32,0.1629807692307692
14,coex_LVR,42,26,-0.08327946563240696
15,coex_THY,32,25,0.2277302631578948
16,coex_PNC,36,25,0.02809523809523773
17,coex_ATC,34,27,0.308121930504782
18,coex_BRO,37,37,0.1613955504800575
19,coex_SKN,36,27,0.1064814814814814
20,coex_ADS,29,20,0.023101935874168422
21,coex_GEJ,34,25,0.5080532212885154
22,coex_BRB,23,26,0.6258937198067631
23,coex_UTR,26,25,-0.05651491365777073
24,coex_STM,34,28,0.16750700280112074
25,coex_HRA,36,25,0.3771428571428572
26,coex_PRS,36,29,-0.15750810492189782
27,coex_ATA,34,23,0.4843361147708971
28,coex_FIB,29,21,0.037931034482758585
29,coex_BRC,34,34,0.11764705882352944
30,coex_ATT,34,25,0.5490196078431371
31,coex_TNV,23,13,0.07754010695187219
32,coex_SPL,34,26,0.14260935143288078
33,coex_LCL,23,20,0.016999019287348816
34,coex_CLS,37,33,0.037077337077336736
35,coex_EMC,36,25,0.25753295668549914
36,coex_CLT,36,28,0.15773809523809534
37,coex_core,37,31,0.16618800964152003
38,coex_WBL,33,25,0.018516196447230904
39,co-essential,12,13,1.0429487179487182
40,GOBP,24,22,1.4310127856639485
41,ppi,49,48,0.22673618416438757
42,reactome_copathway,16,17,0.8718487394957983
43,MP,17,13,1.3384615384615381
44,HP,23,18,0.8706845764109814
45,GI_net,22,21,0.2142857142857144
46,gene_gene_on_CbG_name_mapped,14,4,-0.14484126984127
47,gene_gene_on_GcG_name_mapped,31,28,-0.044491525423728806
48,GOMF,9,11,
