,Layer,Menorrhagia nodes,Abdominal_pain nodes,sAB
0,coex_KDN,36,37,-0.09704224772717884
1,coex_BST,26,28,0.25
2,coex_OVR,24,32,-0.058779761904762085
3,coex_LNG,27,35,0.3655572623314556
4,coex_ITI,32,36,0.1612806503198294
5,coex_VGN,31,30,-0.13008108584523193
6,coex_HRV,21,23,0.36438923395445144
7,coex_MSG,34,41,-0.1046819703491153
8,coex_ADV,19,36,0.22350519155030435
9,coex_EMS,21,31,0.07333333333333325
10,coex_SMU,22,28,0.2034632034632038
11,coex_ARG,19,30,-0.054672395273899
12,coex_TST,31,32,2.220446049250313e-16
13,coex_PIT,32,35,-0.020054945054945206
14,coex_LVR,32,40,0.057019927536231974
15,coex_THY,22,30,0.3451948051948053
16,coex_PNC,27,33,0.06082335743352685
17,coex_ATC,25,37,0.06685265911072369
18,coex_BRO,28,31,0.29068382410372573
19,coex_SKN,29,32,0.2088220746184286
20,coex_ADS,20,26,0.47972027972027975
21,coex_GEJ,23,33,0.2627726540770019
22,coex_BRB,23,19,0.09206614641397293
23,coex_UTR,19,23,0.18137735643456443
24,coex_STM,30,32,0.1489583333333333
25,coex_HRA,25,29,0.2416910648449364
26,coex_PRS,27,31,0.06656920077972717
27,coex_ATA,23,34,0.3736727892738121
28,coex_FIB,20,25,0.10650717703349288
29,coex_BRC,28,27,-0.10372366976140546
30,coex_ATT,30,31,0.512882937715561
31,coex_TNV,18,19,0.45833333333333304
32,coex_SPL,29,40,0.33773510971786846
33,coex_LCL,19,21,0.13746867167919818
34,coex_CLS,23,34,0.40271234351864305
35,coex_EMC,29,34,0.18070195856748583
36,coex_CLT,28,34,0.13109478241057193
37,coex_core,29,40,0.13971674876847273
38,coex_WBL,35,38,0.37100628283036374
39,co-essential,8,16,0.7600877192982454
40,GOBP,30,23,2.107174844859574
41,ppi,50,50,0.13000000000000012
42,reactome_copathway,25,21,0.657073170731707
43,MP,22,15,0.7140567765567765
44,HP,33,35,0.5718614718614718
45,GI_net,17,27,-0.057090512972865604
46,gene_gene_on_CbG_name_mapped,9,10,0.3055555555555556
47,gene_gene_on_GcG_name_mapped,33,36,-0.1256587615283269
48,GOMF,6,5,
