,Layer,Neoplasm_of_esophagus nodes,Small_cell_lung_carcinoma nodes,sAB
0,coex_KDN,43,38,0.117906867906868
1,coex_BST,29,28,0.16046341908410877
2,coex_OVR,35,33,-0.13412216989916703
3,coex_LNG,38,36,-0.014264264264264082
4,coex_ITI,42,34,0.012347044080790237
5,coex_VGN,34,34,-0.22058823529411775
6,coex_HRV,26,21,-0.024444444444444713
7,coex_MSG,41,39,0.05214196372732971
8,coex_ADV,24,27,0.3648631239935587
9,coex_EMS,32,37,0.11141053076536966
10,coex_SMU,33,27,0.014141414141414232
11,coex_ARG,38,26,-0.06329406329406329
12,coex_TST,43,42,0.07009641065728611
13,coex_PIT,41,38,-0.0077224939471247644
14,coex_LVR,37,28,0.036248886248886336
15,coex_THY,37,30,0.18756063756063757
16,coex_PNC,38,27,-0.013652721547458224
17,coex_ATC,41,37,0.17246096748268513
18,coex_BRO,38,41,0.2592336816106333
19,coex_SKN,37,36,0.24679131185980507
20,coex_ADS,32,28,0.8283800219711241
21,coex_GEJ,27,36,0.14566484517304223
22,coex_BRB,34,23,-0.044499618029029575
23,coex_UTR,25,29,0.3143390804597699
24,coex_STM,38,33,0.1224429651203105
25,coex_HRA,30,32,0.010685483870967794
26,coex_PRS,27,31,-0.11057420225501735
27,coex_ATA,32,26,0.2535227272727272
28,coex_FIB,34,28,0.026726098759997097
29,coex_BRC,36,37,0.06944444444444464
30,coex_ATT,36,32,0.5401945724526369
31,coex_TNV,25,19,-0.12162162162162149
32,coex_SPL,34,29,-0.0024689921191767272
33,coex_LCL,18,21,-0.011111111111111516
34,coex_CLS,39,35,0.05432066080694686
35,coex_EMC,38,33,-0.02703907115671833
36,coex_CLT,39,35,-0.01777389277389263
37,coex_core,40,40,0.23749999999999982
38,coex_WBL,38,29,0.05285942128047383
39,co-essential,12,10,-0.48684210526315796
40,GOBP,15,15,1.1713186813186818
41,ppi,50,50,0.030000000000000027
42,reactome_copathway,33,20,0.08804563492063489
43,MP,11,15,0.9284302653867869
44,HP,19,19,0.07894736842105265
45,GI_net,31,25,-0.07269585253456201
46,gene_gene_on_CbG_name_mapped,16,15,0.031048387096774155
47,gene_gene_on_GcG_name_mapped,29,35,-0.21870381773399017
48,GOMF,8,1,
