,Layer,Epilepsy nodes,Atypical_absence_seizure nodes,sAB
0,coex_KDN,34,35,-0.27615393983680425
1,coex_BST,26,27,-0.09278073429016831
2,coex_OVR,18,30,-0.47648902821316597
3,coex_LNG,25,31,-0.13894862604540026
4,coex_ITI,30,31,-0.11384628944121289
5,coex_VGN,34,32,-0.13093248663101598
6,coex_HRV,10,21,-0.5194316436251922
7,coex_MSG,28,33,-0.23518557944787433
8,coex_ADV,22,26,-0.3875291375291374
9,coex_EMS,26,25,0.07923076923076922
10,coex_SMU,22,24,-0.4667325428194993
11,coex_ARG,34,31,-0.21133578431372557
12,coex_TST,35,36,-0.13995640509725016
13,coex_PIT,42,34,-0.3604968303110718
14,coex_LVR,24,24,-0.3333333333333335
15,coex_THY,22,32,-0.42034527972028
16,coex_PNC,27,30,-0.5735867446393763
17,coex_ATC,28,28,-0.3035714285714286
18,coex_BRO,49,40,-0.48143939393939394
19,coex_SKN,27,32,-0.1997790404040405
20,coex_ADS,18,26,0.44841269841269815
21,coex_GEJ,29,28,-0.16970443349753683
22,coex_BRB,35,34,-0.48647601333023327
23,coex_UTR,24,21,-0.216985049833887
24,coex_STM,31,33,-0.31080461876832843
25,coex_HRA,27,31,-0.019582926034538817
26,coex_PRS,25,27,-0.4927920227920226
27,coex_ATA,21,29,-0.4767973156279004
28,coex_FIB,19,21,-0.3476817042606517
29,coex_BRC,46,39,-0.31526985376090244
30,coex_ATT,24,27,-0.18808373590982286
31,coex_TNV,21,21,0.036027568922305964
32,coex_SPL,21,28,-0.34353741496598644
33,coex_LCL,16,11,-0.5681818181818183
34,coex_CLS,28,29,-0.17473640999049356
35,coex_EMC,24,28,-0.45238095238095233
36,coex_CLT,30,32,-0.1952620967741936
37,coex_core,28,34,-0.12906162464985993
38,coex_WBL,23,20,0.15217391304347827
39,co-essential,5,3,3.458333333333333
40,GOBP,28,29,-0.13738668738668736
41,ppi,50,47,-0.335054347826087
42,reactome_copathway,13,7,0.7334682860998649
43,MP,13,15,-0.5988311688311687
44,HP,31,24,-0.019721407624633258
45,GI_net,17,14,-0.5260069545059405
46,gene_gene_on_CbG_name_mapped,15,14,-0.3498357963875207
47,gene_gene_on_GcG_name_mapped,38,32,-0.36856203007518795
48,GOMF,4,6,
