,Layer,Purpura nodes,Thrombophlebitis nodes,sAB
0,coex_KDN,41,46,0.06878268182981673
1,coex_BST,24,38,0.008384289304872894
2,coex_OVR,30,38,0.18384932920536645
3,coex_LNG,39,43,0.6480576523117647
4,coex_ITI,40,42,0.19684959349593512
5,coex_VGN,30,41,0.18072254666208631
6,coex_HRV,22,21,0.331818181818182
7,coex_MSG,38,43,0.21530894419511282
8,coex_ADV,29,34,0.5338468720821663
9,coex_EMS,27,39,0.16938616938616935
10,coex_SMU,26,39,-0.0038461538461538325
11,coex_ARG,30,38,0.12131062951496396
12,coex_TST,30,45,-0.02777777777777768
13,coex_PIT,29,42,0.022231087675478323
14,coex_LVR,36,43,-0.03136950904392766
15,coex_THY,37,38,0.5346989094357517
16,coex_PNC,25,43,0.07529411764705873
17,coex_ATC,36,40,0.33011695906432736
18,coex_BRO,33,41,0.3430469074304692
19,coex_SKN,31,45,0.07898509715148072
20,coex_ADS,30,33,0.5934426229508196
21,coex_GEJ,32,38,0.42299062121823283
22,coex_BRB,23,18,0.19195046439628438
23,coex_UTR,17,38,0.11397417153996114
24,coex_STM,33,43,0.051741404250584155
25,coex_HRA,27,41,0.13163558106169315
26,coex_PRS,28,40,0.08256302521008396
27,coex_ATA,32,35,0.3634461620469085
28,coex_FIB,22,40,0.2125366568914957
29,coex_BRC,24,39,-0.06539987789987811
30,coex_ATT,35,41,0.4323033192737946
31,coex_TNV,19,17,1.3523809523809525
32,coex_SPL,42,45,0.34143404488232076
33,coex_LCL,24,31,0.1354960899315738
34,coex_CLS,33,46,0.07776721535664843
35,coex_EMC,33,40,0.07620900788709029
36,coex_CLT,33,44,0.05573593073593064
37,coex_core,42,43,0.25791479382450655
38,coex_WBL,43,39,0.10454935497476625
39,co-essential,6,12,2.4791666666666665
40,GOBP,19,22,0.33599931200550426
41,ppi,48,49,0.19571411038642283
42,reactome_copathway,18,20,0.1267885532591415
43,MP,13,14,0.4166666666666665
44,HP,30,14,0.3521645021645021
45,GI_net,19,24,-0.21973411790345443
46,gene_gene_on_CbG_name_mapped,12,13,-0.2053846153846155
47,gene_gene_on_GcG_name_mapped,35,37,-0.16918704418704422
48,GOMF,5,4,
