,Layer,Neoplasm_of_lung nodes,Neoplasm_of_brain nodes,sAB
0,coex_KDN,45,43,-0.32947498238195916
1,coex_BST,35,26,-0.5080165735903441
2,coex_OVR,42,35,-0.1378787878787877
3,coex_LNG,40,36,-0.3111111111111109
4,coex_ITI,43,39,-0.26214058204982793
5,coex_VGN,35,32,-0.31709558823529416
6,coex_HRV,20,28,-0.2684523809523809
7,coex_MSG,41,42,-0.21636021437667052
8,coex_ADV,33,27,0.024579124579124922
9,coex_EMS,36,34,-0.28979681424808734
10,coex_SMU,33,32,-0.30885052447552463
11,coex_ARG,39,35,-0.28408748114630455
12,coex_TST,43,38,-0.1677848799431827
13,coex_PIT,36,40,-0.3265350877192983
14,coex_LVR,38,39,-0.3130027866869971
15,coex_THY,32,31,-0.33452540962621624
16,coex_PNC,35,37,-0.21060703560703553
17,coex_ATC,41,39,-0.1511882426516573
18,coex_BRO,33,38,-0.2511175505986478
19,coex_SKN,36,36,-0.04166666666666674
20,coex_ADS,30,29,-0.3584648353789208
21,coex_GEJ,38,30,-0.20398724082934616
22,coex_BRB,19,37,-0.31543385490753906
23,coex_UTR,36,25,-0.18754098360655735
24,coex_STM,40,41,-0.14961607949412836
25,coex_HRA,37,39,0.0276197249881458
26,coex_PRS,36,34,-0.40282446311858067
27,coex_ATA,32,33,-0.29742485337243396
28,coex_FIB,37,33,-0.4177900326797386
29,coex_BRC,36,38,-0.25276592381855556
30,coex_ATT,35,36,-0.33017515306517886
31,coex_TNV,21,26,-0.0649267399267397
32,coex_SPL,39,33,-0.19073103516153633
33,coex_LCL,29,24,-0.1796793910736938
34,coex_CLS,38,40,-0.18920377867746296
35,coex_EMC,38,33,-0.4992193993305929
36,coex_CLT,42,38,-0.3024122807017542
37,coex_core,38,43,-0.3495247593574806
38,coex_WBL,36,34,-0.3525472112428636
39,co-essential,25,18,-0.6381571815718154
40,GOBP,13,10,-0.36013986013986
41,ppi,49,50,-0.22144300144300155
42,reactome_copathway,28,31,-0.33800940438871474
43,MP,12,12,-0.33852813852813846
44,HP,28,22,-0.21593211752786212
45,GI_net,31,27,-0.1262800819252432
46,gene_gene_on_CbG_name_mapped,19,17,-0.30856553147574806
47,gene_gene_on_GcG_name_mapped,37,31,-0.19813836607005486
48,GOMF,4,3,
