,Layer,Hyperkeratosis nodes,Palmoplantar_keratosis nodes,sAB
0,coex_KDN,43,30,-0.24140158602869088
1,coex_BST,36,26,-0.13006617038875112
2,coex_OVR,42,38,-0.2293233082706767
3,coex_LNG,41,26,0.1375052956484899
4,coex_ITI,42,26,-0.1297134238310711
5,coex_VGN,47,41,0.004935839977355139
6,coex_HRV,28,8,-0.0669191919191916
7,coex_MSG,48,46,0.04150285229725559
8,coex_ADV,32,14,-0.09212662337662358
9,coex_EMS,38,31,-0.3176349007160255
10,coex_SMU,39,23,0.09544974476324586
11,coex_ARG,36,22,-0.0972222222222221
12,coex_TST,41,29,-0.04222530054915152
13,coex_PIT,42,21,-0.22222222222222232
14,coex_LVR,39,22,-0.35044327257442043
15,coex_THY,38,21,-0.09421859734080984
16,coex_PNC,38,19,-0.45175438596491246
17,coex_ATC,37,20,0.036533902323375944
18,coex_BRO,39,23,-0.05228539576365643
19,coex_SKN,48,45,-0.028763440860215095
20,coex_ADS,36,41,0.09314750290360019
21,coex_GEJ,40,35,-0.1283333333333334
22,coex_BRB,22,14,-0.19588744588744555
23,coex_UTR,32,20,-0.2837499999999997
24,coex_STM,41,22,-0.07739415056488208
25,coex_HRA,37,19,-0.2613798008534851
26,coex_PRS,41,30,-0.30581477553905967
27,coex_ATA,35,19,0.07828224407171769
28,coex_FIB,31,26,-0.010804383788254768
29,coex_BRC,37,20,-0.3407657657657659
30,coex_ATT,39,24,0.13607085346215775
31,coex_TNV,28,31,-0.15600835741623076
32,coex_SPL,35,21,-0.18333333333333335
33,coex_LCL,31,12,-0.15557014253563395
34,coex_CLS,42,27,-0.06647318960751791
35,coex_EMC,45,34,-0.05589062629271124
36,coex_CLT,37,24,-0.08388716585437894
37,coex_core,47,43,2.199131343116889e-05
38,coex_WBL,37,22,-0.18690768690768667
39,co-essential,9,9,-0.8243464052287583
40,GOBP,24,29,1.2434523809523808
41,ppi,48,48,0.04166666666666652
42,reactome_copathway,18,18,0.4292114695340503
43,MP,13,16,0.9423076923076925
44,HP,32,40,-0.007638888888888751
45,GI_net,23,17,-0.38248081841432224
46,gene_gene_on_CbG_name_mapped,9,9,-0.11111111111111094
47,gene_gene_on_GcG_name_mapped,26,37,-0.15165990165990162
48,GOMF,5,5,
