,Layer,Hepatic_encephalopathy nodes,Crohn_disease nodes,sAB
0,coex_KDN,42,38,0.394047619047619
1,coex_BST,22,27,0.6263879934092698
2,coex_OVR,23,30,0.10661047027506676
3,coex_LNG,29,34,0.3499848316311054
4,coex_ITI,33,38,0.17624727632140536
5,coex_VGN,23,32,0.2635375494071146
6,coex_HRV,20,25,0.762317073170732
7,coex_MSG,28,36,0.016121031746031633
8,coex_ADV,33,24,0.27749999999999986
9,coex_EMS,25,26,0.07552036199095014
10,coex_SMU,23,28,0.18073316283034946
11,coex_ARG,25,28,0.3333333333333335
12,coex_TST,27,31,0.01728257734931815
13,coex_PIT,30,30,0.06666666666666665
14,coex_LVR,31,34,0.23352795212377742
15,coex_THY,25,31,0.362023460410557
16,coex_PNC,23,28,0.2395566922421144
17,coex_ATC,25,31,0.07741935483870943
18,coex_BRO,30,32,0.0005712365591397095
19,coex_SKN,27,30,0.20845189293465172
20,coex_ADS,23,28,0.12431494336865168
21,coex_GEJ,27,27,0.6096296296296297
22,coex_BRB,24,22,-0.07007026789635495
23,coex_UTR,18,19,0.6904884760921912
24,coex_STM,27,35,0.2366956818569721
25,coex_HRA,30,29,0.8104395604395604
26,coex_PRS,19,26,0.5519835841313272
27,coex_ATA,22,34,0.14495798319327724
28,coex_FIB,20,16,0.006944444444444642
29,coex_BRC,29,25,0.22923076923076913
30,coex_ATT,24,29,0.1243661257606492
31,coex_TNV,21,22,0.422052753448102
32,coex_SPL,34,35,0.2607477773718183
33,coex_LCL,15,21,0.37878787878787845
34,coex_CLS,28,28,0.15608465608465627
35,coex_EMC,22,30,0.254079254079254
36,coex_CLT,27,33,0.23058890458254844
37,coex_core,36,36,0.011150234741784226
38,coex_WBL,31,37,0.20035642853479674
39,co-essential,7,9,0.8412698412698414
40,GOBP,18,21,1.0416666666666665
41,ppi,49,50,0.1622881880024738
42,reactome_copathway,23,24,0.44853190287972877
43,MP,15,13,0.6768131868131873
44,HP,27,21,0.10284391534391535
45,GI_net,23,18,-0.021088814567075786
46,gene_gene_on_CbG_name_mapped,31,15,0.19724170172978028
47,gene_gene_on_GcG_name_mapped,31,31,-0.19354838709677424
48,GOMF,9,8,
