,Layer,Type_2_diabetes_mellitus nodes,Diabetes_mellitus_type_1 nodes,sAB
0,coex_KDN,36,39,-0.20277777777777772
1,coex_BST,18,16,-0.16115196078431349
2,coex_OVR,22,21,0.32392026578073096
3,coex_LNG,30,24,-0.2958243100671887
4,coex_ITI,33,31,0.23671915002560162
5,coex_VGN,27,28,0.1111351611351612
6,coex_HRV,18,17,-0.08823529411764719
7,coex_MSG,32,26,-0.050024867374005355
8,coex_ADV,22,22,-0.2727272727272725
9,coex_EMS,23,21,0.6006160682724841
10,coex_SMU,26,18,-0.32754010695187175
11,coex_ARG,22,17,0.12916495269436457
12,coex_TST,30,22,-0.1110722610722612
13,coex_PIT,31,26,0.08024247964825215
14,coex_LVR,36,33,-0.1134716732542822
15,coex_THY,25,25,0.2799999999999998
16,coex_PNC,34,26,-0.43974358974358996
17,coex_ATC,25,24,0.4748129251700681
18,coex_BRO,28,24,0.10743464052287566
19,coex_SKN,30,21,0.015647638365691163
20,coex_ADS,25,23,0.04601449275362279
21,coex_GEJ,22,20,0.06015037593984962
22,coex_BRB,15,20,-0.0714285714285714
23,coex_UTR,16,10,0.6620192307692307
24,coex_STM,31,29,-0.006414534668149674
25,coex_HRA,31,19,0.07327068758537925
26,coex_PRS,27,21,0.34647435897435885
27,coex_ATA,26,28,0.21889695210449922
28,coex_FIB,20,8,-0.25
29,coex_BRC,29,18,-0.12498981005950927
30,coex_ATT,25,26,0.5566666666666666
31,coex_TNV,19,21,-0.28888888888888875
32,coex_SPL,32,31,-0.3975374423963134
33,coex_LCL,14,11,-0.1297619047619052
34,coex_CLS,33,28,-0.33613654105457424
35,coex_EMC,25,19,-0.36693779904306223
36,coex_CLT,30,24,0.14953703703703702
37,coex_core,34,34,0.36274509803921573
38,coex_WBL,23,29,-0.047897842522588885
39,co-essential,14,8,-1.1409774436090225
40,GOBP,12,17,-0.3284722222222225
41,ppi,50,49,-0.25328798185941026
42,reactome_copathway,23,23,-0.02062430323299891
43,MP,15,12,-0.8356060606060609
44,HP,26,30,-0.23708791208791213
45,GI_net,21,18,-0.10939510939510955
46,gene_gene_on_CbG_name_mapped,14,16,-0.4348214285714286
47,gene_gene_on_GcG_name_mapped,38,28,-0.46086807928913176
48,GOMF,2,9,
