,Layer,Epididymitis nodes,Otitis_media nodes,sAB
0,coex_KDN,42,35,-0.1367965367965367
1,coex_BST,29,25,0.3461904761904764
2,coex_OVR,30,26,-0.08728291877283412
3,coex_LNG,35,38,0.35738490060768346
4,coex_ITI,43,32,0.08225775193798435
5,coex_VGN,30,28,0.09807060755336616
6,coex_HRV,21,19,-0.08897243107769404
7,coex_MSG,42,41,0.1073317660887454
8,coex_ADV,38,30,0.13621095972045394
9,coex_EMS,29,26,0.047330779054917116
10,coex_SMU,24,22,0.2222661396574439
11,coex_ARG,25,19,-0.05894308943089399
12,coex_TST,28,33,0.04159569938258456
13,coex_PIT,33,34,-0.019022950089126578
14,coex_LVR,28,27,-0.2234126984126985
15,coex_THY,24,23,0.1304347826086958
16,coex_PNC,27,23,0.11171497584541079
17,coex_ATC,32,30,0.12825940860215046
18,coex_BRO,31,33,-0.07575757575757569
19,coex_SKN,32,29,0.2058013001695871
20,coex_ADS,31,23,0.44087819613766355
21,coex_GEJ,36,35,0.7443496801705756
22,coex_BRB,25,29,0.15050397877984079
23,coex_UTR,20,17,0.2925696594427243
24,coex_STM,32,32,-0.08106918842805944
25,coex_HRA,28,22,0.2415824915824918
26,coex_PRS,28,30,0.02875243664717342
27,coex_ATA,29,24,0.2675641025641027
28,coex_FIB,22,22,-0.3731752743380652
29,coex_BRC,29,24,-0.29711559314682257
30,coex_ATT,26,27,0.40136752136752163
31,coex_TNV,27,16,0.7314007321274762
32,coex_SPL,23,24,-0.064812673450509
33,coex_LCL,16,13,-0.008928571428571619
34,coex_CLS,35,31,0.21260997067448661
35,coex_EMC,28,32,-0.0345238095238094
36,coex_CLT,33,30,-0.0015804597701147838
37,coex_core,44,36,0.335499316005472
38,coex_WBL,30,26,-0.11794871794871797
39,co-essential,15,10,0.25595238095238093
40,GOBP,9,16,0.31785714285714217
41,ppi,49,49,-0.15306122448979598
42,reactome_copathway,22,20,0.3140977443609023
43,MP,15,17,-0.08545676335050123
44,HP,14,22,0.23013750954927414
45,GI_net,25,21,-0.17817805383022756
46,gene_gene_on_CbG_name_mapped,10,8,-0.16805555555555562
47,gene_gene_on_GcG_name_mapped,28,29,-0.2095972690346557
48,GOMF,5,8,
