,Layer,Pityriasis_rubra_pilaris nodes,Nasal_congestion nodes,sAB
0,coex_KDN,37,31,0.024642289348171698
1,coex_BST,28,19,-0.1333333333333333
2,coex_OVR,32,23,-0.12800148221343877
3,coex_LNG,32,26,0.06991876657824925
4,coex_ITI,31,28,-0.12588060808305523
5,coex_VGN,30,25,0.049090909090909296
6,coex_HRV,16,15,-0.23958333333333304
7,coex_MSG,36,26,-0.06038047973531846
8,coex_ADV,33,21,0.1411064425770312
9,coex_EMS,28,23,-0.026001705029838007
10,coex_SMU,22,20,-0.0625541125541127
11,coex_ARG,29,22,0.2892464195709632
12,coex_TST,33,26,-0.0396467938840821
13,coex_PIT,31,28,0.013756541435601122
14,coex_LVR,31,22,0.18695014662756604
15,coex_THY,28,22,0.41701298701298706
16,coex_PNC,30,23,-0.11786983866557277
17,coex_ATC,32,26,-0.03808852785145889
18,coex_BRO,33,24,-0.2075892857142858
19,coex_SKN,33,27,-0.07491582491582482
20,coex_ADS,29,21,0.5474489795918367
21,coex_GEJ,33,24,-0.08598484848484889
22,coex_BRB,28,14,-0.04166666666666652
23,coex_UTR,26,21,0.11573426573426548
24,coex_STM,34,25,0.05308075772681953
25,coex_HRA,30,22,0.06888111888111892
26,coex_PRS,31,22,-0.11344270458695305
27,coex_ATA,28,21,0.1003401360544216
28,coex_FIB,27,19,-0.12187473514704639
29,coex_BRC,28,19,0.1180211166213403
30,coex_ATT,28,21,0.005952380952380931
31,coex_TNV,17,13,0.5336134453781516
32,coex_SPL,30,26,-0.03946886446886455
33,coex_LCL,23,22,0.020109735226014225
34,coex_CLS,32,21,0.0867447214734951
35,coex_EMC,30,28,-0.10275041050903111
36,coex_CLT,30,26,-0.049537037037036935
37,coex_core,35,28,-0.011213517665130679
38,coex_WBL,31,27,-0.06901092682077392
39,co-essential,9,3,0.6111111111111116
40,GOBP,18,23,0.07135695187165725
41,ppi,50,49,0.1010719439290868
42,reactome_copathway,25,14,0.3920454545454546
43,MP,16,25,-0.5049999999999999
44,HP,16,15,0.0047043010752689796
45,GI_net,21,24,0.10229625447016755
46,gene_gene_on_CbG_name_mapped,13,10,-0.19899665551839463
47,gene_gene_on_GcG_name_mapped,36,28,-0.1607142857142856
48,GOMF,5,5,
