,Layer,Epididymitis nodes,Adrenal_insufficiency nodes,sAB
0,coex_KDN,42,36,0.2142857142857144
1,coex_BST,29,27,0.16066341066341083
2,coex_OVR,30,32,0.19187986651835365
3,coex_LNG,35,24,0.7628430185633577
4,coex_ITI,43,32,0.18100775193798446
5,coex_VGN,30,28,0.07220853858784904
6,coex_HRV,21,10,0.5159277504105089
7,coex_MSG,42,34,-0.06037151702786381
8,coex_ADV,38,28,0.3767088174982911
9,coex_EMS,29,25,0.6688489481674256
10,coex_SMU,24,25,0.5736823425022182
11,coex_ARG,25,27,-0.006033182503770718
12,coex_TST,28,34,0.17941854161019255
13,coex_PIT,33,34,0.47923484183361253
14,coex_LVR,28,32,0.30714285714285716
15,coex_THY,24,27,0.5824637681159421
16,coex_PNC,27,26,0.16150620867602017
17,coex_ATC,32,34,-0.12942847593582885
18,coex_BRO,31,26,0.3755695916986239
19,coex_SKN,32,31,-0.048867127496159846
20,coex_ADS,31,26,0.236758402887435
21,coex_GEJ,36,33,0.4761904761904763
22,coex_BRB,25,17,0.5079551820728292
23,coex_UTR,20,25,0.023816809465524447
24,coex_STM,32,26,0.6637064124330676
25,coex_HRA,28,29,0.1441798941798944
26,coex_PRS,28,29,0.4853128991060025
27,coex_ATA,29,29,0.22304850322091685
28,coex_FIB,22,20,-0.12370129870129865
29,coex_BRC,29,24,0.378985035783995
30,coex_ATT,26,25,0.3999999999999999
31,coex_TNV,27,21,-0.22815208825847133
32,coex_SPL,23,32,-0.07716156126482221
33,coex_LCL,16,22,-0.2431220095693778
34,coex_CLS,35,32,0.36835593841642233
35,coex_EMC,28,26,0.11248473748473753
36,coex_CLT,33,30,0.24341397849462365
37,coex_core,44,34,0.13753551510049467
38,coex_WBL,30,26,-0.09322344322344311
39,co-essential,15,13,1.3588726088726086
40,GOBP,9,19,0.9000000000000004
41,ppi,49,45,0.1566796931538572
42,reactome_copathway,22,16,0.6279411764705882
43,MP,15,8,1.3741883116883113
44,HP,14,30,0.20259740259740244
45,GI_net,25,24,0.7293197278911565
46,gene_gene_on_CbG_name_mapped,10,9,-0.057309941520467866
47,gene_gene_on_GcG_name_mapped,28,26,-0.09890109890109877
48,GOMF,5,6,
