,Layer,Factor_VII_deficiency nodes,Hereditary_factor_IX_deficiency_disease nodes,sAB
0,coex_KDN,35,40,-0.12416666666666676
1,coex_BST,20,30,0.7416666666666667
2,coex_OVR,20,26,0.5249999999999999
3,coex_LNG,28,34,0.2850005430650593
4,coex_ITI,25,32,0.06822368421052638
5,coex_VGN,32,30,0.0648857526881721
6,coex_HRV,13,16,0.4572281167108754
7,coex_MSG,27,34,0.09973570484660188
8,coex_ADV,28,30,0.07777777777777772
9,coex_EMS,19,24,0.17857142857142838
10,coex_SMU,16,21,0.3954311454311452
11,coex_ARG,17,24,0.21744978479196542
12,coex_TST,27,30,0.1533138401559455
13,coex_PIT,21,34,-0.14061085972850673
14,coex_LVR,38,39,0.0012794223320538034
15,coex_THY,24,28,0.17378421900161056
16,coex_PNC,27,29,0.05487137383689067
17,coex_ATC,21,31,0.48322107999527386
18,coex_BRO,18,27,-0.3049095607235146
19,coex_SKN,28,32,0.016369047619047672
20,coex_ADS,18,21,0.6839181286549705
21,coex_GEJ,22,29,0.2668367346938778
22,coex_BRB,15,14,-0.0692939244663382
23,coex_UTR,14,22,0.1158008658008658
24,coex_STM,31,33,-0.013929618768328433
25,coex_HRA,27,30,0.12962962962962954
26,coex_PRS,24,28,0.1394230769230771
27,coex_ATA,15,27,0.5423076923076922
28,coex_FIB,12,26,0.20495951417004066
29,coex_BRC,21,29,0.2844991789819378
30,coex_ATT,20,29,0.1920807453416149
31,coex_TNV,18,14,0.3475783475783478
32,coex_SPL,35,38,-0.02999279019466461
33,coex_LCL,5,22,0.41608391608391626
34,coex_CLS,27,36,0.2718253968253972
35,coex_EMC,23,31,0.5311640953716688
36,coex_CLT,27,34,0.04894419306184017
37,coex_core,28,34,-0.05507948335817181
38,coex_WBL,20,35,0.3876623376623374
39,co-essential,6,8,1.6547619047619042
40,GOBP,29,30,-0.20919913419913438
41,ppi,50,49,-0.15228406514120807
42,reactome_copathway,21,17,-0.28548085901027087
43,MP,13,16,-1.0119047619047623
44,HP,24,18,-0.2867063492063493
45,GI_net,16,16,-0.4375
46,gene_gene_on_CbG_name_mapped,23,12,-0.36107660455486534
47,gene_gene_on_GcG_name_mapped,36,32,-0.16676879084967333
48,GOMF,8,7,
