,Layer,Nephroblastoma nodes,Neoplasm_of_uterus nodes,sAB
0,coex_KDN,45,49,0.138056641096155
1,coex_BST,37,37,0.2886328108930849
2,coex_OVR,39,38,0.07640166850693131
3,coex_LNG,41,43,0.10707533155065763
4,coex_ITI,44,45,0.11253262966746114
5,coex_VGN,46,39,0.15730211817168338
6,coex_HRV,16,29,0.7562900962309542
7,coex_MSG,45,46,0.11127833519137864
8,coex_ADV,34,31,0.305787476280835
9,coex_EMS,37,43,0.15978968370784696
10,coex_SMU,38,35,0.07260273972602738
11,coex_ARG,34,34,0.10294117647058809
12,coex_TST,46,46,0.0869565217391306
13,coex_PIT,40,40,0.04975657254138266
14,coex_LVR,38,38,0.13157894736842102
15,coex_THY,33,35,0.19039979628214931
16,coex_PNC,39,42,0.2561835522201372
17,coex_ATC,42,36,-0.15649350649350624
18,coex_BRO,36,40,0.2796428571428571
19,coex_SKN,41,43,0.336523795530554
20,coex_ADS,23,32,0.5779385123614662
21,coex_GEJ,40,42,0.3767857142857145
22,coex_BRB,13,33,0.331168831168831
23,coex_UTR,35,36,0.13117667356797824
24,coex_STM,43,44,0.09240054919686025
25,coex_HRA,37,38,0.1349976292081556
26,coex_PRS,39,40,0.11443930542031788
27,coex_ATA,33,39,0.5252081252081253
28,coex_FIB,36,36,0.02777777777777768
29,coex_BRC,34,42,0.24649859943977592
30,coex_ATT,37,39,0.11769230769230754
31,coex_TNV,19,25,0.5918295739348371
32,coex_SPL,42,38,0.05955513784461153
33,coex_LCL,30,29,0.11300409117475163
34,coex_CLS,37,46,0.18062627845236512
35,coex_EMC,42,43,0.09556380691811595
36,coex_CLT,44,45,0.1251702417432754
37,coex_core,42,43,0.27178685427659444
38,coex_WBL,33,41,0.25108447488584473
39,co-essential,24,17,0.9538950715421302
40,GOBP,9,15,-0.1917293233082713
41,ppi,48,50,0.1004166666666666
42,reactome_copathway,13,24,0.6598193473193474
43,MP,12,14,1.274042950513539
44,HP,27,27,0.16666666666666674
45,GI_net,28,28,0.0
46,gene_gene_on_CbG_name_mapped,2,10,0.8666666666666665
47,gene_gene_on_GcG_name_mapped,33,37,-0.02052182052182072
48,GOMF,3,4,
