,Layer,Heartburn nodes,Dyssomnia nodes,sAB
0,coex_KDN,28,42,0.5188343994314144
1,coex_BST,20,40,0.09583333333333321
2,coex_OVR,17,40,0.3330357142857143
3,coex_LNG,28,40,0.4231481481481483
4,coex_ITI,26,40,0.35437062937062924
5,coex_VGN,23,41,0.5651147675572128
6,coex_HRV,14,13,0.7999084249084247
7,coex_MSG,24,41,0.13581144465290818
8,coex_ADV,23,36,0.8745556467049491
9,coex_EMS,15,39,0.3025641025641028
10,coex_SMU,15,36,0.27653061224489806
11,coex_ARG,16,37,0.2708598929117798
12,coex_TST,20,44,0.21079545454545467
13,coex_PIT,16,43,0.22673143614851066
14,coex_LVR,27,36,0.23398603521554318
15,coex_THY,22,25,1.0049689440993794
16,coex_PNC,17,35,0.6020408163265305
17,coex_ATC,18,40,0.20876436781609176
18,coex_BRO,17,37,0.2507507507507505
19,coex_SKN,22,39,0.313529014844804
20,coex_ADS,19,19,0.8205741626794256
21,coex_GEJ,23,39,0.37516869095816463
22,coex_BRB,15,18,0.6980286738351253
23,coex_UTR,10,34,0.055213558291533626
24,coex_STM,25,40,0.4246153846153844
25,coex_HRA,18,39,0.21754471019176913
26,coex_PRS,20,37,0.30643143143143137
27,coex_ATA,16,34,0.4851383735312309
28,coex_FIB,12,37,-0.1220353006067294
29,coex_BRC,21,42,0.24523809523809526
30,coex_ATT,17,39,0.6704374057315232
31,coex_TNV,7,14,0.8576923076923073
32,coex_SPL,21,38,0.33860073913597555
33,coex_LCL,11,27,0.1304713804713804
34,coex_CLS,21,41,0.07987694214510221
35,coex_EMC,21,41,0.06173349869091904
36,coex_CLT,16,40,0.2660714285714285
37,coex_core,32,39,0.5076509511993381
38,coex_WBL,23,34,0.45441288643603883
39,co-essential,6,9,0.45833333333333304
40,GOBP,25,15,0.7928571428571427
41,ppi,49,50,0.23133786848072546
42,reactome_copathway,13,14,0.7920369104579632
43,MP,21,12,2.087830687830688
44,HP,16,33,0.2367230983302413
45,GI_net,14,23,0.45266073526943096
46,gene_gene_on_CbG_name_mapped,20,5,-0.04500000000000015
47,gene_gene_on_GcG_name_mapped,36,32,0.0362540849673203
48,GOMF,8,5,1.0
