,Layer,Mastocytosis nodes,Squamous_cell_carcinoma_of_the_head_and_neck nodes,sAB
0,coex_KDN,42,45,0.11580086580086602
1,coex_BST,22,31,-0.05883790466333183
2,coex_OVR,29,33,-0.19639498432601887
3,coex_LNG,33,39,0.49922299922299906
4,coex_ITI,33,40,0.0044642857142858094
5,coex_VGN,33,38,0.20187231844014653
6,coex_HRV,22,26,-0.23324592074592077
7,coex_MSG,33,42,0.09549783549783553
8,coex_ADV,26,27,0.31747567596624204
9,coex_EMS,35,35,0.6000000000000001
10,coex_SMU,20,32,-0.03701923076923075
11,coex_ARG,27,35,0.25027922896775356
12,coex_TST,31,44,0.0017595307917890324
13,coex_PIT,29,38,-0.08492699840182039
14,coex_LVR,27,35,-0.1363543266769074
15,coex_THY,22,39,0.14612709694676917
16,coex_PNC,23,33,-0.07956898174289506
17,coex_ATC,32,41,0.1121323529411764
18,coex_BRO,32,38,-0.1489426691729323
19,coex_SKN,33,38,0.2207302828133071
20,coex_ADS,30,34,0.5462998102466794
21,coex_GEJ,33,30,0.9404557252165708
22,coex_BRB,25,34,0.17685091277890463
23,coex_UTR,24,31,0.362403100775194
24,coex_STM,29,39,0.016136162687886868
25,coex_HRA,21,37,0.005476529160739707
26,coex_PRS,26,35,0.04212754458656098
27,coex_ATA,28,33,-0.0248459167950692
28,coex_FIB,16,36,-0.04330882352941168
29,coex_BRC,23,37,-0.04845280062671353
30,coex_ATT,29,38,0.45156655543196145
31,coex_TNV,24,24,0.328933747412008
32,coex_SPL,27,32,0.007581999372253678
33,coex_LCL,20,22,-0.10216450216450235
34,coex_CLS,29,38,0.2410109048040081
35,coex_EMC,28,34,0.05722173306919065
36,coex_CLT,35,35,-0.030948200175592744
37,coex_core,36,41,0.291653468482737
38,coex_WBL,32,37,0.08080566980023507
39,co-essential,8,21,1.741309523809524
40,GOBP,13,13,0.6108058608058609
41,ppi,48,50,0.06898809523809524
42,reactome_copathway,20,31,0.20166666666666666
43,MP,9,13,1.854251012145749
44,HP,18,22,0.24722222222222223
45,GI_net,22,32,0.06349957912457915
46,gene_gene_on_CbG_name_mapped,14,19,-0.06163135110503526
47,gene_gene_on_GcG_name_mapped,26,27,-0.03977853034456791
48,GOMF,6,4,
