,Layer,Intracranial_swelling nodes,Erysipelas nodes,sAB
0,coex_KDN,36,46,-0.09135173974194322
1,coex_BST,18,22,0.2761904761904761
2,coex_OVR,29,34,-0.31383928571428554
3,coex_LNG,25,37,0.014095663460070185
4,coex_ITI,34,42,-0.11538020086083223
5,coex_VGN,29,39,0.027607147843082602
6,coex_HRV,31,31,0.08225806451612883
7,coex_MSG,33,41,-0.06199436687241566
8,coex_ADV,19,33,-0.03416758679916576
9,coex_EMS,20,27,0.23611111111111116
10,coex_SMU,20,28,-0.05892857142857144
11,coex_ARG,23,30,-0.14891592665205877
12,coex_TST,30,43,-0.19275246893915243
13,coex_PIT,33,37,-0.13385536032594847
14,coex_LVR,34,41,0.07943089430894301
15,coex_THY,22,36,0.4338023088023091
16,coex_PNC,25,30,-0.014025157232704366
17,coex_ATC,16,37,0.05287595287595259
18,coex_BRO,35,42,-0.05541125541125558
19,coex_SKN,28,35,-0.0896535667722107
20,coex_ADS,25,34,-0.003070787637088568
21,coex_GEJ,20,36,0.16416122004357314
22,coex_BRB,33,31,-0.1839717741935485
23,coex_UTR,17,29,0.3932453416149069
24,coex_STM,35,37,-0.214391276114557
25,coex_HRA,27,31,0.15563662741082118
26,coex_PRS,23,34,-0.04369747899159648
27,coex_ATA,22,37,-0.08699454462166356
28,coex_FIB,16,21,-0.02857142857142847
29,coex_BRC,32,31,0.04589093701996916
30,coex_ATT,24,39,-0.376670516416433
31,coex_TNV,24,37,-0.001388888888889106
32,coex_SPL,23,32,0.23605850168350173
33,coex_LCL,15,21,-0.08658008658008653
34,coex_CLS,32,40,-0.0983835005574134
35,coex_EMC,27,34,-0.15391621129326039
36,coex_CLT,30,40,-0.06696428571428581
37,coex_core,36,43,0.06562720225510943
38,coex_WBL,27,36,0.3669354838709675
39,co-essential,5,6,-0.5999999999999996
40,GOBP,14,21,0.09472934472934513
41,ppi,50,49,0.03044733044733028
42,reactome_copathway,21,24,-0.46643356643356637
43,MP,10,15,0.9722222222222223
44,HP,20,19,-0.024224021592442524
45,GI_net,13,21,-0.36910148674854515
46,gene_gene_on_CbG_name_mapped,23,14,-0.010785630350847786
47,gene_gene_on_GcG_name_mapped,37,30,-0.3301936264622831
48,GOMF,3,8,
