,Layer,Intracranial_swelling nodes,Glaucoma nodes,sAB
0,coex_KDN,36,39,-0.16346153846153832
1,coex_BST,18,21,0.43625192012288805
2,coex_OVR,29,35,-0.29722222222222205
3,coex_LNG,25,33,-0.26157407407407396
4,coex_ITI,34,37,0.0005038178194762821
5,coex_VGN,29,40,-0.010203293875450381
6,coex_HRV,31,26,0.17137378750281984
7,coex_MSG,33,41,-0.18921915263378675
8,coex_ADV,19,19,0.07894736842105265
9,coex_EMS,20,29,0.06417828319882579
10,coex_SMU,20,29,0.12936312456016896
11,coex_ARG,23,29,0.19060661976703974
12,coex_TST,30,41,-0.35209549982823773
13,coex_PIT,33,38,0.030263719477952256
14,coex_LVR,34,37,0.11075205640423014
15,coex_THY,22,32,0.3068181818181819
16,coex_PNC,25,34,0.05966101694915249
17,coex_ATC,16,32,-0.34270833333333317
18,coex_BRO,35,33,0.24812834224598945
19,coex_SKN,28,36,-0.24935897435897436
20,coex_ADS,25,26,-0.1420512820512818
21,coex_GEJ,20,27,0.13244147157190644
22,coex_BRB,33,27,-0.1592592592592592
23,coex_UTR,17,28,0.17641042204995738
24,coex_STM,35,39,-0.0738651625033575
25,coex_HRA,27,26,0.4999581028992792
26,coex_PRS,23,28,-0.17346938775510168
27,coex_ATA,22,30,0.18869463869463843
28,coex_FIB,16,27,-0.21153846153846168
29,coex_BRC,32,35,0.181503198294243
30,coex_ATT,24,32,-0.28723786864383305
31,coex_TNV,24,28,-0.41185897435897445
32,coex_SPL,23,27,0.03418941184898627
33,coex_LCL,15,13,-0.0446153846153845
34,coex_CLS,32,30,-0.1902298850574713
35,coex_EMC,27,32,-0.16493055555555536
36,coex_CLT,30,37,-0.07500742500742508
37,coex_core,36,37,-0.007539682539682513
38,coex_WBL,27,27,-0.020964360587002018
39,co-essential,5,6,-1.51969696969697
40,GOBP,14,9,-0.38278388278388276
41,ppi,50,49,0.00045351473922905505
42,reactome_copathway,21,23,-0.3719887955182073
43,MP,10,11,0.5836257309941519
44,HP,20,20,0.4249999999999998
45,GI_net,13,21,-0.5404075091575091
46,gene_gene_on_CbG_name_mapped,23,9,-0.32669082125603865
47,gene_gene_on_GcG_name_mapped,37,38,-0.18804646752015186
48,GOMF,3,2,
